Running Forward KL,Real Sto Return,Itration,Reward Loss,Running Reverse KL,Running Update Time,Running Env Steps,Real Det Return
158.4861,-205.29,0,-301.0675964355469,11.491,0,0,0.45
158.4278,-117.37,1,-348.4452819824219,11.6473,1,5000,19.03
158.3766,45.81,2,-453.4375,12.2062,2,10000,695.89
158.1068,269.18,3,-591.28125,12.7977,3,15000,732.87
157.9236,418.28,4,-648.488037109375,12.8846,4,20000,903.46
158.1309,534.52,5,-712.6765747070312,14.2268,5,25000,925.25
158.0882,591.09,6,-720.940673828125,14.0131,6,30000,1026.4
158.1635,742.18,7,-770.20458984375,14.882,7,35000,1191.07
158.142,834.19,8,-821.7903442382812,15.2829,8,40000,1156.92
158.0224,951.35,9,-837.859130859375,15.7454,9,45000,1267.7
158.1052,991.67,10,-871.1995849609375,16.0723,10,50000,1394.4
157.9632,1109.49,11,-927.4722290039062,16.331,11,55000,1537.33
157.922,1089.61,12,-973.8635864257812,16.4464,12,60000,1518.7
158.1472,1203.95,13,-1034.85302734375,16.8132,13,65000,1615.1
157.843,1226.9,14,-1079.10791015625,16.7126,14,70000,1628.98
157.982,1254.15,15,-1104.5887451171875,16.7625,15,75000,1696.96
157.9409,1302.31,16,-1147.7293701171875,16.9131,16,80000,1722.16
157.8557,1312.49,17,-1155.885498046875,16.6084,17,85000,1713.95
157.9085,1326.46,18,-1218.846923828125,16.7329,18,90000,1778.37
157.6847,1391.52,19,-1245.574951171875,16.3906,19,95000,1780.61
157.981,1417.68,20,-1277.9107666015625,16.6218,20,100000,1846.72
157.8707,1411.26,21,-1312.148681640625,16.6127,21,105000,1828.92
157.6421,1471.42,22,-1354.228271484375,16.2993,22,110000,1782.0
157.8195,1493.21,23,-1358.28173828125,16.6107,23,115000,1843.67
157.7983,1530.34,24,-1447.28173828125,16.623,24,120000,1935.77
157.7675,1537.79,25,-1457.8099365234375,16.8389,25,125000,1911.31
157.6354,1563.75,26,-1511.15966796875,16.6659,26,130000,1934.7
157.5399,1558.24,27,-1534.4547119140625,16.3837,27,135000,1907.87
157.6902,1605.18,28,-1568.470947265625,16.5825,28,140000,1973.35
157.5107,1598.64,29,-1617.191650390625,16.5548,29,145000,1956.66
157.5735,1611.24,30,-1654.0465087890625,16.7459,30,150000,1987.35
157.6903,1620.42,31,-1686.17822265625,16.5394,31,155000,1955.5
157.374,1638.53,32,-1750.063232421875,16.3997,32,160000,2056.77
157.5233,1614.24,33,-1740.90283203125,16.2159,33,165000,1931.95
157.6399,1606.86,34,-1770.8524169921875,16.3682,34,170000,1911.02
157.566,1599.61,35,-1827.9747314453125,16.2693,35,175000,1940.8
157.6448,1644.85,36,-1863.0484619140625,16.566,36,180000,2002.63
157.3817,1648.12,37,-1903.654541015625,16.4125,37,185000,2016.59
157.3294,1672.32,38,-1951.962158203125,16.7438,38,190000,2030.48
157.2588,1685.56,39,-2003.8074951171875,16.4108,39,195000,2061.95
157.3635,1672.92,40,-2040.2529296875,16.2215,40,200000,2050.47
157.3448,1697.2,41,-2069.7216796875,16.3181,41,205000,2110.9
157.3153,1677.0,42,-2104.98046875,16.0565,42,210000,2069.11
157.3038,1687.89,43,-2167.015625,15.9182,43,215000,2082.78
157.5091,1698.99,44,-2193.54833984375,16.5679,44,220000,2057.48
157.3583,1704.84,45,-2226.0478515625,16.3182,45,225000,2099.32
157.284,1706.85,46,-2288.66015625,16.2883,46,230000,2104.1
156.9823,1684.6,47,-2314.8935546875,15.9976,47,235000,2023.45
157.1681,1685.94,48,-2353.20556640625,16.1014,48,240000,2101.06
157.258,1743.71,49,-2379.636962890625,16.5882,49,245000,2122.05
157.1042,1742.31,50,-2413.60693359375,16.1274,50,250000,2151.16
157.1996,1726.3,51,-2477.630126953125,16.2389,51,255000,2134.63
157.3036,1734.04,52,-2498.255859375,16.6116,52,260000,2076.29
157.1871,1732.0,53,-2531.092529296875,16.3313,53,265000,2102.7
157.0975,1661.85,54,-2577.771728515625,15.6189,54,270000,1988.59
156.8783,1737.66,55,-2633.635986328125,15.8198,55,275000,2130.43
156.9974,1764.32,56,-2667.16796875,16.4783,56,280000,2125.37
156.88,1740.17,57,-2718.010986328125,15.9646,57,285000,2080.48
156.9579,1749.62,58,-2724.5009765625,15.7353,58,290000,2079.17
157.0036,1730.74,59,-2770.81103515625,15.8238,59,295000,2078.58
156.9776,1717.67,60,-2799.19873046875,15.8144,60,300000,2076.09
157.1703,1733.19,61,-2876.69189453125,16.1273,61,305000,2126.86
157.0435,1786.17,62,-2923.841552734375,16.0942,62,310000,2111.64
157.1801,1795.34,63,-3003.887451171875,15.9775,63,315000,2169.44
156.7348,1808.49,64,-3010.33740234375,16.0204,64,320000,2148.58
156.8755,1723.6,65,-3023.7060546875,15.6332,65,325000,2025.93
156.8528,1766.07,66,-3096.33837890625,15.8444,66,330000,2151.14
157.0313,1780.2,67,-3133.344970703125,15.7878,67,335000,2159.84
157.0779,1788.39,68,-3169.64501953125,16.1244,68,340000,2153.85
156.9038,1732.23,69,-3196.717041015625,15.8108,69,345000,2085.32
156.8455,1735.71,70,-3247.55859375,15.8208,70,350000,2095.13
157.0868,1778.91,71,-3303.21337890625,16.2262,71,355000,2169.46
157.0736,1793.3,72,-3356.2939453125,16.4613,72,360000,2146.69
156.934,1771.72,73,-3407.584716796875,15.705,73,365000,2117.68
157.0232,1760.05,74,-3432.819091796875,15.7823,74,370000,2091.46
157.0608,1759.84,75,-3509.40234375,15.8641,75,375000,2114.25
156.9866,1779.93,76,-3514.65234375,15.6378,76,380000,2108.45
157.0169,1802.77,77,-3557.76220703125,15.907,77,385000,2108.83
156.9897,1724.71,78,-3609.1015625,15.8577,78,390000,2074.26
157.0738,1735.55,79,-3644.775390625,15.4169,79,395000,2026.96
157.0267,1805.26,80,-3704.25927734375,15.9054,80,400000,2157.37
156.9397,1810.49,81,-3783.4658203125,16.1408,81,405000,2169.31
156.917,1791.67,82,-3797.359130859375,15.9418,82,410000,2120.12
157.0648,1741.09,83,-3823.9833984375,15.4181,83,415000,2048.29
157.0889,1812.68,84,-3891.1943359375,15.918,84,420000,2158.02
156.9511,1814.64,85,-3947.7353515625,15.9176,85,425000,2157.01
156.9869,1828.17,86,-4000.322265625,15.9013,86,430000,2221.34
156.8407,1800.11,87,-4015.72314453125,15.5608,87,435000,2112.48
157.0116,1784.82,88,-4060.943115234375,15.6552,88,440000,2060.79
156.9422,1774.95,89,-4103.94140625,15.6028,89,445000,2095.72
156.8132,1811.01,90,-4182.3115234375,15.4537,90,450000,2159.76
157.0276,1834.42,91,-4196.623046875,15.6598,91,455000,2098.66
156.9303,1838.52,92,-4291.88134765625,16.0086,92,460000,2195.14
157.1838,1771.63,93,-4285.63134765625,15.5287,93,465000,2111.57
156.935,1811.52,94,-4362.81494140625,16.5619,94,470000,2143.46
156.8875,1787.93,95,-4403.845703125,15.5988,95,475000,2119.06
156.9857,1824.13,96,-4468.9140625,15.8628,96,480000,2168.48
157.0303,1827.73,97,-4493.21923828125,15.6661,97,485000,2166.02
156.9411,1799.18,98,-4526.37060546875,15.5742,98,490000,2087.83
156.8926,1777.06,99,-4587.02099609375,15.8529,99,495000,2101.9
157.0113,1806.33,100,-4651.2705078125,15.8132,100,500000,2152.4
156.8683,1821.27,101,-4702.89501953125,16.0736,101,505000,2176.36
157.0647,1826.1,102,-4726.77685546875,15.704,102,510000,2208.56
156.989,1841.82,103,-4802.07373046875,15.9333,103,515000,2184.02
157.0091,1782.65,104,-4839.990234375,15.4722,104,520000,2101.9
156.9661,1819.81,105,-4888.8154296875,15.3295,105,525000,2163.53
156.8252,1816.16,106,-4934.11669921875,15.4484,106,530000,2151.38
156.8848,1827.52,107,-5006.00537109375,15.5169,107,535000,2183.65
157.0968,1836.17,108,-5031.4677734375,15.651,108,540000,2179.69
156.9627,1829.05,109,-5091.44921875,15.6691,109,545000,2157.52
156.9394,1837.08,110,-5142.74072265625,15.4903,110,550000,2177.2
157.0471,1834.56,111,-5201.81494140625,15.7096,111,555000,2137.93
156.7975,1805.1,112,-5242.16259765625,15.4517,112,560000,2147.94
156.94,1851.69,113,-5305.6435546875,15.8273,113,565000,2202.7
156.8872,1847.54,114,-5352.36474609375,15.8346,114,570000,2141.07
156.9644,1812.42,115,-5417.38525390625,15.486,115,575000,2183.79
156.7829,1793.4,116,-5462.40478515625,15.2314,116,580000,2096.56
157.0804,1816.87,117,-5490.5341796875,15.5637,117,585000,2092.64
156.7335,1822.64,118,-5568.3818359375,15.7727,118,590000,2167.84
156.9442,1844.61,119,-5605.2333984375,15.6484,119,595000,2133.27
156.8853,1793.03,120,-5641.26416015625,15.6729,120,600000,2090.14
156.7564,1882.69,121,-5730.2822265625,16.031,121,605000,2221.65
156.98,1840.41,122,-5772.14501953125,15.7477,122,610000,2151.46
157.0178,1833.11,123,-5826.044921875,15.8124,123,615000,2209.43
156.8625,1836.58,124,-5918.93505859375,15.4841,124,620000,2209.45
156.8539,1819.05,125,-5949.69189453125,15.4645,125,625000,2156.03
156.8684,1860.17,126,-6000.67041015625,15.6396,126,630000,2163.52
156.98,1854.49,127,-6059.9658203125,16.0204,127,635000,2175.88
156.6906,1826.91,128,-6096.69091796875,15.4069,128,640000,2134.31
156.7691,1855.38,129,-6160.13134765625,15.7131,129,645000,2188.97
156.7791,1874.0,130,-6248.16552734375,15.6947,130,650000,2174.55
156.7988,1859.42,131,-6279.87841796875,15.5617,131,655000,2192.8
157.0158,1861.94,132,-6356.48291015625,16.0038,132,660000,2209.06
156.7617,1886.78,133,-6427.79345703125,15.6583,133,665000,2210.27
156.6557,1877.8,134,-6446.36572265625,15.6821,134,670000,2207.26
156.7124,1870.44,135,-6547.70849609375,15.9521,135,675000,2202.37
156.7945,1867.31,136,-6576.23828125,15.8514,136,680000,2244.04
156.9821,1808.96,137,-6619.55859375,15.5116,137,685000,2089.7
156.6891,1890.21,138,-6737.44189453125,15.6189,138,690000,2247.33
156.9801,1829.05,139,-6755.24658203125,15.521,139,695000,2167.48
156.6029,1850.42,140,-6807.9423828125,15.4463,140,700000,2238.66
156.7732,1866.83,141,-6868.3349609375,15.541,141,705000,2198.59
156.7517,1821.68,142,-6916.0546875,15.2996,142,710000,2125.76
156.6618,1861.89,143,-6968.2568359375,15.3657,143,715000,2203.56
156.8803,1842.73,144,-7037.58251953125,15.4007,144,720000,2165.63
156.8419,1897.58,145,-7108.83056640625,15.6832,145,725000,2202.53
156.8182,1903.05,146,-7161.1904296875,15.5958,146,730000,2214.19
156.6931,1858.78,147,-7257.9970703125,15.4979,147,735000,2242.8
156.7351,1877.07,148,-7283.73388671875,15.5142,148,740000,2173.93
156.9229,1866.9,149,-7323.27197265625,15.4449,149,745000,2154.33
156.7788,1854.87,150,-7365.9912109375,15.6032,150,750000,2176.49
156.7218,1827.88,151,-7418.833984375,15.3321,151,755000,2117.42
156.6841,1882.84,152,-7523.96435546875,15.5377,152,760000,2257.63
156.8082,1931.17,153,-7531.4208984375,15.5978,153,765000,2257.42
156.8355,1910.35,154,-7631.03662109375,15.8336,154,770000,2234.05
156.9296,1845.35,155,-7625.81396484375,15.3855,155,775000,2187.87
156.7158,1869.32,156,-7693.8583984375,15.303,156,780000,2162.83
156.7533,1865.74,157,-7742.65087890625,15.4761,157,785000,2220.33
156.8592,1892.0,158,-7800.39697265625,15.2947,158,790000,2219.67
156.6184,1901.74,159,-7856.70458984375,15.999,159,795000,2241.41
156.6946,1856.16,160,-7838.32080078125,15.2923,160,800000,2176.51
156.8515,1847.09,161,-7970.18408203125,15.2719,161,805000,2235.55
156.681,1875.48,162,-7988.04541015625,15.3047,162,810000,2175.58
156.7273,1909.65,163,-8118.5244140625,15.8002,163,815000,2257.54
156.8117,1890.23,164,-8129.232421875,15.5296,164,820000,2185.25
156.5574,1905.15,165,-8159.98828125,15.6567,165,825000,2243.35
156.7478,1905.52,166,-8247.412109375,15.3463,166,830000,2252.37
156.9809,1879.78,167,-8300.900390625,15.6334,167,835000,2198.35
156.696,1899.82,168,-8338.9990234375,15.2602,168,840000,2233.88
156.8695,1905.78,169,-8395.6201171875,15.4905,169,845000,2228.64
156.5831,1892.96,170,-8482.978515625,15.5524,170,850000,2226.44
156.7903,1891.03,171,-8567.822265625,15.7767,171,855000,2248.89
156.7096,1872.01,172,-8570.0927734375,15.2152,172,860000,2234.95
156.7941,1881.14,173,-8616.0283203125,15.4197,173,865000,2196.04
156.5871,1875.69,174,-8687.6162109375,15.4228,174,870000,2204.38
156.8074,1906.24,175,-8727.162109375,15.5012,175,875000,2241.15
157.055,1872.59,176,-8817.23046875,15.5761,176,880000,2186.4
156.748,1882.3,177,-8842.70703125,15.3939,177,885000,2237.79
156.9528,1868.65,178,-8886.609375,15.5303,178,890000,2238.1
156.6396,1885.53,179,-8934.564453125,15.3054,179,895000,2246.2
