Real Det Return,Itration,Real Sto Return,Running Forward KL,Running Reverse KL
468.96,0,-126.84,76.5654,27.4072
487.62,1,-83.96,76.2516,26.8807
582.86,2,-19.53,74.2106,26.4704
701.05,3,29.75,72.1397,27.5398
654.45,4,70.57,72.8394,28.7869
679.17,5,71.47,73.098,28.5333
951.28,6,245.92,70.4023,30.288
692.34,7,159.69,72.3888,29.8518
717.81,8,182.58,71.5527,29.6724
881.73,9,262.04,71.1411,30.5595
852.69,10,234.54,70.31,31.4988
1346.79,11,401.25,67.2712,30.3125
1310.73,12,439.6,68.5105,31.5191
1472.16,13,500.47,67.429,30.3155
744.12,14,294.37,70.0143,30.2217
959.92,15,304.93,71.0795,30.0919
890.64,16,448.14,67.8863,29.1546
667.86,17,295.8,68.2049,29.4668
1108.52,18,380.48,67.2015,28.4302
982.91,19,418.59,66.2564,29.4647
1087.82,20,395.08,67.7614,28.2562
704.67,21,491.49,67.7928,28.3935
2264.78,22,944.02,67.0957,30.8345
2621.55,23,1105.98,68.1139,32.47
2565.59,24,1166.06,67.2114,34.2131
1624.5,25,1306.7,68.7414,33.8349
2186.73,26,965.91,69.002,29.8619
1782.98,27,1213.84,69.2651,31.7629
2363.19,28,984.06,68.2493,32.899
2868.33,29,2122.18,69.9131,35.7097
3275.16,30,2249.17,70.7322,42.6927
2329.88,31,1282.66,69.1146,36.1283
3449.97,32,2454.54,71.4363,42.3787
2947.8,33,2755.16,71.4858,44.158
3474.93,34,2209.15,72.3205,42.3022
2962.58,35,1320.05,69.9785,36.9999
3727.22,36,2920.5,75.9303,51.7749
3289.51,37,2706.01,75.6224,50.4198
3403.63,38,2678.9,69.9897,39.9749
3019.71,39,1711.72,69.5388,32.4455
2555.09,40,1580.87,73.3969,44.9821
2533.79,41,2071.44,67.9645,32.456
3865.29,42,2641.71,79.1836,52.6368
4053.54,43,3136.99,74.8218,50.9739
4306.61,44,2957.33,73.5691,49.8487
3778.45,45,1959.11,73.1149,49.0049
3472.07,46,2712.42,78.1803,60.2775
3458.22,47,3523.82,83.2372,59.7995
3869.13,48,2778.56,75.1778,49.3996
4068.66,49,3270.11,72.5935,46.6222
4426.22,50,3842.78,71.7667,44.315
3330.58,51,1727.65,80.1587,60.2387
4278.41,52,3602.29,76.0849,56.389
4297.4,53,3875.27,76.358,60.5638
4278.42,54,3599.28,87.7605,69.2419
3137.05,55,2331.31,78.0001,61.0251
4700.28,56,3342.44,87.1424,69.7589
4280.74,57,3201.71,73.2411,53.7383
4507.49,58,3844.53,84.8787,64.2137
4602.59,59,3651.47,87.691,66.6636
4686.07,60,4187.94,85.7612,65.298
4973.03,61,3709.65,79.6442,60.1128
4974.41,62,4021.41,84.999,64.0402
4677.79,63,4167.85,80.685,64.7946
4781.28,64,4325.99,91.1519,77.2555
4737.66,65,4313.05,87.8183,68.6904
4473.26,66,3993.63,78.0776,61.2329
5115.76,67,4418.7,75.0037,58.7474
4554.0,68,3991.94,87.2797,68.1113
4402.79,69,3513.78,89.1741,75.1556
5109.98,70,4395.57,87.7706,70.9382
4878.97,71,3753.36,83.1251,67.6035
4959.3,72,3722.76,88.8272,71.8411
5269.09,73,4379.08,89.3259,75.616
5237.58,74,4651.98,77.6801,67.0294
5138.89,75,4325.61,84.6678,75.7749
5138.39,76,4298.23,90.8314,82.3018
4771.45,77,4051.42,72.8895,57.3666
5228.78,78,4497.21,76.9304,70.0341
5201.13,79,4772.81,82.0678,71.0042
4213.37,80,4415.5,77.5358,64.9681
5175.41,81,4202.71,88.2462,75.4754
4670.1,82,4455.33,74.5369,58.2522
4760.71,83,4129.73,86.6047,71.3657
5328.68,84,4815.94,80.0092,68.0383
4789.74,85,3923.92,79.1015,69.4252
5148.56,86,3841.11,78.1635,72.168
5040.18,87,4507.24,83.7059,70.2818
5306.8,88,4631.04,88.341,75.1805
4949.75,89,4294.32,89.9098,77.9993
5443.69,90,4946.25,87.0722,73.4372
5103.7,91,4904.29,91.1678,81.1669
5371.04,92,5041.64,88.4431,72.5761
5528.46,93,4293.85,74.5411,61.3746
5027.29,94,4678.05,92.2388,78.3381
5221.57,95,5156.87,91.1338,76.4162
5501.78,96,4600.44,76.2763,66.465
5436.08,97,4577.22,89.5877,78.7641
5556.12,98,4931.98,78.059,69.993
4957.16,99,4568.11,84.4764,76.4066
4333.2,100,4416.7,91.7051,81.8977
5221.66,101,4488.53,92.7719,78.3608
4985.52,102,4622.62,90.6144,76.3082
5080.26,103,4962.81,77.8453,72.6057
5331.38,104,4685.23,91.7486,84.0654
5226.28,105,4644.36,79.2693,72.483
5530.85,106,4911.24,91.8277,83.9089
5405.96,107,4348.43,88.7698,75.9611
5132.09,108,4726.03,87.6753,76.8091
5533.52,109,4982.61,91.1497,87.6055
5328.58,110,4085.26,87.2438,84.4936
5523.45,111,4942.85,84.249,77.0116
5140.78,112,4796.24,80.2684,74.8338
5317.06,113,5188.21,92.6885,83.539
5530.88,114,4408.65,89.3977,79.6522
5036.04,115,4869.61,90.2557,85.8934
5568.79,116,5036.47,91.8125,83.5611
4974.34,117,4523.55,77.748,69.9719
4576.0,118,4223.17,89.3778,80.9991
4929.18,119,4977.08,90.8583,83.3677
5410.48,120,4861.59,75.5597,69.4116
5143.5,121,5263.19,91.4576,85.9372
5663.36,122,4723.32,91.5096,84.9628
5426.21,123,4317.36,85.141,80.4379
5214.13,124,5169.04,77.2764,71.4424
5047.98,125,4208.41,78.4572,76.866
5651.67,126,5127.82,90.6026,80.1856
5476.02,127,4934.1,86.7489,84.1545
5772.9,128,5076.09,89.3955,80.6287
5387.64,129,4896.88,91.8168,86.0866
4837.22,130,4907.74,82.7347,83.9885
5578.88,131,4975.72,90.0791,82.4431
5597.41,132,4931.36,79.601,80.7248
5835.37,133,4906.17,90.0283,79.8947
