Real Det Return,Running Reverse KL,Itration,Real Sto Return,Running Forward KL
8.2,11.9694,0,-169.11,158.5167
8.87,11.9893,1,-111.74,158.5002
14.12,12.2586,2,13.03,158.4212
686.54,13.194,3,221.36,158.3668
696.52,13.3767,4,316.29,158.2562
911.34,14.5349,5,522.51,158.3926
1049.07,14.8717,6,688.71,158.1661
633.65,14.6012,7,642.5,157.9741
727.01,14.7088,8,736.79,158.1806
1119.35,15.3062,9,913.55,157.8761
1423.85,16.3844,10,1013.23,158.2323
1560.33,16.2312,11,1105.43,157.986
1535.98,16.688,12,1131.78,157.9848
1521.06,16.9746,13,1146.63,158.2743
1649.4,16.9409,14,1250.98,157.9446
1635.09,16.7473,15,1231.33,158.0297
1727.65,16.7886,16,1316.56,157.8419
1782.09,16.8969,17,1386.19,157.8123
1786.26,16.7497,18,1385.62,157.7193
1832.45,17.157,19,1435.19,157.9035
1845.59,16.7857,20,1456.26,157.7951
1872.49,16.9132,21,1515.52,157.7734
1903.4,17.0878,22,1521.29,157.8328
1874.31,16.5444,23,1522.59,157.6937
1893.94,16.7754,24,1522.78,157.6972
1914.37,16.8386,25,1545.92,157.5439
1948.49,16.8871,26,1614.01,157.7537
1932.03,16.8823,27,1592.5,157.7141
1944.69,16.9561,28,1592.49,157.829
1926.47,16.5589,29,1586.02,157.6572
1951.73,16.3366,30,1601.19,157.4247
1965.38,16.8495,31,1629.32,157.5513
1948.41,16.5353,32,1611.49,157.5631
2020.74,16.9343,33,1651.27,157.5142
1957.49,16.2744,34,1613.28,157.2906
1975.95,16.3159,35,1621.02,157.5742
