Reward Loss,Itration,Running Update Time,Real Det Return,Real Sto Return,Running Env Steps,Running Reverse KL,Running Forward KL
-141.87335205078125,0,0,193.55,200.04,0,19.6811,39.3616
-113.42118072509766,1,1,291.07,278.41,5000,26.7101,36.5264
-131.26211547851562,2,2,224.96,243.77,10000,30.1568,35.5612
-105.35276794433594,3,3,330.46,328.17,15000,27.4259,34.2405
-115.42704010009766,4,4,321.5,315.93,20000,24.2051,35.734
-172.9833526611328,5,5,369.7,362.43,25000,45.1196,33.153
-166.61050415039062,6,6,427.65,428.82,30000,34.7999,32.7968
-144.08123779296875,7,7,516.76,506.78,35000,16.9512,32.0795
-154.52444458007812,8,8,579.14,532.77,40000,27.3258,33.9485
-175.09344482421875,9,9,704.7,693.72,45000,26.8325,30.0813
-177.67633056640625,10,10,672.71,596.43,50000,23.6374,30.9877
-106.122802734375,11,11,1405.34,1564.1,55000,14.0637,29.3086
-75.07452392578125,12,12,1666.09,1012.35,60000,11.6981,27.7257
-162.4407196044922,13,13,406.26,402.65,65000,21.5312,35.6697
-263.26629638671875,14,14,336.71,303.02,70000,35.8827,35.826
-266.7647705078125,15,15,469.87,537.38,75000,40.7681,31.7519
-190.99307250976562,16,16,854.16,926.75,80000,18.5922,30.5998
-168.66519165039062,17,17,773.07,1118.11,85000,14.8706,29.6869
-74.24165344238281,18,18,2526.59,2521.63,90000,15.125,30.1422
-70.20108032226562,19,19,3064.66,2864.64,95000,12.2708,26.984
-230.8059539794922,20,20,1030.66,1031.88,100000,22.7463,29.4246
-216.0772705078125,21,21,1130.92,1432.71,105000,22.2413,29.2091
-177.33815002441406,22,22,2659.4,1701.44,110000,17.7794,28.257
-152.73129272460938,23,23,1169.46,2289.9,115000,18.6855,27.5875
-110.98001861572266,24,24,3137.27,2844.95,120000,16.2991,29.1471
-194.23997497558594,25,25,985.23,1218.41,125000,18.4513,28.26
-222.78707885742188,26,26,1065.91,1157.54,130000,24.9458,28.0105
-78.86700439453125,27,27,3134.63,3051.9,135000,16.0043,29.3601
-208.86280822753906,28,28,1205.94,1208.2,140000,22.9769,29.8418
-179.4878387451172,29,29,1242.31,1704.63,145000,21.4553,29.694
-133.84945678710938,30,30,1042.94,1629.48,150000,17.6507,29.7036
-206.3013153076172,31,31,1087.62,1463.96,155000,32.6277,30.0562
-118.76317596435547,32,32,1255.5,2265.44,160000,17.4979,28.569
-228.19651794433594,33,33,2268.61,1866.5,165000,28.5861,28.3417
-266.25115966796875,34,34,1401.4,1780.48,170000,42.1645,29.9348
