Running Forward KL,Itration,Running Reverse KL,Real Sto Return,Real Det Return
37.5008,0,17.5756,218.67,205.27
36.2243,1,16.0166,286.98,281.5
35.7086,2,17.5698,270.42,265.43
34.9298,3,17.3522,335.81,334.41
32.9901,4,15.0622,384.57,329.45
31.5203,5,15.9606,602.14,636.9
32.1904,6,14.5358,1081.15,2179.97
32.5294,7,16.5836,2502.05,2540.52
31.5958,8,13.2409,1764.26,1712.69
33.4484,9,18.6876,879.75,653.32
32.062,10,17.309,1260.53,2743.52
31.8996,11,15.5687,2396.61,1871.04
29.9386,12,13.2391,2170.81,1598.17
29.6711,13,13.624,1993.25,2004.18
29.8403,14,13.5867,1672.44,1730.65
30.0848,15,13.8696,1965.47,2126.89
29.4857,16,15.1892,2589.08,3077.17
29.3644,17,14.7967,2941.99,2628.48
29.3168,18,14.1286,2377.77,2564.81
30.4116,19,17.8111,2122.32,2793.33
30.2332,20,15.6128,2206.17,2281.7
30.4138,21,15.0899,2552.6,1864.49
30.2541,22,16.1185,2486.46,2870.1
30.1242,23,15.2218,1481.21,1076.36
