Running Reverse KL,Running Forward KL,Real Sto Return,Itration,Real Det Return
19.0922,38.48,185.29,0,182.98
17.0979,36.283,297.16,1,295.91
42.3911,36.7361,263.98,2,275.27
115.6425,36.7478,285.05,3,288.47
27.9849,35.6929,326.25,4,329.14
