Reward Loss,Running Env Steps,Real Det Return,Running Forward KL,Running Reverse KL,Real Sto Return,Running Update Time,Itration
37.96965026855469,0,42.37,158.3327,11.1157,-158.82,0,0
57.14052963256836,5000,579.64,157.8421,10.658,-33.07,1,1
19.822956085205078,10000,610.13,157.4626,10.5562,124.23,2,2
17.503620147705078,15000,554.9,157.2055,10.637,230.64,3,3
-11.200308799743652,20000,812.76,157.0571,11.1618,402.59,4,4
-52.992523193359375,25000,231.45,156.9537,11.2475,528.46,5,5
-94.49076843261719,30000,871.42,157.1035,11.48,562.33,6,6
-131.1497039794922,35000,726.15,156.9895,11.6134,607.25,7,7
-193.47596740722656,40000,250.13,157.2725,12.2706,570.96,8,8
-190.92494201660156,45000,1064.14,156.9226,11.7908,790.66,9,9
-222.52183532714844,50000,1159.47,156.8599,12.1826,841.13,10,10
-238.1599578857422,55000,1228.78,156.8764,12.3095,883.37,11,11
-273.7007141113281,60000,1268.75,156.952,12.5118,927.77,12,12
-321.12823486328125,65000,1327.1,156.8671,12.4654,954.4,13,13
-343.73175048828125,70000,1360.62,156.8021,12.5594,1029.48,14,14
-391.4396667480469,75000,1369.25,156.8946,12.7528,1029.08,15,15
-415.9241943359375,80000,1446.31,156.9164,12.6323,1085.0,16,16
-447.0601806640625,85000,1489.44,156.8595,12.8059,1113.17,17,17
-475.58837890625,90000,1527.53,156.8849,12.9143,1146.26,18,18
-493.36505126953125,95000,1668.33,156.7684,12.9583,1191.49,19,19
-512.2794799804688,100000,1745.64,156.7175,13.3966,1254.86,20,20
-549.9635620117188,105000,1713.68,156.8027,13.6865,1229.8,21,21
-591.2114868164062,110000,1772.68,156.7615,13.7433,1282.23,22,22
-605.1797485351562,115000,1823.26,156.6839,13.6443,1310.52,23,23
-638.4031982421875,120000,1809.58,156.6246,13.8456,1387.97,24,24
-677.1405029296875,125000,1865.85,156.6931,14.028,1421.96,25,25
-692.0969848632812,130000,1763.64,156.5338,14.3989,1456.95,26,26
-741.4051513671875,135000,1905.76,156.6121,14.464,1500.99,27,27
-776.68994140625,140000,1920.85,156.5718,14.3763,1531.65,28,28
-817.8555908203125,145000,1916.76,156.6427,14.3681,1528.35,29,29
-833.6495361328125,150000,1863.14,156.5374,14.4097,1531.0,30,30
-891.609130859375,155000,1948.36,156.6429,14.5778,1564.87,31,31
-921.2314453125,160000,1960.32,156.7269,14.8738,1587.81,32,32
-955.9993896484375,165000,1974.23,156.5368,14.6782,1604.88,33,33
-967.9548950195312,170000,1965.89,156.4783,14.818,1612.57,34,34
-1040.5809326171875,175000,2056.6,156.6044,14.8302,1639.18,35,35
-1069.4039306640625,180000,2006.97,156.5402,14.4424,1627.23,36,36
-1096.11865234375,185000,2041.8,156.6515,14.8755,1631.94,37,37
-1138.4110107421875,190000,2009.38,156.4685,14.6284,1649.84,38,38
-1177.38037109375,195000,2051.12,156.6979,15.1477,1678.04,39,39
-1215.0047607421875,200000,2036.48,156.7292,15.0837,1657.4,40,40
-1248.0869140625,205000,2021.03,156.5127,15.0708,1680.58,41,41
-1279.928466796875,210000,2083.33,156.5505,14.8025,1672.79,42,42
-1324.8526611328125,215000,2068.2,156.6611,15.4097,1677.19,43,43
-1352.3494873046875,220000,2072.72,156.5747,15.153,1692.52,44,44
-1402.243896484375,225000,2106.28,156.5583,15.31,1739.83,45,45
-1446.5675048828125,230000,2066.66,156.6109,14.8273,1719.42,46,46
-1474.52880859375,235000,2065.56,156.5215,14.8553,1694.26,47,47
-1510.46923828125,240000,2100.41,156.5762,15.1558,1743.71,48,48
-1552.832763671875,245000,2038.13,156.5613,14.918,1702.35,49,49
-1570.1639404296875,250000,2067.01,156.682,14.8728,1699.48,50,50
-1640.8828125,255000,2083.07,156.5178,15.1788,1724.32,51,51
-1669.6192626953125,260000,2083.08,156.6194,14.8544,1709.07,52,52
-1708.2073974609375,265000,2084.59,156.5729,15.0855,1753.12,53,53
-1723.5548095703125,270000,2129.42,156.4184,15.1215,1759.42,54,54
-1774.1904296875,275000,2087.31,156.5253,14.8972,1723.19,55,55
-1803.7137451171875,280000,2075.57,156.5891,15.1558,1750.77,56,56
-1860.06787109375,285000,2093.13,156.6486,15.1847,1745.33,57,57
-1895.3011474609375,290000,2147.41,156.6234,15.2463,1783.33,58,58
-1921.0147705078125,295000,2152.94,156.6165,15.3014,1801.99,59,59
-1955.20556640625,300000,2127.0,156.6075,14.992,1761.05,60,60
-2023.865478515625,305000,2107.54,156.5196,15.1073,1765.82,61,61
-2031.068359375,310000,2138.91,156.5592,14.9612,1772.56,62,62
-2089.46728515625,315000,2156.18,156.6242,15.4009,1792.19,63,63
-2133.072265625,320000,2166.45,156.6333,15.1755,1770.9,64,64
-2159.1494140625,325000,2164.79,156.5656,15.1034,1777.69,65,65
-2191.0703125,330000,2146.92,156.6409,15.3461,1781.92,66,66
-2255.664794921875,335000,2171.56,156.6876,15.2781,1795.43,67,67
-2282.0546875,340000,2170.98,156.6495,14.9227,1784.95,68,68
-2305.50244140625,345000,2164.36,156.4963,15.1522,1812.3,69,69
-2366.157470703125,350000,2116.26,156.5571,14.8003,1760.98,70,70
-2417.528076171875,355000,2140.29,156.6619,15.2194,1795.38,71,71
-2462.37646484375,360000,2068.47,156.6693,14.8505,1746.38,72,72
-2491.975830078125,365000,2184.78,156.5018,15.2909,1805.76,73,73
-2543.626220703125,370000,2190.95,156.5729,15.0611,1805.87,74,74
-2569.668701171875,375000,2177.28,156.7239,15.3456,1807.06,75,75
-2630.969482421875,380000,2111.2,156.6388,15.2644,1772.68,76,76
-2645.91943359375,385000,2158.81,156.5658,15.147,1815.23,77,77
-2691.745361328125,390000,2182.26,156.7032,15.3282,1826.18,78,78
-2758.339111328125,395000,2111.32,156.7019,15.0385,1758.4,79,79
-2773.943359375,400000,2225.53,156.7276,15.3334,1851.03,80,80
-2817.696044921875,405000,2200.52,156.7053,15.2241,1837.9,81,81
-2866.23486328125,410000,2191.83,156.7254,15.1825,1837.64,82,82
-2919.924560546875,415000,2228.5,156.8412,15.3934,1840.78,83,83
-2950.466796875,420000,2198.5,156.6977,15.1212,1826.93,84,84
-2977.676025390625,425000,2219.91,156.6557,15.0727,1825.27,85,85
-3027.789794921875,430000,2202.08,156.3962,15.0595,1822.29,86,86
-3085.98388671875,435000,2197.02,156.6454,15.1982,1841.21,87,87
-3124.353515625,440000,2210.31,156.6564,15.1698,1832.37,88,88
-3149.465576171875,445000,2219.72,156.6281,15.2645,1857.53,89,89
-3204.61474609375,450000,2224.69,156.6,15.1308,1835.09,90,90
-3254.631591796875,455000,2234.6,156.6312,15.2444,1857.24,91,91
-3318.144775390625,460000,2187.49,156.8099,15.1823,1824.92,92,92
-3348.2080078125,465000,2215.93,156.737,15.2023,1820.8,93,93
-3381.42431640625,470000,2200.7,156.6425,15.0728,1844.05,94,94
-3417.385498046875,475000,2246.57,156.5366,15.1899,1857.55,95,95
-3476.28662109375,480000,2166.75,156.6909,14.7958,1807.55,96,96
-3522.513427734375,485000,2227.4,156.6322,15.2962,1846.14,97,97
-3579.69384765625,490000,2195.48,156.618,14.967,1852.49,98,98
-3598.671142578125,495000,2212.98,156.5423,14.9681,1851.53,99,99
-3657.29541015625,500000,2200.69,156.5984,15.0652,1848.05,100,100
-3699.166015625,505000,2223.87,156.622,15.0485,1851.01,101,101
-3748.140380859375,510000,2218.44,156.5803,14.96,1833.35,102,102
-3789.12451171875,515000,2249.88,156.6136,15.0627,1854.72,103,103
-3841.7763671875,520000,2228.57,156.6686,15.2712,1849.32,104,104
-3908.125732421875,525000,2169.52,156.795,14.8898,1803.79,105,105
-3944.47998046875,530000,2245.13,156.4492,14.9254,1873.21,106,106
