Real Det Return,Real Sto Return,Itration,Running Reverse KL,Running Forward KL
206.09,312.71,0,267.1764,447.0328
329.93,333.64,1,317.3694,443.6565
457.62,460.34,2,268.659,426.7869
529.17,414.32,3,261.785,412.7864
329.6,396.13,4,265.3539,413.0197
526.69,440.19,5,260.7328,413.8922
427.57,434.36,6,258.1386,405.0372
504.6,441.61,7,263.2838,415.725
563.32,513.22,8,318.9918,410.3297
507.81,466.52,9,308.3145,424.2947
547.15,486.23,10,326.8242,405.229
495.59,506.94,11,338.4421,396.0146
536.08,522.98,12,255.1289,402.0829
555.37,498.44,13,309.8261,396.9013
576.58,518.25,14,258.498,400.223
626.14,553.67,15,336.0222,392.8329
554.74,547.53,16,261.1491,396.7273
793.87,562.88,17,272.5022,406.7816
670.74,595.04,18,278.1072,391.967
704.45,550.63,19,244.4794,395.2948
668.92,608.57,20,249.3848,391.1664
617.64,576.55,21,239.1687,396.8034
614.02,643.86,22,233.8977,384.5242
593.38,621.66,23,258.3186,400.4358
623.91,743.09,24,237.9731,389.7099
670.3,742.58,25,237.4017,379.1743
662.48,633.6,26,244.8606,393.4993
625.3,632.69,27,254.4046,389.3727
649.95,652.21,28,259.9851,389.4586
620.76,624.22,29,249.6227,388.1832
632.47,653.4,30,263.9548,380.4655
745.52,724.38,31,263.1612,380.9551
704.19,699.09,32,260.6128,373.4232
769.21,749.23,33,252.4547,370.4235
666.68,916.0,34,251.4723,379.9551
879.94,946.24,35,260.9971,379.1371
712.3,942.99,36,249.8811,365.2712
892.73,822.31,37,246.1496,382.4278
946.77,971.75,38,245.8529,385.1349
996.91,843.87,39,238.4719,363.0012
742.21,1051.46,40,241.393,373.9673
893.57,1074.87,41,245.9459,370.728
800.91,1235.65,42,254.9822,366.9954
798.9,1336.97,43,226.2876,364.2767
792.75,1219.77,44,263.4348,357.6852
739.35,1186.89,45,255.6307,377.411
778.86,1094.67,46,236.1157,373.5241
647.25,1267.66,47,242.1806,368.6538
781.49,1135.73,48,237.5062,367.2406
726.04,1389.18,49,281.2701,364.898
750.68,997.44,50,247.9777,375.1741
663.22,1299.76,51,225.3059,360.4914
993.35,1382.59,52,268.4369,366.1406
1115.4,1941.34,53,220.1064,350.2247
832.25,2112.0,54,247.1153,353.4379
750.54,1754.04,55,212.6316,366.6851
1189.81,2043.71,56,208.8528,364.0618
880.49,3129.45,57,205.6524,353.6551
1069.96,3016.34,58,209.2255,360.066
1266.72,3607.84,59,193.3202,358.0856
1725.83,3073.53,60,193.5169,358.8076
1559.46,3660.48,61,175.2451,349.5145
1753.8,3428.99,62,189.2623,356.3002
1456.28,2950.3,63,190.5931,365.6884
1804.98,3423.6,64,183.6571,348.0592
1774.83,4377.62,65,169.2716,360.5689
1964.26,3679.97,66,200.7626,369.7577
2365.7,4234.01,67,172.4536,349.3995
2594.89,4656.86,68,173.8366,354.2134
2222.56,3748.06,69,166.5682,348.8095
2078.01,3432.5,70,179.8001,360.3142
