Itration,Running Env Steps,Running Reverse KL,Running Update Time,Reward Loss,Running Forward KL,Real Sto Return,Real Det Return
0,0,21.2123,0,290.0675048828125,33.3798,194.15,182.14
1,5000,14.6231,1,183.93748474121094,31.009,299.46,290.39
2,10000,29.694,2,259.1949768066406,30.543,352.45,349.83
3,15000,31.718,3,140.67955017089844,30.2532,368.88,375.81
4,20000,27.3455,4,154.05772399902344,30.1909,376.8,379.83
5,25000,40.9054,5,126.4859848022461,30.5168,368.66,350.12
6,30000,49.4812,6,127.29840850830078,28.1678,394.72,391.17
7,35000,48.1784,7,28.88962745666504,25.7005,448.9,411.44
8,40000,30.8991,8,-115.4834213256836,25.2395,630.58,644.47
9,45000,36.0585,9,-82.23151397705078,25.8565,685.97,644.07
10,50000,29.3325,10,-172.3153076171875,30.1206,475.61,288.5
11,55000,39.41,11,-245.16697692871094,25.448,732.76,722.44
12,60000,20.7763,12,48.093666076660156,24.2409,689.55,677.66
13,65000,16.1043,13,-129.4110565185547,22.7344,1152.81,1149.7
14,70000,16.7702,14,-261.95611572265625,23.6751,838.57,864.08
15,75000,14.8388,15,-249.9066162109375,23.724,883.52,870.72
16,80000,26.7331,16,-34.5228385925293,23.5034,979.34,867.6
17,85000,38.2416,17,-82.66862487792969,23.2409,1373.96,1199.88
18,90000,14.3919,18,-160.41061401367188,23.389,2490.88,1877.67
19,95000,30.2614,19,-181.7567138671875,22.6019,1894.78,2899.8
20,100000,15.5634,20,-146.03199768066406,22.6285,2440.22,3049.27
21,105000,18.7223,21,-276.8559265136719,23.5621,1009.52,1111.01
22,110000,14.5796,22,-143.90623474121094,22.6952,2146.36,3081.03
23,115000,17.3311,23,-203.07525634765625,22.9083,1813.05,1947.0
24,120000,11.8502,24,-153.7912139892578,22.2992,2912.17,3092.79
25,125000,13.2009,25,-304.571533203125,23.0143,1156.72,1461.6
26,130000,14.8058,26,-178.27394104003906,23.3728,2941.46,3042.45
27,135000,13.3516,27,-217.2813720703125,21.6139,1727.69,2856.16
28,140000,14.0559,28,-135.03948974609375,22.6826,2994.65,3087.09
29,145000,20.5638,29,-186.96212768554688,22.3223,1373.2,2603.19
30,150000,20.9309,30,-149.07582092285156,20.9415,2066.89,3082.23
31,155000,32.1426,31,-274.10894775390625,21.4751,2021.85,3126.76
32,160000,22.3789,32,-218.4459686279297,21.3518,2195.93,3062.68
33,165000,16.5064,33,-200.21266174316406,22.2891,2561.3,3070.9
34,170000,25.4625,34,-205.12655639648438,21.2563,2600.97,3117.41
35,175000,23.3802,35,-214.65225219726562,22.0352,2779.64,3103.9
36,180000,59.4051,36,-413.2831726074219,22.2886,1494.29,1835.89
37,185000,17.5121,37,-238.7017059326172,21.9817,3070.38,3099.75
38,190000,27.0098,38,-459.8041076660156,21.6629,1948.97,3153.19
39,195000,17.8059,39,-393.623291015625,21.2681,2212.0,3110.42
40,200000,13.0232,40,-222.86300659179688,22.2151,2828.45,3128.5
41,205000,18.121,41,-301.6531066894531,23.0974,2924.6,3096.83
42,210000,22.957,42,-250.19094848632812,22.0997,2998.57,3106.48
43,215000,15.2624,43,-272.6771545410156,21.6686,2731.94,3123.72
44,220000,13.5658,44,-335.030029296875,21.0834,2097.68,3108.56
45,225000,11.8769,45,-227.18441772460938,21.4046,2618.87,3110.28
46,230000,13.1088,46,-232.64163208007812,21.0312,2517.57,3131.31
47,235000,18.0271,47,-391.7000732421875,21.6572,2175.49,3137.49
48,240000,12.3327,48,-272.1426696777344,21.3269,2737.71,3156.37
49,245000,11.6574,49,-291.71954345703125,21.1065,3072.3,3129.42
50,250000,19.62,50,-366.4169006347656,21.0812,2955.2,3129.95
51,255000,11.4958,51,-253.6140594482422,21.0059,3007.37,3108.45
52,260000,12.1609,52,-267.5613708496094,21.4356,3022.76,3102.76
53,265000,12.733,53,-356.4837646484375,21.3173,2521.8,3133.71
54,270000,14.5214,54,-359.7390441894531,21.1123,3015.35,3124.29
55,275000,12.8923,55,-351.331298828125,22.1234,2739.4,3123.15
56,280000,12.3257,56,-302.1017150878906,21.202,2829.07,3123.49
57,285000,13.4482,57,-298.3453674316406,20.9181,3032.65,3193.98
58,290000,12.1352,58,-316.2518615722656,21.4685,3045.15,3140.59
59,295000,10.9011,59,-350.8847351074219,20.5051,2810.57,3146.39
60,300000,12.7003,60,-373.4108581542969,21.2995,2854.38,3127.75
61,305000,12.4136,61,-340.9246520996094,20.7363,3051.02,3138.96
