Running Forward KL,Real Sto Return,Running Reverse KL,Itration,Real Det Return
427.5419,328.8,270.604,0,319.07
443.9428,313.69,273.0207,1,286.44
428.5215,390.28,256.7766,2,370.25
416.8417,397.8,258.7785,3,406.61
415.7589,403.35,257.8043,4,295.04
405.935,452.29,260.8962,5,506.4
416.4562,456.24,267.0444,6,525.31
400.2029,507.03,245.8708,7,526.26
386.6438,498.11,255.389,8,490.98
386.4184,569.04,249.1238,9,570.75
381.498,526.2,245.9175,10,525.21
378.0214,593.11,244.325,11,540.9
379.3541,566.08,248.2958,12,528.0
369.3182,640.98,231.8032,13,555.4
385.4343,673.86,254.2628,14,643.92
364.998,699.63,249.1746,15,660.83
372.5884,859.84,236.498,16,481.36
369.1132,753.6,231.4463,17,693.13
366.8616,644.23,251.9725,18,583.31
362.0036,998.69,237.3588,19,819.56
356.8166,869.93,251.3043,20,750.33
342.7479,948.44,209.9693,21,752.27
335.847,1193.29,223.6832,22,891.99
337.6888,1224.88,205.5506,23,1183.23
347.9468,1081.8,211.6198,24,876.18
343.7958,1215.81,204.0454,25,871.65
335.3876,1127.52,194.5473,26,1442.21
336.505,1252.82,215.3271,27,1167.48
336.6514,1102.75,210.2924,28,1724.38
330.7504,1503.33,218.3814,29,1213.93
338.4843,1187.38,195.8851,30,1206.09
333.0343,1628.53,197.3212,31,1476.29
340.2791,1274.39,235.4588,32,1011.39
332.7976,1453.09,212.637,33,789.54
325.1701,1644.75,188.5563,34,1728.17
327.6015,1579.41,194.3509,35,1003.92
324.7202,1719.27,207.0003,36,876.38
327.2679,1602.89,195.4494,37,2533.32
330.176,1686.97,218.3117,38,1054.5
312.9361,1987.42,184.6642,39,1825.89
310.2426,2102.91,157.6769,40,1811.48
313.6108,2276.93,166.2524,41,2686.16
292.1301,2637.02,116.4004,42,3348.01
289.0921,3129.13,110.8657,43,3714.97
303.3195,2536.62,155.4068,44,2286.84
303.4004,2405.39,156.9441,45,2727.26
295.6654,3345.22,138.1182,46,2439.17
296.3911,2464.18,134.9777,47,3024.38
299.2756,3924.14,133.7762,48,3178.62
283.8477,3196.3,97.5807,49,1115.85
304.5429,3526.11,146.9795,50,2075.75
273.9261,4174.24,76.1971,51,4297.37
279.1301,4094.22,95.8317,52,2368.01
278.0838,4446.74,86.3484,53,4664.39
277.5034,4530.99,81.5615,54,3316.37
276.6691,4622.93,73.3131,55,3837.26
267.6645,4151.7,72.8699,56,4121.86
278.3871,4892.43,104.9296,57,4640.57
288.4724,4392.42,106.813,58,836.73
270.0306,4829.67,70.0495,59,4730.19
267.9805,3959.67,79.8048,60,5277.01
268.1894,4609.33,74.8217,61,4812.9
269.9881,4544.15,69.2755,62,4271.38
263.3602,4945.47,61.3827,63,5075.44
272.4384,4677.09,77.6303,64,5027.71
269.9,4656.54,74.4996,65,4800.34
272.0121,4974.01,63.9106,66,4533.79
268.1809,4957.51,68.6086,67,5114.31
274.8357,4111.55,76.2099,68,5030.43
278.2188,3761.64,88.6576,69,4915.75
274.4691,4931.03,100.577,70,4879.67
270.8886,5154.24,65.0447,71,5260.33
271.11,4759.29,77.7487,72,3953.55
283.4412,4650.28,122.6951,73,4233.44
274.9656,4691.66,96.1421,74,4421.6
265.7824,5191.07,71.7438,75,4184.84
284.0209,3384.48,107.2242,76,2019.67
279.8481,4048.24,93.4508,77,4350.28
276.0846,4766.96,93.8942,78,3544.8
276.1337,4787.62,83.3189,79,1825.64
281.3444,4611.41,88.9246,80,1219.77
284.9945,3508.53,105.7749,81,818.41
