Real Sto Return,Itration,Running Env Steps,Reward Loss,Running Update Time,Running Reverse KL,Running Forward KL,Real Det Return
239.97,0,0,242.31051635742188,0,260.2403,456.6897,206.47
313.35,1,5000,751.19921875,1,261.2479,437.4227,289.39
397.26,2,10000,925.5218505859375,2,250.9906,424.7615,345.01
444.04,3,15000,-420.8519592285156,3,262.5883,429.783,354.24
466.84,4,20000,165.31944274902344,4,245.7173,430.2445,446.41
452.59,5,25000,-928.486572265625,5,252.6744,420.9247,377.59
461.4,6,30000,-838.1784057617188,6,254.1354,423.2945,635.81
475.98,7,35000,-1068.0111083984375,7,259.9588,446.1526,468.45
470.02,8,40000,-1921.6151123046875,8,271.7208,444.38,492.58
491.93,9,45000,-2114.406494140625,9,253.852,414.9867,611.8
487.46,10,50000,-2138.96728515625,10,278.1385,418.917,503.33
560.53,11,55000,-2436.601318359375,11,291.8767,417.2328,544.97
491.27,12,60000,-2760.31298828125,12,279.6382,418.3994,512.82
590.24,13,65000,-2978.29736328125,13,276.9102,422.5923,553.04
570.58,14,70000,-3380.722412109375,14,286.3271,411.9682,543.55
494.27,15,75000,-3000.3232421875,15,279.422,407.8721,482.22
521.84,16,80000,-2765.800048828125,16,307.1638,400.033,491.88
554.0,17,85000,-3933.41650390625,17,266.3613,405.6648,537.91
497.08,18,90000,-4234.70458984375,18,271.4736,402.5444,520.23
496.15,19,95000,-4319.77197265625,19,278.9043,398.9683,518.81
547.35,20,100000,-4493.5654296875,20,278.4699,403.9856,508.77
566.22,21,105000,-4851.15185546875,21,280.1257,398.8963,643.28
593.4,22,110000,-4901.4990234375,22,261.4246,397.1388,584.73
524.63,23,115000,-5177.6533203125,23,268.6913,401.8287,481.26
564.12,24,120000,-5415.56884765625,24,259.5587,399.7718,607.37
583.84,25,125000,-5369.720703125,25,258.2567,410.5079,663.27
597.16,26,130000,-6231.6669921875,26,264.2786,402.2101,621.62
564.3,27,135000,-6291.546875,27,267.4561,398.0004,642.28
589.04,28,140000,-6222.84423828125,28,270.783,401.7117,563.96
496.68,29,145000,-5969.17529296875,29,280.8287,400.8868,447.45
644.01,30,150000,-6947.4619140625,30,254.3875,391.2843,529.08
637.81,31,155000,-6980.72119140625,31,262.1391,389.2469,480.09
602.93,32,160000,-7474.3212890625,32,293.033,410.2226,473.7
587.44,33,165000,-7305.7060546875,33,285.3579,400.6534,454.96
758.48,34,170000,-7313.6328125,34,248.5455,404.5156,558.0
603.38,35,175000,-8482.6953125,35,250.6413,390.6641,617.03
638.35,36,180000,-6994.9990234375,36,285.9594,396.0034,671.82
718.04,37,185000,-8419.982421875,37,254.9065,396.1047,767.77
670.61,38,190000,-7746.7431640625,38,265.8399,390.8903,743.37
641.63,39,195000,-8650.0498046875,39,279.7663,396.0283,688.19
707.8,40,200000,-7738.19140625,40,302.7552,391.5021,658.39
671.92,41,205000,-9699.955078125,41,273.8032,399.1226,713.25
707.05,42,210000,-9118.935546875,42,247.5655,394.9579,668.41
761.48,43,215000,-8865.0283203125,43,253.3151,386.5585,623.51
672.8,44,220000,-9111.5546875,44,277.5055,398.8478,529.74
656.16,45,225000,-10207.9150390625,45,274.3719,399.879,571.88
714.03,46,230000,-10394.115234375,46,273.1861,385.4363,532.29
706.69,47,235000,-10382.328125,47,268.1919,384.0416,556.09
851.18,48,240000,-10741.69140625,48,280.9755,380.2687,622.08
814.32,49,245000,-10630.955078125,49,260.2362,382.1824,648.57
745.71,50,250000,-10628.970703125,50,249.5134,382.2942,570.58
870.0,51,255000,-10796.4970703125,51,268.3469,383.1421,617.7
893.38,52,260000,-10212.6005859375,52,254.776,379.793,711.64
798.56,53,265000,-10816.779296875,53,257.8188,382.0106,685.66
878.56,54,270000,-10615.7119140625,54,240.4932,384.4367,725.82
832.71,55,275000,-11560.205078125,55,250.2524,388.3103,624.24
869.08,56,280000,-11538.9580078125,56,255.5163,385.3113,613.37
762.2,57,285000,-11577.5244140625,57,252.6422,383.8957,596.64
1061.01,58,290000,-11054.3115234375,58,239.8645,380.051,710.15
1020.38,59,295000,-10983.30859375,59,233.8015,370.2591,575.57
1069.73,60,300000,-11305.8447265625,60,241.0464,377.0657,654.72
1023.56,61,305000,-11620.4150390625,61,256.108,381.2977,643.34
1016.22,62,310000,-10770.8623046875,62,223.818,367.6107,634.91
1239.04,63,315000,-12511.9267578125,63,302.453,375.5825,639.17
1000.75,64,320000,-11882.1728515625,64,238.9721,372.1168,664.67
1398.59,65,325000,-11694.91796875,65,232.0657,361.5765,716.75
1277.78,66,330000,-11470.2958984375,66,212.8057,364.1834,700.76
1578.2,67,335000,-10650.5205078125,67,212.8113,358.6724,825.98
1127.24,68,340000,-11889.009765625,68,248.4803,371.7429,804.18
1580.47,69,345000,-10428.896484375,69,202.3276,349.7317,817.09
2645.13,70,350000,-9327.7255859375,70,184.1784,345.8941,762.9
3047.46,71,355000,-9920.7294921875,71,193.8834,351.8318,772.29
2145.55,72,360000,-8586.1416015625,72,167.6597,339.2654,774.04
3337.6,73,365000,-5328.06396484375,73,147.3825,336.1364,834.63
3428.4,74,370000,-8105.587890625,74,170.2033,339.0271,914.73
2561.92,75,375000,-9656.568359375,75,216.8024,343.7128,712.58
1570.93,76,380000,-12108.08203125,76,256.0211,357.6469,691.85
3449.64,77,385000,-8910.7978515625,77,178.3214,344.8274,614.57
3174.3,78,390000,-8548.2236328125,78,181.6266,340.4376,955.81
2799.77,79,395000,-11658.580078125,79,225.7296,353.8596,713.25
