Running Reverse KL,Real Sto Return,Running Env Steps,Real Det Return,Itration,Reward Loss,Running Forward KL,Running Update Time
17.0113,193.12,0,206.92,0,243.6977996826172,33.0819,0
25.3208,273.59,5000,280.44,1,19.39760971069336,31.4228,1
19.1863,293.8,10000,303.73,2,30.32359504699707,30.9227,2
21.8461,290.68,15000,299.6,3,15.146142959594727,30.67,3
23.033,333.08,20000,367.36,4,-12.389806747436523,31.0747,4
28.6981,302.16,25000,365.21,5,-40.53692626953125,30.5159,5
26.3063,201.37,30000,273.17,6,-229.41995239257812,32.5655,6
26.4511,387.07,35000,396.38,7,-95.51014709472656,32.2572,7
31.6493,354.96,40000,355.54,8,97.3948745727539,30.4907,8
46.6117,35.32,45000,36.67,9,-495.0452880859375,37.2876,9
24.7616,976.87,50000,993.19,10,-466.3228454589844,36.4883,10
19.6361,1067.74,55000,1066.35,11,-433.0342712402344,34.2806,11
29.426,343.79,60000,294.35,12,-554.3538818359375,31.0053,12
40.2744,979.59,65000,972.64,13,-629.4015502929688,32.3044,13
18.478,1222.5,70000,1254.34,14,-437.05145263671875,32.5119,14
21.5703,911.09,75000,1201.57,15,-490.27899169921875,33.7276,15
34.9083,1033.96,80000,1032.89,16,-577.5533447265625,34.7541,16
37.3137,355.95,85000,359.42,17,-480.8397216796875,32.6157,17
19.6671,257.13,90000,255.94,18,-378.3000183105469,32.7582,18
46.0525,973.06,95000,973.08,19,-885.542236328125,37.4857,19
49.7582,1018.16,100000,1018.03,20,-897.8138427734375,37.3385,20
40.9798,994.95,105000,994.83,21,-952.5252075195312,39.8855,21
22.9271,986.29,110000,989.95,22,-778.850830078125,33.9968,22
34.4683,1062.63,115000,1066.06,23,-912.3020629882812,34.0328,23
37.2494,1053.34,120000,1052.17,24,-888.0049438476562,32.9815,24
36.2384,1040.89,125000,1036.55,25,-958.955810546875,33.7747,25
21.3721,36.77,130000,56.85,26,-779.1133422851562,32.1041,26
116.7445,68.3,135000,68.29,27,-977.3131103515625,31.4152,27
30.7349,1289.52,140000,1291.41,28,-821.0941772460938,34.101,28
41.1873,989.94,145000,991.24,29,-1228.0147705078125,34.2031,29
25.4596,1030.38,150000,1032.45,30,-1197.5230712890625,33.0152,30
35.868,181.51,155000,182.09,31,-1217.571533203125,32.2016,31
