Real Sto Return,Reward Loss,Itration,Running Reverse KL,Running Env Steps,Running Update Time,Running Forward KL,Real Det Return
170.76,-263.6636047363281,0,16.6258,0,0,32.6311,152.9
337.13,-209.11709594726562,1,14.0377,5000,1,28.9616,341.97
168.75,-205.8092803955078,2,13.9411,10000,2,27.7592,86.65
381.5,-254.97215270996094,3,20.8727,15000,3,28.2407,407.77
433.72,-271.9336242675781,4,22.2325,20000,4,27.7096,499.98
614.46,-280.9432067871094,5,20.1403,25000,5,24.4638,720.38
709.93,-280.6069641113281,6,17.9117,30000,6,25.4608,663.35
564.32,-317.0836181640625,7,17.8312,35000,7,27.6655,555.49
654.65,-308.34027099609375,8,21.5771,40000,8,26.6642,671.0
1035.96,-457.76092529296875,9,35.5563,45000,9,36.7214,1036.59
76.22,-519.3909301757812,10,82.8388,50000,10,35.6974,75.02
62.91,-532.0742797851562,11,177.5862,55000,11,38.0797,67.38
251.77,-390.7233581542969,12,34.0611,60000,12,31.7073,252.22
187.36,-413.489501953125,13,24.0547,65000,13,35.2967,187.83
1052.2,-497.7916259765625,14,24.2002,70000,14,37.0482,1051.97
973.15,-509.2019348144531,15,55.4471,75000,15,39.7268,973.44
1027.58,-500.2251892089844,16,26.9679,80000,16,37.8693,1019.24
1058.4,-536.41357421875,17,27.6394,85000,17,34.4268,1056.06
201.05,-439.5947570800781,18,47.0558,90000,18,31.8016,177.91
1041.67,-561.9282836914062,19,35.43,95000,19,33.354,1044.56
670.26,-559.2302856445312,20,43.6798,100000,20,37.2621,670.53
1016.94,-575.9931030273438,21,32.0074,105000,21,36.811,1017.57
950.79,-511.818359375,22,24.922,110000,22,30.4528,960.9
35.92,-587.6205444335938,23,33.3705,115000,23,33.7207,36.29
998.62,-616.7606201171875,24,34.7672,120000,24,38.3405,998.45
1028.62,-623.2465209960938,25,30.6556,125000,25,37.9929,1029.08
1036.54,-653.5361938476562,26,42.3834,130000,26,37.4347,1036.19
308.95,-618.77001953125,27,54.8428,135000,27,31.8868,418.51
1036.45,-657.7740478515625,28,32.1651,140000,28,38.1986,1054.23
316.21,-673.2398681640625,29,36.5599,145000,29,33.8627,317.92
1010.75,-690.8038940429688,30,32.873,150000,30,36.9797,1012.59
972.11,-689.2764892578125,31,43.4376,155000,31,39.4687,973.02
267.7,-344.845458984375,32,116.3095,160000,32,31.4242,270.26
983.82,-718.704833984375,33,38.3516,165000,33,35.2942,1028.7
259.91,-572.3714599609375,34,43.1307,170000,34,32.8697,259.1
325.31,-623.2406616210938,35,46.5367,175000,35,32.2868,317.7
1043.77,-735.6492309570312,36,36.0727,180000,36,37.6521,1043.92
503.15,-591.406494140625,37,25.0183,185000,37,30.0886,529.58
1003.37,-754.9223022460938,38,31.4052,190000,38,39.4814,1003.24
999.88,-762.8646850585938,39,33.3382,195000,39,39.0718,1000.51
992.35,-777.930908203125,40,26.8846,200000,40,40.1902,996.22
1002.52,-766.0965576171875,41,26.6173,205000,41,35.8382,1005.92
998.35,-794.1387329101562,42,44.2035,210000,42,39.6349,999.73
1010.55,-794.2568359375,43,37.6302,215000,43,36.45,1010.75
707.94,-763.5004272460938,44,24.8894,220000,44,34.1547,554.65
369.95,-712.3572998046875,45,34.1309,225000,45,33.7545,368.08
327.57,-682.0487670898438,46,44.161,230000,46,32.8769,302.08
1016.63,-842.1929931640625,47,40.2961,235000,47,37.8568,1017.5
394.51,-646.7364501953125,48,21.5368,240000,48,32.0839,481.69
1048.82,-883.6134643554688,49,25.0933,245000,49,35.7011,1042.62
305.92,-743.3345947265625,50,34.6988,250000,50,32.2142,321.49
1020.36,-857.1149291992188,51,21.1829,255000,51,36.2392,1016.95
988.71,-908.7672119140625,52,44.7828,260000,52,38.4565,988.91
470.84,-956.8894653320312,53,29.6719,265000,53,38.1496,282.55
1022.13,-944.5918579101562,54,30.6389,270000,54,36.321,1022.28
1013.77,-921.864990234375,55,26.8702,275000,55,36.1953,1016.6
1006.77,-926.7435913085938,56,24.2969,280000,56,35.829,1014.21
1014.26,-972.6104125976562,57,33.1515,285000,57,36.3168,1014.98
1022.06,-932.2058715820312,58,22.7734,290000,58,35.1642,1019.19
1023.63,-978.673583984375,59,27.8579,295000,59,35.0924,1024.71
1020.3,-996.9519653320312,60,33.5267,300000,60,34.765,1020.5
856.63,-861.1837768554688,61,17.9914,305000,61,30.3259,675.06
1021.81,-1020.710205078125,62,32.1052,310000,62,33.9814,1023.0
306.66,-931.07763671875,63,24.306,315000,63,32.9358,313.84
505.64,-978.918701171875,64,32.3105,320000,64,32.3637,480.24
624.35,-981.0922241210938,65,27.1321,325000,65,34.4563,648.61
1028.82,-1073.9598388671875,66,28.6852,330000,66,37.8185,1029.15
1034.1,-1106.590087890625,67,32.3735,335000,67,37.5257,1038.59
