Real Sto Return,Reward Loss,Running Forward KL,Running Update Time,Itration,Real Det Return,Running Env Steps,Running Reverse KL
309.42,-802.2921142578125,470.664,0,0,266.43,0,246.0979
367.06,-905.2547607421875,443.4052,1,1,368.42,5000,313.9256
354.38,-330.5417175292969,433.5685,2,2,374.5,10000,318.7287
308.6,-511.032470703125,441.4427,3,3,234.69,15000,240.6913
367.45,-1258.3134765625,434.8085,4,4,298.35,20000,274.6506
296.36,-1971.3087158203125,452.5329,5,5,277.91,25000,273.4546
324.99,-2047.1954345703125,451.7425,6,6,305.86,30000,272.1704
392.1,-2397.594970703125,442.1202,7,7,328.33,35000,256.4793
409.02,-2585.989990234375,445.4695,8,8,342.92,40000,268.6822
499.24,-2997.9072265625,432.5236,9,9,476.32,45000,243.1586
458.13,-3054.145263671875,434.0608,10,10,601.82,50000,249.4934
519.28,-3189.979248046875,447.7418,11,11,562.3,55000,251.8945
494.92,-3817.27783203125,445.2191,12,12,580.91,60000,244.2928
537.03,-3844.774169921875,440.161,13,13,578.34,65000,244.3958
502.51,-3858.59716796875,428.9442,14,14,404.69,70000,242.1472
536.13,-3722.89794921875,427.5929,15,15,420.32,75000,227.6601
