Real Det Return,Running Forward KL,Running Update Time,Running Reverse KL,Reward Loss,Running Env Steps,Real Sto Return,Itration
186.43,32.0418,0,21.128,-1415.39501953125,0,190.84,0
333.58,27.8668,1,19.4743,-1205.2569580078125,5000,318.86,1
416.73,25.0701,2,17.4417,-1045.6865234375,10000,412.04,2
425.28,26.8116,3,24.0549,-1602.6156005859375,15000,413.77,3
532.61,22.6927,4,16.9211,-1300.145751953125,20000,579.75,4
3092.21,20.7543,5,12.4086,-637.2506103515625,25000,1640.04,5
396.68,24.1748,6,13.8032,-588.45458984375,30000,631.09,6
2827.55,20.2785,7,11.9971,-697.0933227539062,35000,2227.1,7
2827.5,20.9668,8,15.0189,-1056.9278564453125,40000,2243.16,8
847.31,22.0911,9,18.1083,-1233.4427490234375,45000,829.85,9
3265.74,21.4776,10,18.8167,-1093.6710205078125,50000,1130.41,10
2546.28,21.5716,11,12.9324,-894.3687744140625,55000,2151.98,11
1079.89,22.4654,12,14.9564,-1023.7180786132812,60000,2072.38,12
3252.96,21.5114,13,14.2818,-609.5402221679688,65000,2660.71,13
1362.82,20.6156,14,18.3749,-1083.8082275390625,70000,1556.83,14
3223.33,20.1065,15,12.1168,-561.3326416015625,75000,2625.42,15
3353.57,20.4076,16,12.1704,-350.30194091796875,80000,2518.67,16
3335.48,20.824,17,13.1095,-175.8622589111328,85000,3196.29,17
3328.78,18.8353,18,11.3782,-556.7237548828125,90000,3174.71,18
3312.88,18.7225,19,11.1885,-236.04873657226562,95000,3281.5,19
3374.97,21.4181,20,13.4305,-256.3421936035156,100000,2914.63,20
3334.54,19.8355,21,11.7219,-304.2313537597656,105000,2542.92,21
3328.68,21.2728,22,11.7656,-923.1087036132812,110000,2032.88,22
3342.16,20.5721,23,11.6054,-664.6803588867188,115000,2887.4,23
3265.16,20.4717,24,13.52,-265.9504699707031,120000,3263.32,24
3235.65,19.7985,25,13.2056,-249.08009338378906,125000,3253.26,25
3321.7,20.2473,26,12.5557,-310.03509521484375,130000,2931.81,26
3294.95,20.6771,27,12.9881,-306.9192810058594,135000,3229.29,27
3252.51,21.0946,28,13.3239,-238.80718994140625,140000,3277.62,28
3304.3,18.9026,29,11.5148,-282.28472900390625,145000,3214.72,29
3396.56,20.7749,30,12.6169,-648.3880004882812,150000,2710.8,30
3260.15,21.0184,31,12.5923,-307.9147644042969,155000,3250.53,31
3253.45,20.4833,32,13.7225,-267.8795166015625,160000,3298.96,32
3374.56,19.4648,33,12.3313,-191.78506469726562,165000,3296.69,33
3368.66,20.3301,34,13.1432,-202.78460693359375,170000,3370.88,34
3428.4,20.5936,35,11.7523,-941.0980224609375,175000,2589.74,35
3347.69,20.7573,36,12.3427,-254.99038696289062,180000,3343.98,36
3411.24,20.747,37,12.8679,-387.25823974609375,185000,3156.38,37
3482.22,20.1395,38,12.1414,-435.1357421875,190000,3192.34,38
3450.59,21.0953,39,12.7326,-347.036376953125,195000,3327.18,39
3425.01,21.4893,40,12.6872,-1121.009765625,200000,2147.58,40
3370.26,20.3653,41,12.6542,-256.15936279296875,205000,3389.24,41
3378.5,20.1179,42,12.4985,-342.2239990234375,210000,3300.89,42
3398.4,20.4733,43,13.4337,-618.360107421875,215000,2890.54,43
3370.9,21.2502,44,14.3656,-331.42144775390625,220000,3382.68,44
3419.16,19.9633,45,13.015,-377.8475341796875,225000,3404.53,45
3325.47,20.8056,46,13.9795,-359.5944519042969,230000,3331.02,46
3399.4,21.029,47,14.6315,-323.0697021484375,235000,3407.97,47
3369.29,19.4596,48,12.9762,-405.32232666015625,240000,3369.43,48
3434.29,20.6295,49,13.2286,-337.6838073730469,245000,3430.68,49
3423.59,19.8675,50,12.4673,-294.0481262207031,250000,3406.4,50
3404.94,19.9095,51,13.2092,-288.705810546875,255000,3411.11,51
3389.75,20.7563,52,12.9414,-357.7936706542969,260000,3403.85,52
3452.83,20.3223,53,12.6079,-379.2880554199219,265000,3369.34,53
3429.34,19.7445,54,13.1571,-305.723876953125,270000,3422.63,54
3434.9,20.2433,55,13.4514,-311.17156982421875,275000,3433.02,55
3482.81,19.9254,56,13.0707,-304.5714111328125,280000,3423.66,56
3499.24,18.899,57,12.7008,-309.79559326171875,285000,3454.43,57
3470.7,19.1617,58,12.865,-337.2330322265625,290000,3417.81,58
3469.84,20.1227,59,12.5194,-530.8042602539062,295000,3074.56,59
3448.97,19.7847,60,13.093,-340.6708984375,300000,3434.07,60
3480.24,20.3013,61,13.0211,-281.9765625,305000,3420.3,61
3486.65,18.2783,62,10.8113,-291.7631530761719,310000,3431.31,62
3470.69,20.3195,63,13.009,-416.89361572265625,315000,3290.69,63
3484.45,19.895,64,12.7134,-333.1150207519531,320000,3398.65,64
3457.9,20.0646,65,12.7943,-769.4712524414062,325000,3206.55,65
3414.2,20.1069,66,13.7072,-429.0601806640625,330000,3425.05,66
3494.64,20.306,67,12.9852,-403.000732421875,335000,3447.74,67
3412.14,19.1216,68,12.4213,-374.0091857910156,340000,3429.77,68
3458.81,19.9531,69,13.156,-358.7203674316406,345000,3409.67,69
3432.17,18.0955,70,12.191,-389.6011047363281,350000,3429.12,70
3439.65,18.6644,71,12.2606,-403.0621337890625,355000,3339.82,71
684.34,18.7144,72,13.0487,-498.9543762207031,360000,2053.95,72
3466.28,20.6841,73,15.0142,-1275.06982421875,365000,2255.58,73
3436.94,19.8141,74,13.9089,-494.0452880859375,370000,3429.17,74
3384.49,18.4852,75,12.3613,-448.3970947265625,375000,3406.85,75
3491.39,18.1136,76,11.4174,-345.1719970703125,380000,3133.87,76
3425.4,18.5957,77,12.2352,-480.41998291015625,385000,3394.81,77
3471.62,19.8408,78,12.95,-603.0787353515625,390000,3109.32,78
3486.22,18.0346,79,10.9312,-451.0067443847656,395000,3410.7,79
3468.72,18.6098,80,11.9053,-425.1836242675781,400000,3254.61,80
3473.24,18.3907,81,12.007,-447.65826416015625,405000,3380.35,81
3442.17,18.447,82,12.13,-434.8059387207031,410000,3441.8,82
3446.43,17.6321,83,11.0955,-405.9348449707031,415000,3405.43,83
3471.9,19.1861,84,11.9565,-449.4682312011719,420000,3456.85,84
3466.07,16.7849,85,10.4051,-452.6054382324219,425000,3327.66,85
3430.23,17.5706,86,11.1229,-429.7644348144531,430000,3410.32,86
3411.51,17.8421,87,11.3582,-617.5413818359375,435000,3368.9,87
3446.69,19.1162,88,11.9949,-538.3621215820312,440000,3257.49,88
3469.09,18.2905,89,11.8334,-484.06866455078125,445000,3450.88,89
3482.27,17.6285,90,10.4599,-562.3666381835938,450000,3029.95,90
3481.63,17.0948,91,10.7637,-426.05731201171875,455000,3450.56,91
3443.98,16.9026,92,10.7993,-455.621826171875,460000,3322.4,92
3432.74,17.1194,93,11.1401,-483.5149230957031,465000,3402.62,93
3459.74,18.2582,94,11.0182,-626.03857421875,470000,3043.37,94
3450.29,18.2414,95,11.9533,-530.0648803710938,475000,3437.03,95
3465.96,17.3886,96,10.5815,-568.048095703125,480000,3349.81,96
3455.86,17.2291,97,10.7788,-553.4942626953125,485000,3324.4,97
3433.24,16.9098,98,10.6776,-481.60638427734375,490000,3273.35,98
3437.73,18.0237,99,11.8975,-590.4983520507812,495000,3400.85,99
3472.46,16.7562,100,10.7056,-473.6707458496094,500000,3460.2,100
3449.32,18.2474,101,10.9064,-621.7009887695312,505000,3320.77,101
3449.56,17.9735,102,11.2088,-526.1466064453125,510000,3339.17,102
3439.87,17.8903,103,11.2219,-521.1880493164062,515000,3330.82,103
3469.4,17.6525,104,10.7288,-528.2061157226562,520000,3348.64,104
3434.78,17.5901,105,10.9146,-561.572509765625,525000,3414.98,105
3441.42,17.8756,106,10.762,-624.3685302734375,530000,3382.78,106
3453.91,17.133,107,10.6819,-485.7879333496094,535000,3420.96,107
3454.45,18.9964,108,11.4442,-654.7577514648438,540000,3213.03,108
3426.74,17.0573,109,10.6889,-524.7501220703125,545000,3264.78,109
3432.05,19.1479,110,11.074,-575.104736328125,550000,3389.2,110
3443.92,17.2016,111,11.1349,-576.9306030273438,555000,3413.54,111
3434.03,17.4197,112,11.0633,-587.3406372070312,560000,3391.39,112
3452.15,18.7453,113,11.8873,-590.3428344726562,565000,3367.43,113
3473.35,18.2421,114,10.9351,-548.575927734375,570000,3303.86,114
3477.57,18.85,115,10.8553,-1304.644775390625,575000,2804.25,115
3444.16,17.2918,116,10.8429,-561.5010986328125,580000,3410.91,116
3437.73,17.6287,117,10.9428,-625.8706665039062,585000,3397.67,117
3417.41,17.99,118,10.5383,-826.13916015625,590000,3335.73,118
3430.74,18.1605,119,12.0529,-656.7719116210938,595000,3393.42,119
3446.71,17.2347,120,11.3043,-597.8916015625,600000,3384.69,120
3434.22,17.1962,121,11.3874,-645.6754760742188,605000,3410.65,121
3448.42,16.7866,122,11.3017,-632.4429931640625,610000,3410.22,122
3424.04,17.2666,123,11.3199,-624.337890625,615000,3396.27,123
3456.7,16.6886,124,11.235,-618.5353393554688,620000,3430.75,124
3459.22,17.4354,125,12.1949,-755.0318603515625,625000,3415.11,125
3438.75,17.6433,126,11.473,-675.279052734375,630000,3418.59,126
3478.59,17.8243,127,11.2271,-607.0159912109375,635000,3455.29,127
3452.31,17.2587,128,11.0567,-698.3875122070312,640000,3421.42,128
3469.88,17.7688,129,10.4891,-814.49365234375,645000,3008.66,129
3462.51,16.9725,130,10.2154,-669.5387573242188,650000,3323.08,130
3472.18,17.8819,131,11.1329,-734.329345703125,655000,3253.08,131
3467.06,17.6238,132,11.0702,-776.1180419921875,660000,3438.47,132
3452.95,15.6625,133,10.045,-583.5739135742188,665000,3372.77,133
3460.95,16.9153,134,10.8917,-666.163818359375,670000,3377.54,134
3471.16,17.5642,135,11.6755,-720.7654418945312,675000,3406.21,135
3437.77,16.5534,136,10.8781,-687.9246215820312,680000,3390.31,136
3447.8,16.3042,137,10.3388,-589.185546875,685000,3373.09,137
3437.55,16.4885,138,10.7294,-656.0966796875,690000,3398.0,138
3464.0,16.9287,139,10.7583,-630.0411987304688,695000,3356.06,139
3454.28,16.4632,140,10.9443,-692.8741455078125,700000,3420.35,140
3442.5,16.3296,141,10.6966,-692.8922729492188,705000,3413.32,141
3472.36,17.5608,142,11.0237,-847.6431274414062,710000,3430.99,142
3461.02,17.2075,143,10.611,-800.3125,715000,3431.45,143
3461.83,17.2783,144,10.8488,-819.1914672851562,720000,3405.17,144
3444.14,16.1141,145,10.3032,-582.7752075195312,725000,3344.56,145
3458.72,17.3988,146,11.1268,-807.3011474609375,730000,3248.55,146
3440.58,16.2514,147,10.3422,-705.900390625,735000,3336.07,147
3450.03,16.9407,148,11.1348,-782.22705078125,740000,3423.11,148
3463.89,16.7242,149,11.2907,-811.042724609375,745000,3425.68,149
3431.03,16.3824,150,10.6287,-730.2197265625,750000,3399.67,150
3451.45,16.3884,151,10.472,-721.15576171875,755000,3414.39,151
3445.06,16.5257,152,10.6488,-714.87939453125,760000,3413.22,152
3476.44,16.6442,153,10.8104,-766.690673828125,765000,3424.35,153
3463.5,16.2309,154,9.9852,-608.98486328125,770000,3354.62,154
3450.3,16.8706,155,10.4345,-782.9998779296875,775000,3415.81,155
3484.35,16.409,156,10.7312,-773.5703735351562,780000,3452.46,156
3454.32,16.621,157,10.5007,-754.048095703125,785000,3406.91,157
3442.74,17.3785,158,10.2138,-897.4651489257812,790000,3182.54,158
3446.41,16.0429,159,10.4247,-818.7628784179688,795000,3397.17,159
3446.8,16.1932,160,10.0938,-767.42138671875,800000,3401.67,160
3457.77,16.4679,161,10.4416,-789.6395263671875,805000,3344.7,161
3451.69,16.6955,162,10.0145,-750.30224609375,810000,3352.44,162
3442.94,16.5008,163,10.6542,-844.425537109375,815000,3409.25,163
3473.84,16.6823,164,10.8708,-756.605712890625,820000,3410.38,164
3468.18,16.2345,165,10.7128,-803.7755126953125,825000,3383.44,165
3450.89,16.7606,166,11.0397,-905.703369140625,830000,3412.1,166
3457.43,16.9486,167,9.7949,-1042.86572265625,835000,3284.81,167
3474.74,16.5223,168,9.9091,-791.8802490234375,840000,3147.42,168
3469.63,16.6439,169,10.8659,-835.2129516601562,845000,3442.04,169
3477.97,16.2198,170,10.4293,-771.7978515625,850000,3378.51,170
3444.38,16.9637,171,10.1498,-913.6925048828125,855000,3401.01,171
3486.13,16.7378,172,10.7539,-825.8671875,860000,3433.59,172
3461.84,16.3077,173,10.5209,-1002.9723510742188,865000,3424.6,173
3478.31,16.4704,174,10.7816,-809.035400390625,870000,3422.6,174
3480.9,16.3244,175,10.2223,-803.0018920898438,875000,3351.14,175
3470.77,16.2932,176,10.1007,-856.6141357421875,880000,3433.57,176
3452.43,16.536,177,10.2621,-890.1934204101562,885000,3390.28,177
3459.58,16.8667,178,11.4034,-1016.0219116210938,890000,3405.79,178
3463.02,16.0939,179,10.5573,-929.6077270507812,895000,3339.03,179
3461.69,16.2833,180,10.6334,-845.9031372070312,900000,3262.05,180
3471.72,16.8027,181,10.4417,-818.8280029296875,905000,3325.53,181
3444.75,16.117,182,10.316,-1016.7252197265625,910000,3396.68,182
3475.04,16.7564,183,11.1574,-955.7822265625,915000,3371.06,183
3447.1,15.8366,184,10.4469,-954.5111083984375,920000,3339.43,184
3453.89,16.624,185,10.0892,-1045.81787109375,925000,3358.05,185
3466.59,16.5726,186,10.6026,-981.4334716796875,930000,3439.44,186
3480.32,17.0653,187,11.4406,-1040.4443359375,935000,3436.94,187
3469.57,15.9497,188,10.178,-893.6947631835938,940000,3442.72,188
3422.22,16.7711,189,10.5057,-1212.510009765625,945000,3372.38,189
3464.38,16.4111,190,11.1261,-1062.0076904296875,950000,3307.35,190
3432.89,16.4969,191,10.7482,-974.4515991210938,955000,3303.95,191
3443.72,16.0183,192,10.2269,-984.339599609375,960000,3401.86,192
3447.96,16.3844,193,10.6478,-1011.0752563476562,965000,3405.91,193
3479.76,16.3289,194,10.5242,-930.3991088867188,970000,3303.59,194
3465.57,15.866,195,10.2808,-1024.9815673828125,975000,3418.86,195
3477.51,16.0411,196,10.5902,-1008.211669921875,980000,3382.02,196
3450.61,16.6871,197,11.3152,-1067.4334716796875,985000,3409.5,197
3485.2,15.5483,198,9.7568,-956.9214477539062,990000,3440.43,198
3475.8,16.7077,199,11.5837,-1152.1192626953125,995000,3429.28,199
