Reward Loss,Running Update Time,Running Env Steps,Real Det Return,Real Sto Return,Running Forward KL,Running Reverse KL,Itration
180.4574737548828,0,0,214.1,217.03,33.1298,22.4026,0
81.0456314086914,1,5000,247.4,237.89,32.1746,26.8233,1
78.7777328491211,2,10000,285.06,278.19,32.2857,31.0788,2
65.21113586425781,3,15000,288.3,295.82,31.757,28.87,3
51.40009689331055,4,20000,296.14,297.48,31.7179,30.5162,4
39.41270065307617,5,25000,294.17,297.91,31.4884,32.3501,5
48.837059020996094,6,30000,325.41,320.74,31.4132,28.7195,6
26.49484634399414,7,35000,296.06,294.81,31.4369,30.8962,7
10.16598892211914,8,40000,333.68,302.57,31.2702,46.0001,8
-9.180397033691406,9,45000,373.25,361.95,30.7399,44.6531,9
-21.004579544067383,10,50000,360.43,364.38,31.0436,62.0821,10
-34.52427673339844,11,55000,388.17,383.58,31.2675,60.5307,11
-46.33716583251953,12,60000,432.69,424.42,30.102,62.6142,12
-57.700164794921875,13,65000,441.17,434.21,30.2566,64.0091,13
-71.9559326171875,14,70000,479.35,471.59,30.7353,56.3921,14
-80.59899139404297,15,75000,626.24,532.13,28.0889,57.2192,15
-87.62213897705078,16,80000,872.23,702.25,27.6897,46.8153,16
-96.93257141113281,17,85000,835.45,700.17,27.0435,45.7893,17
-105.73532104492188,18,90000,645.75,623.05,27.8491,50.219,18
-111.15044403076172,19,95000,726.29,676.26,27.8615,47.2285,19
-124.351806640625,20,100000,686.29,710.34,27.6362,61.9015,20
-132.33676147460938,21,105000,801.87,611.76,27.2603,56.8327,21
-120.45278930664062,22,110000,425.31,1090.8,25.8858,44.304,22
-153.42298889160156,23,115000,878.82,833.26,27.3932,60.4305,23
-164.82603454589844,24,120000,875.88,824.61,27.5537,59.2524,24
-165.69784545898438,25,125000,901.83,908.52,27.0496,61.3849,25
-175.77684020996094,26,130000,922.24,939.36,26.9097,64.5669,26
-182.3963165283203,27,135000,1175.0,1017.62,26.5657,58.6525,27
-193.96209716796875,28,140000,973.61,901.38,26.3709,64.6734,28
-207.91650390625,29,145000,879.74,891.86,26.7165,65.0467,29
-175.76495361328125,30,150000,1199.82,1144.17,26.1388,43.9428,30
