Running Forward KL,Running Reverse KL,Itration,Running Update Time,Running Env Steps,Real Sto Return,Reward Loss,Real Det Return
444.8539,269.9946,0,0,0,338.11,43.18260192871094,295.07
431.5851,262.2681,1,1,5000,345.04,-446.8444519042969,412.5
417.3355,284.8769,2,2,10000,354.88,-623.7254638671875,366.36
414.5453,265.1638,3,3,15000,401.38,-940.3451538085938,460.7
419.701,259.1273,4,4,20000,397.47,-1189.397216796875,288.7
419.5548,276.4878,5,5,25000,354.69,-1384.5010986328125,401.74
409.79,255.3857,6,6,30000,396.37,-1326.016845703125,432.32
429.3642,269.6935,7,7,35000,402.97,-1707.916015625,506.58
422.2224,289.1774,8,8,40000,390.22,-1838.7276611328125,353.46
405.8111,273.843,9,9,45000,448.41,-2162.24658203125,543.98
395.2405,292.9661,10,10,50000,491.49,-2331.617431640625,492.71
396.0296,260.6501,11,11,55000,468.39,-2607.069091796875,499.32
390.4028,286.3095,12,12,60000,488.52,-2998.1064453125,483.63
399.5733,273.0433,13,13,65000,521.18,-3100.615478515625,532.77
393.7085,271.4103,14,14,70000,518.63,-3458.00439453125,581.6
389.2876,256.2787,15,15,75000,533.95,-3275.078125,594.15
397.454,241.5018,16,16,80000,565.27,-3496.193115234375,571.97
400.5387,286.0267,17,17,85000,555.42,-3768.978271484375,650.79
392.4053,305.1483,18,18,90000,569.51,-4165.5390625,768.11
384.6839,428.2643,19,19,95000,611.88,-5521.74951171875,595.34
383.8597,304.2144,20,20,100000,596.71,-5156.47265625,660.43
391.9785,356.8591,21,21,105000,634.65,-5455.44677734375,529.61
377.417,323.2482,22,22,110000,611.53,-5779.84375,587.15
376.1706,265.3988,23,23,115000,576.44,-5214.58642578125,656.2
400.1196,283.0958,24,24,120000,552.0,-5653.05908203125,645.35
401.4663,297.463,25,25,125000,628.81,-5812.2080078125,709.68
392.0474,291.6341,26,26,130000,564.23,-6235.7119140625,664.7
392.0625,286.7189,27,27,135000,542.96,-6261.2216796875,611.71
384.464,340.9025,28,28,140000,641.59,-6569.1044921875,725.24
382.142,292.4945,29,29,145000,579.21,-7000.61474609375,627.01
392.9861,281.2225,30,30,150000,537.85,-7119.61865234375,466.41
401.4661,281.5032,31,31,155000,571.38,-7308.70751953125,514.89
385.131,259.9638,32,32,160000,634.51,-7049.5556640625,719.63
380.1264,240.8069,33,33,165000,625.84,-6837.3056640625,610.15
384.8581,350.5772,34,34,170000,761.15,-8049.2421875,626.24
369.879,281.0529,35,35,175000,688.79,-7551.17138671875,570.09
368.8506,401.8534,36,36,180000,785.37,-8153.62548828125,555.6
378.968,399.7857,37,37,185000,756.32,-8180.58203125,709.01
357.9221,253.2705,38,38,190000,786.84,-7528.8271484375,678.56
383.1094,427.0802,39,39,195000,854.31,-8698.22265625,654.67
376.3763,315.4298,40,40,200000,701.05,-7735.16943359375,671.94
378.0255,262.6987,41,41,205000,694.62,-8297.654296875,690.54
378.3882,257.1188,42,42,210000,926.74,-8448.2802734375,672.92
371.5901,256.2521,43,43,215000,686.74,-8707.08203125,778.3
370.0778,242.7605,44,44,220000,759.35,-8453.2783203125,754.73
369.7581,243.0768,45,45,225000,804.25,-8742.7138671875,710.47
365.4296,251.9201,46,46,230000,741.2,-9412.8466796875,663.67
370.3756,294.8677,47,47,235000,722.25,-10032.8193359375,704.99
364.0328,287.8622,48,48,240000,731.89,-10283.96484375,718.54
355.9756,320.3932,49,49,245000,1046.78,-10059.2783203125,1023.51
344.5557,277.8325,50,50,250000,973.94,-9646.1845703125,781.32
349.1941,327.7506,51,51,255000,1139.71,-10301.3837890625,905.58
342.8304,251.407,52,52,260000,1283.82,-9820.3525390625,908.61
352.1272,278.7289,53,53,265000,1010.38,-10674.5390625,870.02
349.776,268.0006,54,54,270000,1165.19,-10569.2119140625,848.28
348.4299,243.3887,55,55,275000,1120.36,-9993.224609375,834.81
353.1457,250.2692,56,56,280000,1085.6,-10012.4208984375,1066.84
