Running Reverse KL,Running Env Steps,Itration,Running Forward KL,Real Sto Return,Running Update Time,Reward Loss,Real Det Return
22.9758,0,0,34.2172,186.65,0,306.1051940917969,187.94
25.3502,5000,1,31.0672,234.68,1,211.6444549560547,232.26
17.7246,10000,2,30.8804,246.2,2,736.277587890625,250.92
55.8445,15000,3,30.9398,300.59,3,582.3900146484375,307.75
47.3918,20000,4,30.7666,308.42,4,316.7487487792969,310.37
64.5703,25000,5,30.4553,272.65,5,147.03375244140625,303.24
35.898,30000,6,30.0792,152.42,6,177.37582397460938,130.25
33.0423,35000,7,37.2118,27.61,7,11.919400215148926,26.1
23.3647,40000,8,30.4909,226.64,8,-126.45329284667969,243.52
37.5124,45000,9,30.8021,369.66,9,-68.38715362548828,369.85
28.8735,50000,10,34.8371,872.61,10,-148.09849548339844,982.25
70.3155,55000,11,30.7903,173.32,11,-285.5386657714844,173.18
45.3359,60000,12,37.2606,1016.91,12,-231.9424591064453,1017.2
120.1707,65000,13,35.8008,32.07,13,-523.7184448242188,32.14
44.5997,70000,14,35.2011,176.26,14,-147.71031188964844,176.7
69.4386,75000,15,39.1374,989.98,15,-317.171875,989.98
30.7592,80000,16,36.2506,1028.28,16,-361.7334899902344,1027.96
30.5631,85000,17,32.1581,974.17,17,-394.3225402832031,978.12
17.868,90000,18,29.2549,996.75,18,-347.15380859375,1009.72
25.8988,95000,19,31.2903,532.67,19,-507.3640441894531,530.67
53.0651,100000,20,33.6663,502.72,20,-511.9871520996094,505.4
30.7959,105000,21,35.0693,1042.63,21,-594.749267578125,1040.49
21.0848,110000,22,33.314,544.29,22,-664.5856323242188,592.17
19.2666,115000,23,32.3998,797.74,23,-714.7556762695312,749.18
23.7827,120000,24,34.3976,986.44,24,-604.5521850585938,988.05
46.2931,125000,25,35.7143,1043.23,25,-871.4572143554688,1042.8
65.1655,130000,26,35.9592,296.09,26,-910.8939819335938,294.87
88.8405,135000,27,34.275,304.44,27,-1189.65625,304.34
109.5007,140000,28,32.6049,281.94,28,-1267.58251953125,288.86
37.3816,145000,29,33.464,254.08,29,-1313.636474609375,256.35
31.096,150000,30,35.2766,421.65,30,-1239.942138671875,339.39
38.2316,155000,31,36.1764,885.57,31,-1248.8717041015625,927.61
40.2776,160000,32,36.6691,1061.35,32,-1289.9061279296875,1054.58
49.2707,165000,33,36.1861,1026.72,33,-1291.475341796875,1026.44
45.581,170000,34,31.0714,940.12,34,-1239.985595703125,907.46
47.6904,175000,35,35.6745,1041.54,35,-1371.689208984375,1040.39
61.4179,180000,36,38.2744,973.25,36,-1404.479248046875,973.22
65.9507,185000,37,36.9332,972.34,37,-1443.35107421875,972.52
