Running Update Time,Real Det Return,Real Sto Return,Itration,Running Forward KL,Reward Loss,Running Env Steps,Running Reverse KL
77,1268.77,2169.52,77,24.8972,-2097.4775390625,385000,16.367
78,2875.89,2571.99,78,23.987,-1509.7825927734375,390000,15.7559
79,3115.93,2783.36,79,24.5451,-1345.0994873046875,395000,15.8422
80,3124.64,2755.62,80,23.9075,-1153.3323974609375,400000,14.8386
81,2604.54,2775.42,81,24.3594,-1542.138427734375,405000,16.7804
82,3128.87,2911.5,82,24.5978,-1219.2078857421875,410000,15.418
83,2644.2,1585.69,83,24.5997,-2407.427734375,415000,17.5765
84,3129.91,3083.68,84,24.3682,-1229.090087890625,420000,16.0328
85,3129.38,2824.43,85,23.9585,-1756.230224609375,425000,15.8442
86,3151.2,2538.27,86,24.2418,-1592.248779296875,430000,15.0659
87,3112.82,3110.95,87,24.5247,-1425.2935791015625,435000,15.505
88,3146.68,2576.07,88,24.114,-1876.09716796875,440000,15.5291
89,3136.0,3022.25,89,24.4797,-1009.7420043945312,445000,16.0746
90,3147.91,2827.17,90,24.2305,-1249.46240234375,450000,14.745
91,3157.73,2766.83,91,23.8171,-1788.765625,455000,15.6088
92,3102.73,2884.65,92,24.1843,-1724.7215576171875,460000,15.156
93,3155.12,2301.55,93,23.6842,-2189.398193359375,465000,16.2763
94,2960.07,2407.49,94,23.6918,-2009.6109619140625,470000,16.3981
95,3147.51,2932.48,95,24.1591,-1704.6490478515625,475000,16.5601
96,3165.61,2484.87,96,24.0625,-2351.343017578125,480000,16.3848
97,3141.06,2654.15,97,23.8894,-1736.3270263671875,485000,15.583
98,3169.87,3012.29,98,23.586,-1409.71435546875,490000,15.3214
99,3154.52,2960.23,99,24.4022,-1068.9534912109375,495000,16.8049
100,3172.43,2861.26,100,23.5354,-1346.1473388671875,500000,15.089
101,3155.31,3071.84,101,23.664,-1373.895751953125,505000,16.2337
102,3160.55,2968.1,102,23.8324,-1379.7054443359375,510000,15.8338
103,3171.26,2881.3,103,23.8565,-1916.801025390625,515000,16.1758
104,3145.77,3151.0,104,24.0128,-1584.14794921875,520000,16.0693
105,3071.63,2152.51,105,24.3936,-2634.74462890625,525000,19.2563
106,3177.68,2444.19,106,24.44,-2471.11962890625,530000,15.9264
107,3175.98,2794.78,107,23.7685,-1721.5860595703125,535000,15.0742
108,3167.17,2812.45,108,24.0597,-2284.861328125,540000,15.9306
109,3166.31,3015.57,109,23.7618,-1877.281982421875,545000,15.3443
110,3167.7,2282.85,110,23.5471,-1961.330810546875,550000,16.2811
111,3162.45,2233.73,111,24.6276,-2532.6650390625,555000,15.6928
112,3159.38,2934.37,112,23.665,-1865.0570068359375,560000,15.3096
113,3169.75,2871.0,113,23.9636,-2020.2398681640625,565000,14.601
114,3164.54,3152.51,114,23.9558,-1494.866455078125,570000,15.3155
115,3173.26,2804.8,115,23.5339,-1669.266845703125,575000,15.4829
116,3129.38,3128.58,116,23.5568,-1235.6676025390625,580000,15.7069
117,3164.28,3144.33,117,24.0249,-1452.709716796875,585000,15.6439
118,3161.24,2526.99,118,23.8927,-1569.83203125,590000,15.1604
119,3169.6,2787.24,119,23.4733,-1895.5997314453125,595000,15.2805
120,3160.04,3163.19,120,23.4014,-1451.95654296875,600000,15.6737
121,3159.62,3088.17,121,23.6037,-1392.323974609375,605000,15.0701
122,3159.24,2554.59,122,23.7603,-1992.08984375,610000,15.8773
123,3155.53,2634.38,123,23.4703,-2395.604248046875,615000,15.4754
124,3153.48,3103.27,124,22.9819,-1494.254638671875,620000,14.6482
125,3191.54,2837.52,125,23.4776,-1784.5947265625,625000,15.8147
126,3155.84,3071.92,126,22.951,-1350.253662109375,630000,15.1071
127,3160.35,2393.37,127,23.3382,-2110.020751953125,635000,14.566
128,3164.09,3128.31,128,23.7536,-1626.99169921875,640000,15.2231
129,3175.53,2971.96,129,23.5381,-1562.0572509765625,645000,15.113
130,3171.8,3016.36,130,23.6344,-1811.631103515625,650000,15.8025
131,3143.49,3082.77,131,22.7883,-1677.631103515625,655000,14.8995
132,3160.26,3153.9,132,22.8347,-1344.442626953125,660000,15.3345
133,3192.74,2919.29,133,23.9123,-2895.6416015625,665000,13.0371
134,3179.19,2752.25,134,23.8038,-2214.79541015625,670000,13.1402
135,3132.75,3146.86,135,23.8742,-1478.63427734375,675000,15.5806
136,3167.26,3021.11,136,23.4967,-1439.2772216796875,680000,15.5056
137,3183.7,3072.35,137,23.6183,-1869.7330322265625,685000,14.1697
138,3181.32,2957.21,138,23.9312,-2207.01513671875,690000,13.5845
139,3200.76,3095.47,139,22.7143,-1697.2266845703125,695000,14.076
140,3169.07,2974.4,140,23.6551,-2087.425537109375,700000,13.5411
141,3194.51,2976.6,141,23.4887,-2437.873779296875,705000,13.1533
142,3184.99,3191.94,142,23.5621,-1729.772216796875,710000,14.5297
143,3171.68,3056.91,143,23.0516,-1766.941162109375,715000,14.1903
144,3212.14,2989.13,144,23.364,-1993.721435546875,720000,14.0625
145,3164.23,3077.92,145,23.6548,-1977.25830078125,725000,13.8135
