Reward Loss,Itration,Running Reverse KL,Running Env Steps,Real Det Return,Running Update Time,Running Forward KL,Real Sto Return
22249.595703125,0,271.4596,0,297.76,0,436.7846,304.12
19243.466796875,1,295.6216,5000,292.85,1,431.4087,308.46
18553.404296875,2,320.9162,10000,363.25,2,434.7691,358.72
13992.0869140625,3,247.7102,15000,423.46,3,423.7936,424.23
15284.38671875,4,262.4291,20000,382.8,4,419.2617,424.83
11331.578125,5,244.777,25000,295.73,5,433.2627,343.37
13069.70703125,6,248.8618,30000,557.23,6,389.0285,475.1
11648.369140625,7,252.93,35000,570.68,7,380.5619,543.65
11726.021484375,8,264.1477,40000,649.71,8,376.3697,573.07
8971.7236328125,9,276.3052,45000,592.46,9,374.9291,576.43
9784.1748046875,10,256.0159,50000,582.05,10,364.7007,529.37
8528.767578125,11,280.4657,55000,540.18,11,364.1237,549.49
5213.0947265625,12,277.0183,60000,701.27,12,351.8436,605.19
6410.26611328125,13,279.2436,65000,685.44,13,378.2444,554.1
4523.6748046875,14,271.2208,70000,742.75,14,366.5716,553.55
1362.205078125,15,302.4748,75000,669.39,15,368.315,587.31
830.979736328125,16,293.7505,80000,634.75,16,363.4689,692.37
1338.056884765625,17,245.6622,85000,726.06,17,359.1343,670.52
-3210.662841796875,18,332.4651,90000,669.55,18,351.2615,721.08
-3790.987548828125,19,310.4189,95000,579.4,19,363.5286,617.31
-2980.7548828125,20,259.2205,100000,634.01,20,349.93,645.97
-4785.13916015625,21,269.1503,105000,577.38,21,345.8086,634.19
-6206.548828125,22,273.4526,110000,633.81,22,365.6807,646.02
-5538.7080078125,23,266.2764,115000,766.3,23,341.4905,745.82
-8276.703125,24,267.4151,120000,672.89,24,343.1488,822.76
-6478.44970703125,25,228.4523,125000,675.16,25,363.0301,823.25
-8274.91015625,26,217.7219,130000,750.45,26,340.7448,963.95
-12209.0302734375,27,255.6838,135000,650.14,27,354.7596,990.25
-12302.7763671875,28,234.1469,140000,749.43,28,339.9344,988.55
-12923.240234375,29,219.2256,145000,631.05,29,346.2566,1010.35
-13185.4638671875,30,225.3053,150000,631.1,30,342.8056,1168.38
-12890.2890625,31,220.8568,155000,644.3,31,345.1929,1133.19
-12881.9658203125,32,236.4655,160000,726.11,32,334.6695,1249.72
-14422.533203125,33,214.8709,165000,907.53,33,339.8002,1199.26
-16148.958984375,34,213.5857,170000,894.06,34,317.9175,902.67
-17561.91796875,35,215.4752,175000,876.01,35,328.0522,1244.86
-19345.48828125,36,228.1851,180000,739.58,36,347.5243,1042.66
-21283.302734375,37,246.8137,185000,657.4,37,315.7138,1178.12
-21709.607421875,38,251.894,190000,1153.72,38,318.5489,1380.88
-18849.705078125,39,231.9592,195000,1255.41,39,310.6294,1351.49
-20909.36328125,40,217.6161,200000,687.1,40,311.6842,1467.25
-23111.33203125,41,254.5494,205000,643.57,41,317.9221,1234.43
-20412.06640625,42,224.3418,210000,663.43,42,312.1176,1719.15
-21664.595703125,43,194.9959,215000,687.92,43,296.0962,1547.75
-26265.64453125,44,247.6954,220000,1120.36,44,300.3319,1348.17
-25611.033203125,45,251.042,225000,1457.38,45,305.3946,1753.77
-25797.583984375,46,224.048,230000,1334.88,46,299.4423,1393.89
-26638.10546875,47,230.1555,235000,988.72,47,307.815,1605.4
-28321.044921875,48,237.3077,240000,1484.65,48,298.4457,2161.06
-28025.236328125,49,208.1376,245000,1688.65,49,299.1944,1819.47
-24380.060546875,50,176.966,250000,2942.77,50,301.9583,2454.65
-30556.169921875,51,259.7145,255000,1734.21,51,305.5567,1751.45
-19423.25390625,52,131.6232,260000,1553.36,52,280.9348,2919.68
-26855.603515625,53,176.3557,265000,2146.9,53,318.786,2250.98
-26466.5625,54,200.9175,270000,2864.29,54,301.4711,2517.03
-11859.4423828125,55,66.6482,275000,1944.43,55,269.0638,3344.65
-33803.4453125,56,240.1781,280000,928.73,56,299.821,2185.16
-21838.21484375,57,125.0281,285000,2919.94,57,280.314,3461.31
-17920.451171875,58,107.8425,290000,2476.75,58,283.5889,4125.88
-29959.4140625,59,173.5958,295000,1411.9,59,303.3755,2969.03
-17734.865234375,60,112.8088,300000,4279.13,60,277.5483,4445.29
-23316.328125,61,133.5724,305000,1838.58,61,278.0106,3550.07
-19136.23046875,62,105.1684,310000,1484.16,62,267.7444,3195.82
-19281.54296875,63,107.9784,315000,1179.97,63,275.9526,3969.67
-18430.8984375,64,82.1704,320000,821.68,64,274.1648,3457.15
-22870.546875,65,139.479,325000,3623.95,65,280.8887,4400.32
-37530.32421875,66,249.2834,330000,3490.03,66,303.0383,2705.76
-23435.19921875,67,118.8324,335000,2793.1,67,277.8832,4435.06
-15243.3046875,68,62.5776,340000,1148.84,68,258.2388,4207.78
-24589.275390625,69,127.1688,345000,787.27,69,279.4054,3565.29
-12307.978515625,70,48.1523,350000,1096.65,70,256.0953,4181.28
-24422.4296875,71,105.7123,355000,1001.74,71,281.3953,4419.39
-24202.400390625,72,122.4515,360000,1198.46,72,273.0945,4279.33
-23696.59765625,73,121.2697,365000,2849.06,73,272.4338,4320.42
-14276.0654296875,74,58.8411,370000,4871.53,74,268.6176,4476.18
-17407.765625,75,69.9772,375000,2691.01,75,268.2283,4516.85
-24446.720703125,76,98.8781,380000,743.2,76,275.5071,4046.85
-25109.185546875,77,117.7629,385000,2748.37,77,280.5962,4519.92
-21649.37890625,78,89.1019,390000,3075.53,78,267.3804,4613.15
-20567.240234375,79,69.9032,395000,4156.76,79,263.3144,4547.55
-15900.3681640625,80,55.5493,400000,4578.9,80,264.0494,4811.99
-18893.416015625,81,64.3875,405000,2928.19,81,262.9025,4652.61
-19249.255859375,82,69.6357,410000,5104.71,82,263.3873,4833.17
-23018.544921875,83,86.2735,415000,4746.67,83,265.812,4747.56
-24017.69140625,84,91.9515,420000,4357.62,84,276.6294,4727.01
-22098.271484375,85,83.6963,425000,5094.35,85,270.8688,5017.99
-19145.017578125,86,58.6174,430000,5017.49,86,273.8067,4642.91
-20367.064453125,87,52.1332,435000,2388.59,87,266.9605,5005.52
-18412.767578125,88,57.8291,440000,5099.78,88,266.016,4858.54
-21956.7578125,89,81.1575,445000,3649.08,89,273.436,4780.14
-23857.400390625,90,66.6538,450000,2239.48,90,274.6925,4666.49
-21079.68359375,91,63.5504,455000,4988.91,91,268.1066,5014.92
-23534.44140625,92,63.7548,460000,5100.78,92,271.989,4838.6
-21048.892578125,93,51.0816,465000,4831.7,93,262.1974,5007.79
-23494.193359375,94,61.831,470000,2851.89,94,274.7438,5006.61
-23870.37109375,95,64.022,475000,4991.75,95,274.6914,4911.3
-30007.267578125,96,107.7519,480000,5088.48,96,281.7928,4610.28
-25069.90625,97,60.566,485000,5089.46,97,274.3425,4987.12
-28136.26171875,98,70.9562,490000,5045.31,98,283.1381,4964.47
-26146.45703125,99,58.6289,495000,5136.4,99,272.7704,4852.01
-27646.232421875,100,65.5319,500000,4589.2,100,277.5506,4505.18
-30541.919921875,101,68.877,505000,5120.42,101,273.1038,5028.15
-33785.4296875,102,81.1578,510000,2906.5,102,286.0943,4917.71
-31561.84765625,103,70.2215,515000,5059.44,103,279.7802,5013.8
-29831.359375,104,57.3947,520000,5160.87,104,269.7257,5065.48
-34111.97265625,105,82.9671,525000,5075.48,105,292.9501,4574.79
-33403.51953125,106,78.8382,530000,4488.99,106,284.3903,4992.42
-35651.09375,107,74.5436,535000,3950.04,107,285.9195,4927.03
-36507.140625,108,77.0683,540000,5095.34,108,285.0017,4742.87
-35304.11328125,109,61.4566,545000,4685.55,109,279.3958,4981.27
-35811.33203125,110,66.8807,550000,5078.49,110,276.0858,4690.34
-38668.2265625,111,79.5907,555000,3425.54,111,283.2729,4402.59
-39640.83203125,112,81.6824,560000,5102.56,112,286.1329,4455.35
-41264.40234375,113,92.6557,565000,3282.64,113,290.7987,4645.87
-39758.8125,114,74.4386,570000,4286.35,114,285.6434,4982.24
-42836.0078125,115,76.2063,575000,4602.59,115,285.3892,4859.32
-42597.85546875,116,82.7239,580000,4039.24,116,281.3557,4791.04
-41973.5,117,79.5396,585000,3327.85,117,288.3322,4403.29
-46732.12890625,118,121.8078,590000,3164.98,118,297.1254,4742.04
-46208.8046875,119,114.5685,595000,2456.74,119,293.2694,4580.09
-45689.28125,120,80.6652,600000,5091.72,120,285.3203,4629.62
-44578.640625,121,65.3797,605000,5131.35,121,283.2972,4991.57
-50534.46875,122,117.0782,610000,2696.7,122,297.7571,3211.26
-44395.59765625,123,66.3072,615000,5152.85,123,277.845,4930.15
-44913.73046875,124,61.256,620000,5154.3,124,276.2692,4661.7
-48090.953125,125,69.0018,625000,4935.54,125,283.3558,4112.34
-47885.22265625,126,70.9105,630000,3426.29,126,286.6405,4716.93
-51729.64453125,127,105.972,635000,4938.1,127,291.8754,4577.34
-47970.51953125,128,70.8677,640000,3342.97,128,282.7713,4650.11
