Running Update Time,Real Det Return,Reward Loss,Running Reverse KL,Running Env Steps,Running Forward KL,Real Sto Return,Itration
0,-5.47,-316.8522033691406,11.7302,0,158.4866,-208.46,0
1,605.36,-323.9451904296875,11.5603,5000,158.218,-51.89,1
2,586.74,-308.52557373046875,12.5192,10000,158.0738,158.34,2
3,693.31,-303.9090576171875,13.4815,15000,158.0759,318.59,3
4,949.1,-355.50250244140625,13.7956,20000,158.0341,442.35,4
5,-61.06,-443.4836730957031,13.1582,25000,158.0208,367.63,5
6,751.04,-466.089599609375,13.7861,30000,157.9443,627.53,6
7,991.21,-506.408935546875,14.5344,35000,157.8974,828.52,7
8,977.28,-553.5364379882812,15.2448,40000,157.9863,839.55,8
9,817.78,-597.421142578125,15.7445,45000,158.238,851.45,9
10,1165.22,-622.3634643554688,15.9805,50000,158.1041,964.1,10
11,1346.68,-636.2445068359375,16.7748,55000,158.1466,1011.64,11
12,1388.7,-672.8793334960938,16.7559,60000,158.2061,962.63,12
13,1568.24,-699.3832397460938,16.7108,65000,157.8663,1156.61,13
14,1625.32,-712.4539794921875,17.1216,70000,158.0442,1242.02,14
15,1657.63,-748.2985229492188,16.73,75000,158.0381,1240.93,15
16,1704.64,-772.2835693359375,16.9301,80000,157.965,1112.07,16
17,1713.17,-848.917236328125,16.296,85000,157.8299,1211.38,17
18,1747.78,-832.2313842773438,16.6545,90000,157.7038,1340.41,18
19,1753.47,-881.9779663085938,16.422,95000,157.9006,1334.74,19
20,1851.94,-916.1085815429688,16.4687,100000,157.9055,1248.53,20
21,1839.85,-924.6801147460938,16.795,105000,157.9384,1418.3,21
22,1808.22,-994.0676879882812,16.1685,110000,157.978,1248.51,22
23,1718.11,-1004.6117553710938,16.3838,115000,157.8304,1345.76,23
24,1873.1,-1019.1073608398438,16.3252,120000,157.7563,1417.67,24
25,1454.24,-1083.819580078125,16.0927,125000,157.9095,1153.58,25
26,1221.81,-1108.0833740234375,16.524,130000,157.8557,1253.7,26
27,1813.1,-1128.2109375,16.1851,135000,157.5972,1407.67,27
28,1051.26,-1227.110107421875,16.6444,140000,157.9784,825.84,28
29,1705.12,-1188.404052734375,16.8148,145000,157.8179,1274.77,29
30,1015.88,-1242.9111328125,16.6139,150000,157.7387,812.38,30
31,1814.0,-1250.35400390625,16.4468,155000,157.4956,1287.24,31
32,1789.94,-1285.858642578125,16.4007,160000,157.7454,1492.06,32
33,1869.11,-1326.93798828125,15.907,165000,157.4894,1394.48,33
34,1841.44,-1358.3824462890625,16.3648,170000,157.8157,1439.44,34
35,1748.28,-1398.315185546875,16.2371,175000,157.7236,1208.87,35
36,1608.83,-1439.23876953125,15.9343,180000,157.578,1499.31,36
37,1757.31,-1484.6849365234375,16.2641,185000,157.7209,1249.14,37
38,1881.74,-1469.66552734375,16.5276,190000,157.5473,1234.1,38
39,1458.65,-1503.60009765625,16.4629,195000,157.4339,1323.89,39
40,1667.77,-1536.7904052734375,16.4756,200000,157.5947,1500.07,40
41,1267.17,-1569.4271240234375,16.2605,205000,157.3685,1371.91,41
42,1292.58,-1616.7908935546875,16.0176,210000,157.3162,1457.04,42
43,1842.56,-1638.1661376953125,15.897,215000,157.2994,1373.54,43
44,1498.12,-1660.6070556640625,16.7232,220000,157.5031,1470.26,44
