Itration,Running Reverse KL,Running Env Steps,Reward Loss,Real Det Return,Running Update Time,Real Sto Return,Running Forward KL
80,190.9736,400000,-3826.205810546875,326.56,80,325.81,33.8563
81,39.5576,405000,-3852.042236328125,402.52,81,401.4,35.1095
82,149.4696,410000,-3968.9033203125,287.35,82,263.44,36.0966
83,201.4565,415000,-4142.943359375,69.28,83,71.36,36.4979
84,31.3171,420000,-795.5134887695312,992.58,84,991.38,34.86
85,35.3047,425000,-1633.791015625,851.3,85,843.54,34.5284
86,124.0363,430000,-3325.42822265625,314.71,86,258.09,34.4814
87,103.8497,435000,-2800.22509765625,300.0,87,259.75,33.8756
88,25.4715,440000,-1901.4071044921875,445.7,88,254.96,31.7504
89,170.9486,445000,-3951.66455078125,145.51,89,171.37,34.9201
90,222.7041,450000,-4726.25634765625,42.74,90,59.01,35.5779
91,22.2267,455000,-2630.558837890625,47.06,91,47.21,29.9399
92,44.5753,460000,-3858.700927734375,75.64,92,79.85,31.0839
93,216.0061,465000,-4938.82568359375,62.67,93,63.81,34.955
94,136.6395,470000,-4587.86572265625,103.81,94,100.12,34.8464
95,49.7108,475000,-3440.720703125,44.37,95,44.14,31.1216
96,118.2898,480000,-4798.138671875,978.6,96,977.68,35.0204
97,39.345,485000,-3274.800048828125,987.5,97,985.79,35.0166
98,120.707,490000,-4864.5126953125,1019.16,98,1019.72,34.7761
99,68.6235,495000,-3334.473388671875,266.61,99,305.95,35.8546
100,111.135,500000,-5078.21484375,1053.52,100,1053.55,36.9918
101,180.1823,505000,-4412.4248046875,384.33,101,379.17,32.7788
102,29.1812,510000,-4591.228515625,281.14,102,274.91,32.6204
103,29.7316,515000,-4610.4072265625,331.4,103,333.39,32.738
104,21.9249,520000,-2276.7724609375,855.31,104,958.73,33.9237
105,177.6664,525000,-4919.80615234375,55.33,105,55.52,35.1137
106,45.318,530000,-4171.11181640625,1023.36,106,1022.79,34.0036
107,44.7584,535000,-4455.76416015625,1024.16,107,1024.24,34.0317
108,42.5355,540000,-4516.25048828125,1021.43,108,1020.42,33.3243
109,32.1916,545000,-4553.52392578125,250.75,109,263.11,32.4596
110,36.7659,550000,-4471.6435546875,204.82,110,208.57,33.2273
111,29.8967,555000,-4430.57763671875,229.78,111,200.15,31.4508
112,30.4564,560000,-4119.56591796875,153.42,112,154.24,33.5523
113,41.4187,565000,-4300.52783203125,945.0,113,944.78,33.9482
114,50.3948,570000,-4511.0966796875,948.37,114,948.47,33.9078
115,44.9159,575000,-4370.583984375,975.23,115,975.0,34.2118
