Running Reverse KL,Real Sto Return,Real Det Return,Running Update Time,Itration,Running Env Steps,Reward Loss,Running Forward KL
278.3523,323.31,291.19,0,0,0,-126.34799194335938,449.33
278.659,266.31,256.84,1,1,5000,-291.13031005859375,461.4641
285.134,321.29,308.38,2,2,10000,-910.184326171875,433.7563
246.3961,345.06,308.54,3,3,15000,-961.0140991210938,414.0665
289.0692,326.56,296.81,4,4,20000,-1474.6968994140625,443.7399
268.7902,382.46,368.27,5,5,25000,-1642.04736328125,433.2751
283.0261,432.3,439.63,6,6,30000,-1776.60107421875,436.7887
255.065,457.6,524.25,7,7,35000,-1925.3505859375,420.2665
258.8067,497.72,416.23,8,8,40000,-2084.080322265625,392.5885
265.1456,477.35,609.25,9,9,45000,-2440.22607421875,397.5026
263.5335,495.26,502.49,10,10,50000,-2650.755859375,396.2481
259.4199,537.01,461.93,11,11,55000,-2620.77587890625,396.2392
282.6298,570.7,454.27,12,12,60000,-3101.298095703125,398.9417
284.9536,492.79,387.52,13,13,65000,-3331.42236328125,384.7588
259.3532,525.61,391.32,14,14,70000,-3237.237060546875,389.4182
243.3084,545.46,477.84,15,15,75000,-3398.5205078125,378.5956
245.9306,604.38,440.93,16,16,80000,-3356.29345703125,370.4271
292.8895,590.71,465.2,17,17,85000,-4350.240234375,389.5298
270.1993,590.78,597.92,18,18,90000,-4275.24560546875,386.4007
276.3643,584.84,528.38,19,19,95000,-4442.12744140625,385.1958
256.8059,583.7,562.78,20,20,100000,-4828.10009765625,385.2729
267.3339,563.6,579.26,21,21,105000,-4876.90380859375,392.2564
254.0778,641.11,547.29,22,22,110000,-4789.62060546875,378.0065
251.3846,633.53,571.04,23,23,115000,-5193.88671875,382.8898
243.662,699.77,603.42,24,24,120000,-5459.3310546875,387.7505
233.3297,806.36,638.3,25,25,125000,-5404.30517578125,380.9792
220.7876,763.99,810.59,26,26,130000,-5700.7998046875,389.6113
217.4007,726.26,487.76,27,27,135000,-5561.68310546875,396.625
209.5776,731.47,483.06,28,28,140000,-5908.05859375,393.9169
212.1686,713.93,489.3,29,29,145000,-6077.06396484375,390.7912
210.2758,905.64,495.62,30,30,150000,-5947.86572265625,391.3841
198.6329,997.53,488.45,31,31,155000,-5546.2568359375,358.1992
201.8517,910.88,479.12,32,32,160000,-6159.43310546875,370.5117
201.3503,1149.93,757.07,33,33,165000,-5939.27978515625,375.6248
206.3532,943.81,501.9,34,34,170000,-6351.9833984375,362.4651
192.8779,1267.25,789.36,35,35,175000,-6294.2421875,359.2169
196.3423,1185.47,662.2,36,36,180000,-6429.140625,363.3107
209.1645,1065.53,579.61,37,37,185000,-6828.22802734375,363.2795
202.711,1009.09,610.66,38,38,190000,-6455.8994140625,360.5909
205.6251,1009.67,596.14,39,39,195000,-7266.73779296875,371.7864
204.8099,1024.68,699.58,40,40,200000,-7743.34912109375,380.5364
207.3004,1046.97,910.67,41,41,205000,-7485.2666015625,377.152
193.1797,1114.5,933.46,42,42,210000,-7509.4248046875,357.738
202.4369,1252.07,463.97,43,43,215000,-7808.63720703125,373.1414
221.3305,1177.92,537.36,44,44,220000,-8204.1962890625,379.2727
195.7238,1190.2,539.8,45,45,225000,-7410.99560546875,367.5527
186.8039,1302.14,671.55,46,46,230000,-7717.509765625,362.7859
201.3024,1163.14,498.89,47,47,235000,-7911.30615234375,380.8717
207.077,1277.63,495.9,48,48,240000,-7738.64599609375,365.7054
208.8161,1780.99,574.82,49,49,245000,-7698.3359375,373.2913
226.7343,1499.69,464.65,50,50,250000,-8795.5439453125,377.2739
193.9713,1614.53,633.63,51,51,255000,-8636.572265625,370.7376
206.8954,1209.19,1168.87,52,52,260000,-8153.42822265625,363.9622
201.1686,1272.06,529.42,53,53,265000,-8215.37890625,367.479
189.0712,1908.08,1022.61,54,54,270000,-7760.2626953125,364.3765
198.1414,1450.14,543.05,55,55,275000,-8231.70703125,364.5526
193.8035,1621.13,1623.33,56,56,280000,-8867.228515625,379.0043
218.4178,1549.76,1363.54,57,57,285000,-8757.3515625,373.0533
180.8097,1798.64,1179.81,58,58,290000,-7776.8544921875,366.1914
245.2204,1364.25,1399.7,59,59,295000,-9653.5185546875,376.6974
200.0378,1646.0,880.69,60,60,300000,-9270.6982421875,384.8106
203.9677,1260.91,907.3,61,61,305000,-9782.7958984375,388.5523
195.3402,1612.81,1299.3,62,62,310000,-9430.322265625,379.6975
209.8698,1280.04,1647.7,63,63,315000,-9827.7802734375,367.5372
187.132,1698.46,1398.93,64,64,320000,-8552.4892578125,362.1836
170.122,2211.63,1766.75,65,65,325000,-6984.6064453125,349.8686
167.8534,1916.96,1670.25,66,66,330000,-7876.7939453125,350.4655
168.6146,2686.07,1552.07,67,67,335000,-6884.14111328125,352.5577
177.2315,2131.0,1542.32,68,68,340000,-9026.1376953125,360.6772
173.8623,2181.63,2076.39,69,69,345000,-7735.15771484375,358.1059
177.8389,3091.6,1370.15,70,70,350000,-8383.453125,355.3857
150.8331,3526.67,2311.57,71,71,355000,-6411.94140625,343.6454
166.032,3090.05,1373.45,72,72,360000,-7510.10888671875,356.1371
154.65,3293.48,1622.23,73,73,365000,-8151.22412109375,346.7543
168.7186,3108.43,1502.59,74,74,370000,-8152.29248046875,348.5441
154.9851,2931.22,1415.54,75,75,375000,-7358.70166015625,346.7594
155.6479,3064.15,1333.77,76,76,380000,-6190.5654296875,350.8809
154.6282,3331.54,2579.01,77,77,385000,-7190.04150390625,354.9406
165.9349,3947.05,1491.1,78,78,390000,-7436.16162109375,358.7313
160.6465,2854.55,2585.01,79,79,395000,-8204.69140625,354.1325
176.791,2943.5,4574.02,80,80,400000,-8050.31982421875,353.4176
152.9551,3993.01,3973.24,81,81,405000,-6418.43701171875,343.6155
135.4197,4522.71,4638.45,82,82,410000,-3697.434326171875,333.0835
154.8522,4652.88,3756.95,83,83,415000,-7085.50341796875,341.3784
136.8829,5042.2,4625.68,84,84,420000,-4166.22314453125,332.7512
141.3568,4462.89,2233.0,85,85,425000,-4188.42578125,339.182
145.3214,4674.59,4928.19,86,86,430000,-5110.73291015625,340.408
142.1205,4492.81,4226.76,87,87,435000,-4419.6474609375,340.3079
137.3321,4985.17,4898.02,88,88,440000,-5783.01513671875,340.8476
142.919,4101.75,2463.51,89,89,445000,-6454.736328125,339.3408
140.2122,3913.11,3164.15,90,90,450000,-6201.7412109375,332.7343
138.5694,4444.13,2255.79,91,91,455000,-6166.705078125,339.0796
142.1309,4424.31,2920.13,92,92,460000,-6926.49951171875,338.3536
134.1922,3455.84,4323.02,93,93,465000,-6403.1982421875,326.008
138.8122,4842.49,4963.87,94,94,470000,-6334.68408203125,338.5183
161.7447,4169.56,4195.23,95,95,475000,-8935.7060546875,344.1424
155.8322,4938.26,5053.52,96,96,480000,-8300.146484375,346.4607
148.3176,5067.36,2942.63,97,97,485000,-6941.53759765625,338.7631
145.2128,5161.67,2959.75,98,98,490000,-7091.33544921875,334.6625
147.8232,4602.87,4083.43,99,99,495000,-7467.6396484375,336.1248
139.0681,3611.73,3385.81,100,100,500000,-7375.48193359375,343.5847
153.4452,4907.6,4666.32,101,101,505000,-7326.40478515625,343.3843
145.8296,4647.63,5177.8,102,102,510000,-7869.28076171875,337.8308
159.7236,4405.69,5208.73,103,103,515000,-9029.0615234375,346.3836
144.6875,4764.99,5348.24,104,104,520000,-7918.66259765625,330.4025
163.6662,4762.79,4805.34,105,105,525000,-8018.9541015625,340.9311
144.0823,5151.21,4168.53,106,106,530000,-8378.587890625,334.1109
159.6249,3185.9,5117.45,107,107,535000,-9922.134765625,338.5209
178.8279,3052.98,4799.96,108,108,540000,-11154.9970703125,356.9874
158.1583,3407.67,5180.16,109,109,545000,-10078.7587890625,341.6876
151.2868,4968.47,4829.29,110,110,550000,-9454.447265625,334.7003
145.9511,3244.21,1157.33,111,111,555000,-9457.5302734375,339.4388
155.4152,4575.03,4395.62,112,112,560000,-10265.8623046875,336.4111
146.537,4238.6,4944.5,113,113,565000,-9973.1162109375,342.1333
152.8643,4325.25,4783.37,114,114,570000,-10118.880859375,337.9965
148.8051,4554.25,4855.21,115,115,575000,-10400.6845703125,336.5145
145.5497,5262.27,5054.78,116,116,580000,-9759.3486328125,329.5844
159.0085,4687.19,4755.42,117,117,585000,-10364.150390625,339.6144
134.266,5002.95,4465.78,118,118,590000,-9557.8134765625,324.0195
