Running Update Time,Real Det Return,Itration,Reward Loss,Running Forward KL,Running Env Steps,Real Sto Return,Running Reverse KL
0,417.26,0,-947.0831298828125,431.4681,0,316.42,262.8215
1,308.07,1,-1415.0120849609375,407.0889,5000,310.71,282.3687
2,400.78,2,-1354.290771484375,396.4792,10000,383.31,248.2116
3,347.8,3,-1418.41455078125,398.5935,15000,376.58,239.7081
4,463.97,4,-1514.486572265625,387.7902,20000,446.38,239.2258
5,410.95,5,-1813.5498046875,405.2235,25000,417.42,255.4626
6,449.69,6,-1809.5880126953125,392.9209,30000,483.44,256.7794
7,488.29,7,-1225.0972900390625,393.908,35000,422.51,259.4484
8,392.3,8,-3365.577880859375,387.5343,40000,427.66,288.1645
9,487.2,9,-3042.7509765625,397.6855,45000,481.36,260.2854
10,600.74,10,-3363.885009765625,377.0027,50000,576.71,264.1326
11,564.81,11,-3522.722900390625,373.2934,55000,564.03,265.2208
12,686.32,12,-4047.331298828125,364.8461,60000,506.54,250.5007
13,570.29,13,-4517.525390625,384.2412,65000,571.21,269.4378
14,559.38,14,-5069.00634765625,374.6438,70000,542.45,268.9363
15,678.25,15,-4843.685546875,378.1234,75000,595.75,244.8373
16,701.47,16,-5901.19775390625,370.921,80000,604.04,278.1841
17,564.33,17,-6301.9130859375,375.3664,85000,559.02,278.9472
18,560.65,18,-5940.90771484375,363.0576,90000,578.11,277.2979
19,691.04,19,-4681.431640625,368.4967,95000,561.24,254.1086
20,613.18,20,-6173.97021484375,367.101,100000,539.74,264.6902
21,764.33,21,-5651.810546875,376.743,105000,578.63,252.6235
22,513.48,22,-7426.56591796875,371.1601,110000,605.01,277.4952
23,630.07,23,-7065.88818359375,360.6485,115000,715.55,256.5583
24,536.05,24,-7590.2998046875,352.0634,120000,674.59,263.0324
25,494.59,25,-7409.64501953125,349.8865,125000,647.84,253.9113
26,493.32,26,-7686.138671875,344.3128,130000,751.31,244.5459
27,590.94,27,-7244.3955078125,363.374,135000,859.25,226.9924
28,859.73,28,-7590.56103515625,363.0265,140000,843.89,233.3543
29,515.14,29,-8477.8447265625,359.4014,145000,674.13,258.3488
30,508.01,30,-8026.16015625,339.9151,150000,879.81,232.5083
31,749.28,31,-7332.70654296875,342.4579,155000,813.18,210.6817
32,797.11,32,-8324.4658203125,370.4475,160000,1016.6,237.3273
33,833.88,33,-7553.3291015625,353.0466,165000,978.31,215.4032
34,630.13,34,-9290.380859375,364.5528,170000,754.84,250.1649
35,835.02,35,-7711.478515625,357.749,175000,1164.23,220.7003
36,554.24,36,-9002.458984375,338.0039,180000,1050.15,238.0239
37,930.86,37,-7841.345703125,335.1134,185000,1359.15,201.8376
38,969.82,38,-8179.0869140625,342.5839,190000,1469.49,206.3849
39,871.24,39,-7825.07958984375,337.3342,195000,1189.42,201.842
40,687.1,40,-9527.98046875,332.2287,200000,1079.52,230.6807
41,623.26,41,-8723.3310546875,338.6571,205000,1100.2,228.0787
42,1160.26,42,-6841.48095703125,320.7463,210000,1226.14,190.9173
43,885.6,43,-8967.7080078125,336.6385,215000,1050.19,219.5105
44,1274.71,44,-8065.994140625,323.3428,220000,1708.65,185.7792
45,792.06,45,-7751.84033203125,325.0086,225000,1760.83,201.5143
46,831.25,46,-9167.1259765625,319.5011,230000,1375.31,212.0562
47,761.8,47,-9911.5810546875,339.5329,235000,893.47,232.4909
48,822.64,48,-7399.6201171875,313.4687,240000,1477.53,183.5279
49,610.58,49,-7963.29052734375,312.8787,245000,1283.01,188.8092
50,606.89,50,-9381.0791015625,328.4867,250000,1109.07,209.1956
51,855.78,51,-9350.03515625,316.9321,255000,1708.81,201.045
52,879.68,52,-10984.6298828125,339.6632,260000,1275.84,243.7914
53,830.1,53,-8839.66796875,319.3953,265000,1723.77,201.3899
54,1024.75,54,-8627.025390625,309.0244,270000,1436.46,178.4606
55,693.94,55,-10244.55078125,322.9796,275000,1365.6,218.1437
56,1246.74,56,-7024.80126953125,304.7001,280000,2168.68,152.3308
57,905.07,57,-10090.1240234375,335.2533,285000,1651.87,209.037
58,791.76,58,-8486.8212890625,317.1509,290000,1527.76,168.3073
59,1082.76,59,-9335.3623046875,315.3732,295000,2338.75,181.7878
60,705.31,60,-10834.09375,307.8531,300000,1339.87,211.6675
61,876.11,61,-10305.4541015625,320.2998,305000,2023.24,206.9159
62,799.67,62,-10518.66796875,316.0275,310000,1795.04,208.2254
63,622.45,63,-7776.42041015625,301.6415,315000,1980.46,160.5066
64,1118.74,64,-6043.96484375,292.8319,320000,2374.42,139.0601
65,713.11,65,-6246.9384765625,302.3805,325000,2616.62,137.1994
66,655.2,66,-6889.83203125,290.2438,330000,2403.72,129.5727
67,1177.32,67,-5415.09716796875,292.1144,335000,3491.93,107.2002
68,749.56,68,-6078.708984375,290.7027,340000,3473.49,114.1849
