Real Det Return,Real Sto Return,Running Reverse KL,Itration,Running Forward KL
228.04,-94.41,26.5092,0,74.4791
243.81,-77.35,26.7907,1,74.7587
627.25,-44.12,26.9236,2,74.6611
637.03,23.93,28.195,3,72.7235
615.21,38.04,28.3217,4,73.6182
705.08,38.01,29.4937,5,73.8743
614.72,60.51,29.5202,6,71.5135
478.62,73.58,29.9079,7,73.0233
533.68,97.12,30.9707,8,72.5448
734.91,137.55,30.521,9,73.2981
830.77,185.87,30.7139,10,72.5139
632.7,221.47,30.7877,11,73.137
660.37,139.41,30.581,12,71.2924
530.55,208.27,29.4813,13,69.511
791.26,174.55,30.4669,14,68.7813
802.2,192.3,30.4813,15,71.1951
815.24,245.54,31.0772,16,72.3476
891.37,202.18,30.9068,17,70.1539
956.13,236.59,31.1115,18,71.3728
1080.97,276.26,29.8496,19,69.0713
982.7,308.11,30.4783,20,70.7064
1155.05,324.7,30.1585,21,68.7945
1058.55,317.57,29.8676,22,67.7028
1045.79,272.52,29.5523,23,68.1567
1304.56,421.9,30.549,24,69.3911
996.05,363.09,30.0784,25,69.4719
957.85,426.2,30.4598,26,71.0329
1175.39,603.63,29.5075,27,67.504
1415.54,643.82,27.295,28,63.4515
1269.2,307.83,29.3773,29,67.1755
1548.29,691.95,28.0788,30,65.3426
1462.03,604.17,27.7356,31,65.0714
1266.61,469.85,28.7435,32,68.1883
932.4,387.97,28.1388,33,67.3745
1489.63,737.52,27.2769,34,65.5874
1262.58,354.35,28.2273,35,64.4475
1397.63,892.89,27.9633,36,64.6457
1449.75,515.06,28.6901,37,68.9835
1224.68,503.59,26.7497,38,66.0517
1550.23,533.76,26.61,39,64.9958
1911.09,575.71,27.5086,40,65.7982
1122.36,511.6,26.1036,41,65.4231
1964.02,1091.77,27.4975,42,65.2103
1435.05,976.95,27.6657,43,65.4115
1323.54,533.95,27.6057,44,66.6936
1835.86,657.8,28.1918,45,65.8909
2216.87,1278.18,28.6581,46,65.0222
1520.21,875.28,27.9853,47,68.0017
1797.49,678.54,27.8416,48,66.0156
1976.25,1165.71,28.4812,49,63.1283
2231.03,1380.61,27.3007,50,65.3386
1543.21,937.63,27.8268,51,63.0244
1579.51,644.41,27.6694,52,65.7993
1232.55,1506.41,27.5379,53,65.4504
2168.0,1523.73,28.6775,54,64.1562
2286.35,1167.62,28.5768,55,64.1728
1376.21,905.61,29.6646,56,66.0805
2950.62,2280.37,32.6996,57,64.5357
1536.55,1447.57,27.5475,58,64.5221
2862.58,1740.98,28.6288,59,65.0621
1848.58,1053.29,29.6776,60,64.7321
2485.14,1571.98,36.0514,61,64.7531
2670.2,1636.57,35.2277,62,64.5429
2882.51,2308.86,34.4185,63,63.8235
2789.51,1910.59,30.2604,64,63.8051
3003.81,2191.46,33.3135,65,64.2327
3930.05,2621.18,41.291,66,65.7258
3306.84,2217.56,43.0503,67,68.5425
3505.26,2450.28,48.3701,68,68.9916
2407.06,1344.95,33.6537,69,65.0198
3890.84,2421.31,42.2742,70,65.5759
3944.92,2518.01,50.5468,71,69.2798
4181.62,3223.29,52.3099,72,69.9876
2002.51,1022.62,33.2812,73,63.9003
4046.71,2988.79,44.3528,74,67.2346
3299.47,2280.62,47.3768,75,67.4566
2968.06,1689.69,42.049,76,68.0258
4480.67,2802.96,51.9728,77,71.5823
3770.32,2295.58,46.1352,78,70.2341
3900.56,3221.83,43.9224,79,68.3486
4269.18,3689.64,50.3098,80,66.9489
3994.29,3304.24,47.0099,81,68.272
4834.16,3957.09,52.8897,82,69.3737
4626.95,3577.36,61.5643,83,78.3973
4057.64,2859.7,43.1083,84,66.9753
4926.74,4062.94,53.7751,85,70.1374
4618.57,3833.89,56.2448,86,73.2768
4604.89,2979.79,60.6851,87,74.2579
5084.81,3976.77,60.5199,88,71.4932
4465.3,3381.67,51.5885,89,69.7594
4834.86,3866.19,52.5948,90,69.9167
3998.28,3620.42,56.2988,91,74.8037
4611.34,3752.08,52.6738,92,71.9256
4795.76,4111.08,60.6839,93,76.0589
4356.09,3945.66,49.2827,94,69.2365
4219.42,3354.95,45.1634,95,68.0239
4898.66,4011.88,60.5504,96,75.0176
4201.1,2913.81,51.2247,97,70.2035
4938.43,4439.3,66.7205,98,76.1339
2788.55,2288.3,36.3421,99,66.5976
4469.97,3899.19,49.4851,100,69.6293
4719.16,4050.53,64.786,101,80.8149
3946.46,3872.8,51.7984,102,70.0385
5243.27,4042.67,47.7509,103,67.9932
5374.34,3965.52,68.9147,104,76.6073
4621.96,4088.01,60.4378,105,72.8322
5041.55,4616.16,69.8404,106,81.2758
5355.98,4517.0,67.8854,107,82.2643
4066.59,3272.51,54.9309,108,72.6758
5324.95,4834.71,62.2114,109,73.3912
5032.39,4576.6,62.3393,110,72.7231
4865.61,3951.22,60.3422,111,74.401
3597.85,2224.93,65.845,112,74.5616
5118.57,3813.58,56.0203,113,71.9686
5159.51,4563.94,74.8145,114,84.3705
4757.51,4366.59,68.8806,115,81.0116
4718.69,3656.53,66.3458,116,77.8769
5124.32,4211.06,56.7568,117,70.9309
5453.09,4608.45,62.5415,118,75.6346
5098.46,4195.69,58.2893,119,73.2235
3893.19,2866.93,58.1822,120,71.4847
4902.18,3617.8,60.2211,121,74.5472
4414.62,4001.03,61.1448,122,73.6119
5445.7,4801.05,71.7005,123,83.3621
5412.91,4386.4,73.4547,124,83.1645
5261.69,4804.5,65.1992,125,77.5666
4839.21,4482.32,59.3265,126,73.8403
5105.69,3930.52,61.6947,127,73.8323
5362.63,4851.78,66.4277,128,77.143
5419.09,4733.06,64.6233,129,79.4529
5377.84,4977.18,71.5334,130,80.8431
5521.82,5080.72,64.3884,131,77.4022
4619.93,4510.85,69.5376,132,81.8359
4696.78,3974.66,58.873,133,73.8993
5607.32,3943.05,74.1901,134,84.7543
5129.1,4300.76,66.9821,135,74.6922
5594.04,4596.84,75.3418,136,84.4159
4904.52,4089.72,76.3435,137,83.3293
5529.62,4587.35,63.2158,138,76.3651
5255.95,5009.11,74.0991,139,87.0521
5315.12,4921.81,66.1152,140,74.7411
5534.74,4822.78,73.1204,141,78.3737
4362.68,3503.05,75.2152,142,83.051
5400.97,4688.13,67.2752,143,80.3357
5354.19,4537.06,71.515,144,81.2711
4805.45,4546.05,69.8887,145,81.2723
5237.53,4959.8,70.9047,146,82.0496
5560.3,4879.22,71.2301,147,80.6916
4941.67,5022.57,76.7397,148,83.566
4953.96,3731.59,61.0519,149,74.13
4860.73,3694.61,53.9189,150,71.4806
5615.19,5117.3,75.8036,151,84.8596
5113.96,4236.1,80.2058,152,87.2471
5752.37,4950.69,71.8136,153,83.7522
5341.89,3977.54,74.9396,154,87.5736
5612.77,4984.8,66.3592,155,75.6738
5290.92,4863.62,68.9559,156,75.5371
5678.86,5230.73,74.8399,157,85.5372
5541.65,4881.32,67.2744,158,78.8312
5629.11,4820.32,67.9357,159,76.9327
5346.92,4659.8,67.2361,160,83.3759
5435.02,4940.37,53.0121,161,70.8241
5662.46,4930.67,70.1416,162,85.4824
5733.87,4536.67,71.1052,163,78.569
5493.55,5045.14,68.8859,164,83.8134
5422.25,4941.29,66.7133,165,81.4134
5434.41,4498.68,73.7615,166,84.2726
5665.41,4633.45,69.2837,167,79.3991
