Real Sto Return,Reward Loss,Running Update Time,Real Det Return,Running Env Steps,Itration,Running Reverse KL,Running Forward KL
322.3,294.80291748046875,0,336.46,0,0,15.6483,50.5613
369.74,180.39161682128906,1,515.27,5000,1,18.2872,50.0439
404.43,239.2696533203125,2,434.57,10000,2,24.4728,49.9096
406.71,173.9936065673828,3,353.83,15000,3,16.4071,49.7491
444.07,202.902099609375,4,454.67,20000,4,14.9661,49.127
566.8,259.8773193359375,5,685.59,25000,5,23.0086,48.9105
458.39,263.1931457519531,6,618.04,30000,6,23.38,49.078
434.84,227.62718200683594,7,459.25,35000,7,38.2777,49.2227
473.55,252.7599334716797,8,142.6,40000,8,34.9629,49.209
712.76,212.76986694335938,9,1234.7,45000,9,41.8355,48.808
569.79,224.4532928466797,10,659.13,50000,10,60.8997,48.9869
666.68,282.3361511230469,11,849.2,55000,11,21.4039,48.2795
782.13,244.2706756591797,12,1800.16,60000,12,25.7396,48.0627
720.6,255.50448608398438,13,904.64,65000,13,23.8632,48.4063
1129.9,193.84243774414062,14,1854.96,70000,14,56.6132,47.6688
1505.24,147.37185668945312,15,1810.29,75000,15,21.9148,47.2773
1285.62,141.9846954345703,16,2167.7,80000,16,20.068,48.6966
1182.68,127.54202270507812,17,2147.98,85000,17,14.4086,47.2548
968.3,163.299560546875,18,1269.88,90000,18,18.8661,48.423
998.1,115.2370834350586,19,749.24,95000,19,18.8716,47.5072
1056.6,139.8482666015625,20,1663.26,100000,20,19.9421,46.8498
1540.87,136.44471740722656,21,1880.99,105000,21,15.771,47.6497
2063.7,88.94044494628906,22,1948.67,110000,22,14.9916,47.2897
1533.53,116.02947235107422,23,2004.6,115000,23,16.5569,46.7848
2089.92,-17.04505157470703,24,2421.15,120000,24,17.3989,47.013
2171.45,-14.882296562194824,25,2700.88,125000,25,19.727,46.5947
2400.42,-32.90736770629883,26,2456.14,130000,26,15.9801,47.4424
2804.05,-55.380523681640625,27,2747.72,135000,27,18.2262,47.2561
2083.61,22.422313690185547,28,2070.62,140000,28,15.5267,47.5548
2857.26,19.25298500061035,29,3100.58,145000,29,15.9948,46.4105
3067.1,-36.963462829589844,30,3169.23,150000,30,17.6944,46.6776
3002.9,-31.497955322265625,31,3097.64,155000,31,17.6615,46.1431
3187.4,-60.575931549072266,32,3192.41,160000,32,19.4054,46.4768
2935.18,-42.9567985534668,33,3356.61,165000,33,17.8475,45.4297
3395.09,-66.45703125,34,3228.11,170000,34,19.2039,46.7512
3217.35,-86.13198852539062,35,3123.1,175000,35,18.1516,45.6261
2489.13,-100.1716537475586,36,3138.77,180000,36,26.9748,45.6456
3434.08,-92.00653076171875,37,3562.08,185000,37,17.8176,44.424
3447.84,-113.32935333251953,38,3458.73,190000,38,19.4076,45.4218
3336.22,-124.02459716796875,39,3270.66,195000,39,18.8242,46.05
3432.67,-122.325927734375,40,3453.23,200000,40,17.8827,45.4331
3452.68,-128.70645141601562,41,3430.12,205000,41,19.4875,45.6524
3356.48,-137.85821533203125,42,3335.21,210000,42,17.4573,44.9942
