Running Reverse KL,Itration,Running Update Time,Reward Loss,Running Forward KL,Real Sto Return,Running Env Steps,Real Det Return
11.7533,0,0,199.37872314453125,158.5076,-144.19,0,4.93
12.1451,1,1,147.5989227294922,158.3073,68.5,5000,448.92
12.2821,2,2,120.40691375732422,158.4251,110.95,10000,52.78
12.6869,3,3,74.53313446044922,158.1703,157.4,15000,63.39
13.3457,4,4,90.29034423828125,158.2601,28.71,20000,-8.08
12.6355,5,5,45.366539001464844,157.9178,61.21,25000,4.41
13.0734,6,6,4.874885082244873,158.4417,141.86,30000,16.34
13.2885,7,7,-25.873868942260742,158.4851,116.68,35000,-61.35
14.6694,8,8,-55.838623046875,157.9039,761.85,40000,16.67
14.6004,9,9,-81.84540557861328,157.7518,876.63,45000,201.67
15.6759,10,10,-114.16285705566406,157.949,965.83,50000,1365.25
15.3889,11,11,-151.64212036132812,157.8709,998.61,55000,947.77
15.8518,12,12,-173.54559326171875,158.2026,1050.65,60000,1340.11
15.9624,13,13,-196.40159606933594,157.762,1087.68,65000,1364.98
15.7316,14,14,-220.8219757080078,157.7075,1109.83,70000,1428.95
16.0595,15,15,-253.92507934570312,157.8307,1194.86,75000,1540.23
16.2534,16,16,-278.52642822265625,157.8992,1241.08,80000,1659.49
16.5124,17,17,-311.369384765625,157.775,1316.18,85000,1739.18
16.5484,18,18,-344.7890930175781,157.6741,1383.18,90000,1794.36
16.6391,19,19,-375.92822265625,157.7916,1376.03,95000,1791.37
17.001,20,20,-415.9171447753906,157.9687,1411.9,100000,1776.21
16.6528,21,21,-442.40301513671875,157.7475,1454.84,105000,1861.67
16.8859,22,22,-475.353759765625,157.718,1486.32,110000,1742.77
16.4569,23,23,-506.9759521484375,157.6645,1482.9,115000,1856.58
16.6527,24,24,-520.038818359375,157.5476,1490.62,120000,1836.94
16.3339,25,25,-563.8375854492188,157.6546,1509.68,125000,1889.79
16.5276,26,26,-591.4146728515625,157.6587,1511.56,130000,1719.93
16.4935,27,27,-614.4458618164062,157.7088,1470.88,135000,1790.16
16.582,28,28,-651.107421875,157.6647,1540.41,140000,1903.36
16.0876,29,29,-674.6913452148438,157.3276,1533.43,145000,1820.55
16.6343,30,30,-700.822509765625,157.5346,1571.75,150000,1928.96
17.0409,31,31,-734.3927612304688,157.6153,1596.78,155000,1819.39
16.7422,32,32,-772.7252197265625,157.6012,1584.33,160000,1883.87
16.6377,33,33,-803.8053588867188,157.5848,1595.18,165000,1784.15
16.7798,34,34,-845.78857421875,157.4727,1617.72,170000,1900.61
16.2033,35,35,-872.057861328125,157.6236,1594.83,175000,1874.08
16.3512,36,36,-903.6215209960938,157.5966,1607.29,180000,1926.21
16.6005,37,37,-933.0988159179688,157.2172,1616.07,185000,1938.71
16.4311,38,38,-961.796630859375,157.5458,1623.57,190000,1980.1
16.4787,39,39,-1003.3043823242188,157.6642,1620.31,195000,1951.86
16.541,40,40,-1012.4708251953125,157.3898,1662.34,200000,1995.29
16.3255,41,41,-1043.5804443359375,157.4917,1626.37,205000,1949.16
16.6238,42,42,-1095.59326171875,157.6077,1620.98,210000,1984.96
16.175,43,43,-1114.8890380859375,157.3893,1645.0,215000,1958.29
16.1186,44,44,-1152.779296875,157.5151,1636.85,220000,1933.23
16.38,45,45,-1180.12451171875,157.4562,1659.98,225000,1908.96
16.3442,46,46,-1210.582275390625,157.3383,1582.24,230000,1856.46
16.2162,47,47,-1240.121337890625,157.3466,1646.5,235000,1997.39
16.4525,48,48,-1281.7479248046875,157.5915,1656.3,240000,1998.86
16.3132,49,49,-1311.2489013671875,157.4692,1640.02,245000,1981.87
16.3072,50,50,-1336.023681640625,157.4074,1660.54,250000,2045.21
15.8756,51,51,-1369.8455810546875,157.6499,1599.62,255000,1881.42
15.9984,52,52,-1408.310791015625,157.5157,1653.33,260000,1993.41
16.2669,53,53,-1421.386474609375,157.2789,1678.79,265000,2052.72
16.2512,54,54,-1439.9144287109375,157.2027,1670.09,270000,2036.24
16.0785,55,55,-1489.319580078125,157.0179,1695.92,275000,2052.64
15.9161,56,56,-1521.5496826171875,157.1072,1680.13,280000,1970.95
16.1267,57,57,-1553.5653076171875,157.2526,1670.1,285000,2048.67
15.7537,58,58,-1583.818359375,157.1034,1726.36,290000,2074.89
16.1371,59,59,-1621.5596923828125,157.2444,1719.95,295000,2058.93
16.0321,60,60,-1653.93896484375,157.3166,1698.86,300000,2008.22
15.7392,61,61,-1667.083984375,157.0274,1677.03,305000,1977.13
16.1823,62,62,-1709.4100341796875,157.2385,1696.46,310000,2059.05
15.9401,63,63,-1745.2154541015625,157.2409,1697.61,315000,2025.95
15.8505,64,64,-1784.6719970703125,157.1353,1706.8,320000,2098.31
16.1607,65,65,-1805.7283935546875,157.2427,1722.07,325000,2077.98
15.5507,66,66,-1842.025146484375,157.1362,1702.08,330000,2030.45
15.9947,67,67,-1869.0224609375,157.0543,1719.86,335000,2100.89
15.5773,68,68,-1906.0816650390625,157.2162,1682.8,340000,2023.68
15.9559,69,69,-1929.828369140625,156.7728,1770.06,345000,2092.15
15.9724,70,70,-1967.7403564453125,157.0654,1758.65,350000,2109.68
15.8859,71,71,-1995.485107421875,156.9833,1732.01,355000,2123.67
