Itration,Real Det Return,Running Reverse KL,Running Forward KL,Running Update Time,Reward Loss,Real Sto Return,Running Env Steps
0,258.03,15.8126,31.4765,0,-265.3459777832031,251.49,0
1,267.46,15.4559,30.545,1,-256.24810791015625,262.6,5000
2,237.39,17.2708,25.4749,2,-252.5321807861328,292.51,10000
3,209.32,21.5183,28.8698,3,-296.9715270996094,288.07,15000
4,2260.03,14.0244,22.9172,4,-196.11585998535156,1381.03,20000
5,1494.9,11.9983,23.0145,5,-211.05088806152344,1129.32,25000
6,848.15,13.5558,24.8993,6,-235.96963500976562,678.53,30000
7,1085.73,12.9106,24.0565,7,-168.93389892578125,1640.95,35000
8,706.45,14.4927,25.2728,8,-239.8767852783203,748.8,40000
9,2914.59,13.3815,23.5889,9,-137.52734375,2128.88,45000
10,2831.56,14.4771,23.7672,10,-105.38148498535156,2692.3,50000
11,1112.93,13.3689,23.1861,11,-196.3671875,1267.99,55000
12,2865.17,14.9773,23.3325,12,-63.40682601928711,2631.81,60000
13,2977.16,13.8337,23.2916,13,-129.45333862304688,2581.56,65000
14,1082.6,13.4671,23.2868,14,-185.83619689941406,1792.97,70000
15,987.3,14.0248,23.726,15,-228.11569213867188,1058.47,75000
16,3074.74,13.9775,22.5519,16,-134.42518615722656,2365.44,80000
17,2127.98,14.6881,22.8707,17,-83.49687194824219,2499.01,85000
18,3011.84,15.0817,23.1221,18,-101.76164245605469,2969.11,90000
19,3070.56,15.1079,23.4591,19,-109.87552642822266,3015.9,95000
20,2943.91,14.4742,23.3229,20,-100.52835845947266,2799.83,100000
21,3049.17,15.2926,23.7155,21,-88.77125549316406,2687.23,105000
22,3057.15,15.1192,23.3792,22,-123.32966613769531,2875.95,110000
23,3078.4,16.0403,23.2513,23,-79.01921844482422,2967.28,115000
24,2996.46,14.4749,23.415,24,-107.1229248046875,2738.85,120000
25,3022.9,16.1884,23.7534,25,-97.94696807861328,2868.79,125000
26,3075.52,14.406,23.2257,26,-110.44293975830078,2751.44,130000
27,3145.22,14.6185,23.1704,27,-105.27906036376953,2621.7,135000
28,3073.26,14.6455,23.2289,28,-110.09937286376953,2987.63,140000
29,3119.95,15.3441,23.4224,29,-103.6906509399414,3074.62,145000
30,3123.82,15.313,23.1637,30,-92.30768585205078,3033.28,150000
31,3135.95,14.9737,22.8689,31,-89.92797088623047,3114.94,155000
32,3071.68,14.8973,22.7915,32,-106.9372329711914,2980.51,160000
33,3138.42,14.6654,22.8384,33,-110.219482421875,3115.95,165000
34,3116.33,14.2395,23.0243,34,-106.54878234863281,3031.63,170000
35,3063.07,13.7674,24.0355,35,-218.76841735839844,2037.36,175000
36,3137.41,13.8193,22.5011,36,-114.22368621826172,3064.56,180000
37,3139.42,13.9456,22.7954,37,-129.67803955078125,2446.69,185000
38,3136.53,13.9241,22.4994,38,-115.00862121582031,3041.0,190000
39,3142.34,13.9017,22.7082,39,-123.46353912353516,3003.21,195000
40,3166.86,14.5046,22.6917,40,-106.74473571777344,2986.65,200000
41,3159.38,13.9614,23.01,41,-129.59217834472656,3042.46,205000
42,3136.62,13.3486,22.6889,42,-128.56590270996094,2950.77,210000
43,3141.13,13.9621,22.5536,43,-120.1405258178711,2778.78,215000
44,3187.95,12.7316,22.5302,44,-207.5758819580078,2287.93,220000
45,3126.51,14.4151,22.7221,45,-130.09214782714844,3137.2,225000
46,3165.78,13.3613,22.7318,46,-147.9003143310547,3133.08,230000
47,3175.84,13.2108,21.9461,47,-131.38414001464844,3053.66,235000
48,3104.99,14.0459,22.2601,48,-129.29254150390625,3122.11,240000
49,3144.48,13.3382,22.7289,49,-158.335205078125,2723.14,245000
50,3187.62,12.4402,22.4536,50,-197.5247039794922,2483.53,250000
51,3140.26,13.9231,22.3893,51,-151.24887084960938,3114.91,255000
52,3138.06,13.8448,23.064,52,-265.5698547363281,2117.55,260000
53,3149.58,14.1385,22.0372,53,-131.33740234375,3152.29,265000
54,3165.48,13.7668,22.8636,54,-165.56039428710938,2915.96,270000
55,3197.45,13.5543,22.2248,55,-145.03726196289062,3173.07,275000
56,3188.73,13.2817,22.5534,56,-168.69822692871094,2687.74,280000
57,3187.45,13.7471,22.9677,57,-150.5886688232422,2757.81,285000
58,3197.76,13.8836,22.0668,58,-132.34738159179688,3180.72,290000
59,3181.82,13.6676,22.0546,59,-149.88104248046875,3061.68,295000
60,3193.51,13.3361,22.4717,60,-170.0473175048828,2608.99,300000
61,3162.62,14.1017,22.6038,61,-148.2913818359375,3169.88,305000
62,3183.3,13.8056,22.1975,62,-150.2073974609375,3128.69,310000
63,3212.74,12.6652,22.231,63,-170.6051483154297,2516.12,315000
64,3186.18,12.8478,21.6673,64,-188.43942260742188,3115.13,320000
65,3188.91,13.1834,22.056,65,-224.9884033203125,2832.75,325000
66,3207.47,13.5264,21.8504,66,-145.94915771484375,3212.15,330000
67,3191.87,13.6649,21.7467,67,-160.0474395751953,3108.12,335000
68,3180.56,14.002,22.6661,68,-244.08181762695312,2493.92,340000
69,3209.98,13.2809,21.8218,69,-156.205810546875,3208.62,345000
70,3196.19,13.4126,21.4449,70,-161.71067810058594,3052.08,350000
71,3214.45,12.7196,21.4671,71,-182.7957000732422,3190.25,355000
72,3223.02,13.2944,21.9111,72,-183.4935302734375,3220.02,360000
73,3228.01,16.1089,21.7588,73,-196.39903259277344,3069.32,365000
74,3207.51,13.5183,22.0233,74,-174.265869140625,3206.87,370000
75,3254.4,13.9201,22.304,75,-214.49554443359375,2881.24,375000
76,3209.96,12.9521,21.1102,76,-172.43038940429688,3008.69,380000
77,3189.01,13.7413,22.6177,77,-210.41041564941406,3038.15,385000
78,3188.96,12.8327,21.5838,78,-192.5512237548828,3194.51,390000
79,3246.9,13.2256,21.7295,79,-165.2914581298828,3165.9,395000
80,3258.87,13.6863,21.3658,80,-160.8280487060547,3260.52,400000
81,3229.6,13.2377,21.8246,81,-179.44300842285156,3213.83,405000
82,3240.45,13.5254,21.9908,82,-179.96121215820312,3221.3,410000
83,3221.53,13.4521,21.1654,83,-176.6897430419922,3219.97,415000
84,3245.04,12.9501,21.124,84,-179.41012573242188,3182.33,420000
85,3248.99,13.4897,21.4139,85,-169.27513122558594,3247.16,425000
86,3289.61,12.6111,20.9802,86,-164.01499938964844,3270.2,430000
87,3258.59,13.0211,21.1979,87,-185.0245819091797,3251.34,435000
88,3255.85,12.6066,20.9384,88,-194.21365356445312,3237.97,440000
89,3302.8,12.7235,20.1866,89,-158.78843688964844,3290.01,445000
90,3272.67,12.2436,20.2174,90,-182.5611572265625,3145.32,450000
91,3258.93,12.9573,20.9457,91,-170.9687957763672,3249.41,455000
92,3312.98,13.238,20.798,92,-170.95950317382812,3313.58,460000
93,3301.72,13.1262,20.8855,93,-173.5662841796875,3274.83,465000
94,3292.64,12.8013,21.2366,94,-170.04800415039062,3280.79,470000
95,3299.99,12.149,20.4061,95,-198.53907775878906,3274.24,475000
96,3337.76,12.9187,20.6132,96,-162.51861572265625,3295.42,480000
97,3351.81,12.8984,20.8112,97,-219.73387145996094,3231.53,485000
98,3329.03,12.9539,20.3344,98,-172.60366821289062,3293.7,490000
99,3336.75,13.1112,20.6618,99,-174.75694274902344,3310.42,495000
100,3373.27,12.7867,21.2463,100,-193.0635223388672,3254.03,500000
101,3410.88,12.7641,20.8411,101,-208.2127685546875,3105.43,505000
102,3397.02,12.8312,20.5085,102,-180.5626678466797,3150.68,510000
103,3387.04,13.3872,20.7514,103,-164.13381958007812,3377.29,515000
104,3373.19,12.1713,20.382,104,-200.90904235839844,3171.72,520000
105,3422.21,13.1459,20.6983,105,-144.5888214111328,3419.54,525000
106,3375.93,12.931,20.0874,106,-181.5223388671875,3324.79,530000
107,3351.11,12.6992,19.8525,107,-171.09519958496094,3344.78,535000
108,3409.1,12.9423,21.0453,108,-186.45376586914062,3230.66,540000
109,3385.15,13.3968,20.285,109,-179.2736053466797,3359.06,545000
110,3383.6,12.0645,20.588,110,-212.48329162597656,2911.42,550000
111,3416.01,12.7033,19.7484,111,-170.7703399658203,3347.6,555000
112,3366.29,12.4878,20.1925,112,-200.93276977539062,3176.57,560000
113,3323.51,12.6485,19.6573,113,-199.34547424316406,3327.67,565000
114,3397.89,13.0125,20.1523,114,-174.45379638671875,3344.51,570000
115,3414.43,13.6101,20.311,115,-179.95994567871094,3406.76,575000
116,3427.74,13.3853,20.4089,116,-178.7056884765625,3414.01,580000
117,3401.35,13.5915,21.1758,117,-271.40447998046875,2715.84,585000
118,3427.37,12.2917,20.0176,118,-187.57569885253906,3240.94,590000
119,3426.18,13.4917,20.1641,119,-176.002197265625,3417.46,595000
120,3414.09,12.0417,20.2603,120,-211.37777709960938,3268.36,600000
121,3372.98,12.5088,20.0144,121,-236.5420684814453,3340.48,605000
122,3436.46,12.9721,20.4754,122,-192.7090301513672,3317.75,610000
123,3418.0,12.6389,19.8895,123,-230.72386169433594,3400.21,615000
124,3470.14,13.11,20.1837,124,-179.39817810058594,3444.43,620000
125,3423.84,12.8698,20.0487,125,-198.2148895263672,3401.93,625000
126,3425.44,12.7599,20.2823,126,-190.0270538330078,3363.42,630000
127,3400.68,13.8418,21.2054,127,-219.81805419921875,3365.04,635000
128,3410.12,13.1099,19.8579,128,-210.39161682128906,3384.43,640000
129,3443.82,13.7761,20.359,129,-194.81748962402344,3433.3,645000
130,3444.81,13.2065,20.4776,130,-185.84060668945312,3418.63,650000
131,3429.35,13.1621,19.7819,131,-205.0624542236328,3417.62,655000
132,3425.14,12.3996,19.3905,132,-199.9564208984375,3390.73,660000
133,3394.53,12.4504,19.668,133,-232.29563903808594,3278.12,665000
134,3423.96,12.6303,19.0359,134,-206.76773071289062,3382.4,670000
135,3407.94,12.8831,19.2705,135,-214.00111389160156,3379.41,675000
136,3434.14,13.2179,20.2629,136,-232.1542205810547,3347.65,680000
137,3418.4,13.073,19.6892,137,-214.8420867919922,3406.8,685000
138,3426.13,12.6657,19.5211,138,-220.83889770507812,3405.09,690000
139,3437.37,12.8853,19.669,139,-213.75816345214844,3413.63,695000
140,3466.8,13.7625,20.3939,140,-205.74313354492188,3466.54,700000
141,3458.78,12.0706,19.8326,141,-213.89942932128906,3344.95,705000
142,3450.11,11.9973,19.933,142,-233.92605590820312,3218.63,710000
143,3420.61,12.9818,19.9738,143,-239.48690795898438,3396.07,715000
144,3419.54,13.1286,19.9109,144,-246.89149475097656,3387.48,720000
145,3441.6,12.8248,19.1346,145,-222.61279296875,3426.38,725000
146,3470.38,12.6083,19.8073,146,-209.17039489746094,3465.2,730000
147,3413.8,11.8013,19.7391,147,-259.91033935546875,3298.74,735000
148,3436.74,12.199,19.2586,148,-254.95675659179688,3401.06,740000
149,3416.2,11.6842,18.8153,149,-255.52908325195312,3361.74,745000
150,3431.09,11.8347,18.8296,150,-206.21878051757812,3409.46,750000
151,3419.92,11.7452,19.974,151,-232.88320922851562,3316.38,755000
152,3454.02,11.2774,20.3541,152,-306.8125305175781,2469.33,760000
153,3436.04,12.0994,19.0314,153,-224.94131469726562,3381.96,765000
154,3438.41,12.4283,18.9619,154,-233.7664337158203,3415.02,770000
155,3436.91,12.8049,19.0599,155,-239.48985290527344,3421.93,775000
156,3460.05,12.981,19.7432,156,-257.0469970703125,3432.15,780000
157,3445.44,12.1503,20.0424,157,-284.1917724609375,3160.52,785000
158,3465.19,12.2448,20.0311,158,-257.3294677734375,3460.63,790000
159,3436.22,12.4161,18.8964,159,-269.2952880859375,3301.78,795000
160,3454.32,13.3965,20.01,160,-349.4131774902344,2994.18,800000
161,3461.49,12.2943,19.2072,161,-222.1891326904297,3441.23,805000
162,3433.81,12.5119,18.7151,162,-251.32107543945312,3397.82,810000
163,3421.53,12.2587,19.4684,163,-265.4200744628906,3405.32,815000
164,3415.69,12.5508,19.2056,164,-271.4600524902344,3411.27,820000
165,3452.55,12.1557,19.2608,165,-236.11224365234375,3281.96,825000
166,3460.49,12.4174,18.9217,166,-250.40895080566406,3430.66,830000
167,3442.99,12.2239,19.4906,167,-281.3707580566406,3149.92,835000
168,3436.88,14.4068,19.1611,168,-368.3256530761719,2986.54,840000
169,3406.02,12.3217,19.1123,169,-285.35467529296875,3384.41,845000
170,3448.66,13.1834,19.3709,170,-274.1559753417969,3422.5,850000
171,3431.37,11.3881,18.9299,171,-264.7315979003906,3411.08,855000
172,3438.82,11.0745,18.6962,172,-271.46392822265625,3344.23,860000
173,3451.63,12.3907,19.6354,173,-273.1891174316406,3416.59,865000
174,3411.88,12.8654,19.332,174,-312.4411926269531,3386.36,870000
175,3425.18,12.0508,18.8124,175,-279.73638916015625,3379.98,875000
176,3451.88,12.1838,19.1717,176,-276.6967468261719,3216.25,880000
177,3419.42,11.5839,19.0837,177,-315.3060607910156,3255.22,885000
178,3438.13,12.7569,19.4506,178,-284.3213806152344,3410.5,890000
179,3417.66,12.5885,19.3047,179,-289.0210266113281,3397.36,895000
180,3449.56,13.3392,19.7966,180,-318.3194885253906,3299.48,900000
181,3413.84,11.5474,19.4086,181,-283.7487487792969,3297.29,905000
182,3453.14,12.2417,19.5588,182,-291.14337158203125,3247.59,910000
183,3471.92,13.2392,19.1367,183,-301.0501403808594,3334.33,915000
184,3443.21,12.7467,19.2185,184,-304.1247253417969,3410.36,920000
185,3430.53,12.4633,18.9997,185,-298.0185852050781,3407.26,925000
186,3464.7,12.3869,20.0716,186,-317.362548828125,3185.11,930000
187,3419.62,11.8765,18.6408,187,-315.6399230957031,3381.52,935000
188,3446.74,12.6594,19.0874,188,-303.5169372558594,3421.3,940000
189,3427.19,11.994,19.3886,189,-306.2836608886719,3402.72,945000
190,3418.77,11.9383,19.194,190,-318.2392578125,3249.12,950000
191,3443.5,14.3513,19.1299,191,-290.873779296875,3115.64,955000
192,3464.04,12.2298,18.8973,192,-297.23626708984375,3332.56,960000
193,3437.05,15.1173,19.3373,193,-332.9731750488281,3043.22,965000
194,3441.79,12.2054,18.6493,194,-313.643798828125,3402.79,970000
195,3468.47,12.5757,19.439,195,-301.7716979980469,3307.67,975000
196,128.36,24.4209,37.0972,196,-902.236328125,123.73,980000
197,3470.72,13.3964,20.5466,197,-369.3832092285156,3313.12,985000
198,57.75,16.7161,22.5983,198,-915.7733154296875,237.7,990000
199,3495.52,14.8286,20.0282,199,-380.7865295410156,3215.1,995000
