Running Update Time,Running Forward KL,Reward Loss,Running Reverse KL,Real Sto Return,Running Env Steps,Real Det Return,Itration
0,49.3681,116.95724487304688,13.4034,295.34,0,390.27,0
1,49.1486,-32.62812042236328,21.5657,376.71,5000,431.77,1
2,49.3588,106.42057800292969,14.3487,417.14,10000,361.82,2
3,49.5297,167.81732177734375,14.7917,336.0,15000,373.88,3
4,49.4589,23.710399627685547,12.2233,375.13,20000,503.4,4
5,49.4449,164.54762268066406,13.1298,454.45,25000,473.1,5
6,48.7317,163.94198608398438,13.8352,473.1,30000,480.52,6
7,47.5423,73.15460205078125,12.8038,509.18,35000,629.87,7
8,47.6299,60.611366271972656,13.1261,775.09,40000,947.79,8
9,46.9878,53.18608856201172,12.7559,788.49,45000,650.01,9
10,46.6656,58.65848159790039,12.5195,862.84,50000,1642.85,10
11,47.6959,88.04851531982422,15.4447,585.21,55000,498.3,11
12,47.2943,-33.174991607666016,19.3855,1027.77,60000,1506.71,12
13,47.1247,-88.13947296142578,26.7689,838.62,65000,668.14,13
14,46.9018,-149.99026489257812,18.8292,1198.73,70000,1544.05,14
15,46.117,-130.2359161376953,16.2196,1832.43,75000,2096.53,15
16,47.1378,-136.7000274658203,27.0371,1090.58,80000,1505.19,16
17,45.8192,-128.45199584960938,15.1452,1746.07,85000,2255.95,17
18,46.2321,-180.98956298828125,19.5795,1637.6,90000,2254.01,18
19,44.7235,-184.5671844482422,16.5947,2246.2,95000,2588.46,19
20,45.8902,-133.11920166015625,17.603,1725.85,100000,2851.72,20
21,45.894,-217.186279296875,19.9455,2823.36,105000,3048.33,21
22,47.0575,-273.1929016113281,19.7765,3002.59,110000,3023.56,22
23,45.4328,-184.4474639892578,20.1647,2447.14,115000,3053.49,23
24,46.6465,-233.8677978515625,19.6534,3191.22,120000,3041.96,24
25,46.3744,-277.3382263183594,22.0085,3292.03,125000,3208.7,25
26,45.7202,-276.43927001953125,18.9424,3211.88,130000,3037.97,26
27,46.7403,-293.33074951171875,21.0647,3190.33,135000,3150.22,27
28,46.1848,-282.01287841796875,20.2149,3322.15,140000,3295.31,28
29,45.8266,-261.44488525390625,18.556,3421.47,145000,3138.4,29
30,46.6403,-271.331787109375,21.9618,3492.73,150000,3564.61,30
31,46.1949,-272.6069030761719,21.088,3730.56,155000,3702.25,31
32,45.7023,-276.89959716796875,21.7653,3334.2,160000,3635.14,32
33,45.9897,-255.96136474609375,20.9992,3726.27,165000,3696.28,33
34,44.8928,-205.08551025390625,22.2908,3343.91,170000,4165.9,34
35,45.3116,-303.7113952636719,22.3032,3672.87,175000,3711.2,35
36,46.785,-288.5525817871094,24.2264,3606.76,180000,3611.99,36
37,45.9418,-263.0419921875,24.1958,3387.85,185000,3958.88,37
38,45.1607,-291.6298522949219,23.3607,3964.89,190000,3965.77,38
39,45.707,-320.98516845703125,24.7045,3924.23,195000,3938.23,39
40,46.3812,-317.88824462890625,24.5941,4027.38,200000,4069.76,40
41,45.6842,-310.5932922363281,25.8425,4125.2,205000,4160.02,41
42,45.1492,-326.1474304199219,23.1505,4084.39,210000,4076.17,42
43,58.2647,-636.5870971679688,154.055,-17.84,215000,-18.05,43
44,44.1879,-341.41595458984375,21.0267,3758.72,220000,3835.6,44
45,45.542,-344.45245361328125,25.5734,4018.61,225000,4022.03,45
46,45.5294,-347.0682373046875,24.5573,3971.53,230000,3968.83,46
47,45.8535,-356.1250915527344,24.7147,4118.93,235000,4159.92,47
48,45.1655,-341.54156494140625,26.0213,4124.85,240000,4211.21,48
49,44.5922,-343.6521301269531,22.8093,4079.4,245000,4054.19,49
