Running Forward KL,Real Det Return,Real Sto Return,Running Reverse KL,Running Update Time,Reward Loss,Itration,Running Env Steps
38.0067,235.3,218.19,20.5766,0,-135.18746948242188,0,0
37.7438,264.42,261.26,52.9583,1,-98.12957000732422,1,5000
37.3697,311.03,291.15,27.2441,2,-124.7240219116211,2,10000
37.7022,324.9,318.25,47.3801,3,-124.35430145263672,3,15000
38.2616,322.35,321.69,42.6733,4,-140.75311279296875,4,20000
38.3446,344.13,333.94,40.1169,5,-163.89447021484375,5,25000
37.4311,325.12,323.64,34.5169,6,-164.0245361328125,6,30000
37.5192,1043.65,965.74,22.9925,7,-194.6463623046875,7,35000
36.5156,536.72,427.88,33.4653,8,-182.89515686035156,8,40000
44.3791,229.8,230.09,50.7058,9,-186.69338989257812,9,45000
43.0353,1025.55,1025.57,41.4325,10,-208.9884490966797,10,50000
42.7484,1019.43,1017.6,31.3449,11,-237.48635864257812,11,55000
42.5558,989.81,989.35,39.8513,12,-216.5991668701172,12,60000
37.4651,275.86,270.11,46.5559,13,-164.3247833251953,13,65000
43.2723,1015.63,1016.69,37.6654,14,-264.4446716308594,14,70000
38.2264,314.9,305.73,35.0978,15,-225.90940856933594,15,75000
38.3915,441.76,410.73,30.2569,16,-168.15182495117188,16,80000
43.7748,995.28,1000.51,27.7605,17,-294.2655944824219,17,85000
42.0392,1022.74,1022.81,28.0653,18,-284.580078125,18,90000
41.3452,1023.99,1018.13,30.6355,19,-314.430908203125,19,95000
41.4685,1037.21,977.73,22.9242,20,-317.6134338378906,20,100000
44.1351,1008.33,1008.3,58.1679,21,-303.6464538574219,21,105000
42.3127,1034.16,1030.19,22.6619,22,-321.64544677734375,22,110000
40.4187,1021.64,1020.78,36.6025,23,-335.092529296875,23,115000
