Real Sto Return,Running Update Time,Itration,Running Env Steps,Reward Loss,Running Forward KL,Running Reverse KL,Real Det Return
166.68,0,0,0,513.54541015625,33.9921,19.8304,197.83
226.86,1,1,5000,603.00830078125,33.1517,24.8717,221.11
250.5,2,2,10000,262.8882141113281,31.6787,27.5519,246.83
319.29,3,3,15000,240.64559936523438,32.5855,22.984,319.91
308.38,4,4,20000,136.6428680419922,30.3708,30.8793,289.92
338.61,5,5,25000,104.25297546386719,32.1004,27.5167,323.86
351.76,6,6,30000,67.6579360961914,31.6175,26.7756,353.61
378.35,7,7,35000,-8.426440238952637,31.0995,26.9704,383.93
400.59,8,8,40000,-64.16215515136719,29.5235,27.3926,401.8
406.48,9,9,45000,-51.98850631713867,30.2775,27.0924,412.22
419.46,10,10,50000,-184.51290893554688,30.127,29.8405,432.58
418.58,11,11,55000,-81.12033081054688,29.1848,30.1943,423.71
444.96,12,12,60000,-37.29719543457031,28.6032,27.3064,446.58
443.78,13,13,65000,-327.45233154296875,28.74,32.056,466.36
483.02,14,14,70000,-75.44520568847656,26.3612,72.5713,506.39
422.06,15,15,75000,-131.8609619140625,27.5653,55.3058,404.14
389.34,16,16,80000,-301.0482482910156,28.2464,24.0962,362.99
426.69,17,17,85000,-368.9219055175781,28.4024,18.6711,395.98
524.25,18,18,90000,-473.5773620605469,26.3411,21.1004,593.13
609.5,19,19,95000,-415.3056335449219,26.0169,17.0456,648.15
735.56,20,20,100000,-433.22528076171875,26.6914,17.9343,878.76
602.38,21,21,105000,-478.1076965332031,26.5948,17.3223,633.67
695.36,22,22,110000,-519.5321655273438,27.0779,17.1996,693.91
698.38,23,23,115000,-674.350341796875,26.4687,25.642,650.38
698.75,24,24,120000,-699.21923828125,26.6912,23.0209,675.06
1185.28,25,25,125000,-354.929931640625,27.8284,27.1974,606.9
932.77,26,26,130000,-681.8028564453125,27.2346,31.279,907.03
1156.24,27,27,135000,-666.707763671875,27.5588,31.2661,3074.42
1449.83,28,28,140000,-590.992431640625,26.3881,24.864,956.17
992.04,29,29,145000,-780.9872436523438,26.7307,26.9596,975.39
999.12,30,30,150000,-779.5028686523438,26.5726,27.0183,942.3
984.46,31,31,155000,-460.41741943359375,27.1125,15.0616,987.93
1316.12,32,32,160000,-530.69580078125,26.8216,17.9471,1362.83
979.57,33,33,165000,-404.6538391113281,27.2122,14.202,999.12
1029.42,34,34,170000,-892.0628051757812,27.0253,19.7104,1014.42
974.8,35,35,175000,-984.2238159179688,26.5574,21.4059,1007.37
803.81,36,36,180000,-766.9273071289062,27.3568,17.7877,831.94
1279.3,37,37,185000,-800.5220947265625,26.4481,19.602,1325.32
1126.26,38,38,190000,-1006.5781860351562,26.4386,22.9744,1252.23
907.15,39,39,195000,-994.2109985351562,26.208,17.9235,985.35
1025.06,40,40,200000,-1036.630615234375,26.1146,20.257,1173.13
1174.48,41,41,205000,-825.2807006835938,25.6576,19.2363,1368.33
1106.88,42,42,210000,-838.1023559570312,25.8825,20.7625,1246.74
1148.94,43,43,215000,-1033.1551513671875,25.8515,18.0295,1290.94
1428.77,44,44,220000,-941.5352172851562,25.217,17.5341,2162.88
930.63,45,45,225000,-1379.8988037109375,26.3767,19.5118,973.57
1030.27,46,46,230000,-1403.8427734375,26.2385,21.1813,955.9
1034.55,47,47,235000,-1329.5340576171875,25.785,19.1245,1110.79
1016.68,48,48,240000,-1330.0953369140625,26.0363,17.7813,1051.42
