Running Update Time,Real Sto Return,Running Forward KL,Reward Loss,Itration,Real Det Return,Running Env Steps,Running Reverse KL
151,1199.81,24.1802,-6085.87939453125,151,1232.69,755000,95.1718
152,1096.33,25.8176,-5016.39501953125,152,1564.49,760000,43.0795
153,1511.34,25.6679,-4457.6044921875,153,2045.25,765000,23.9323
154,1429.99,24.0311,-4595.91748046875,154,1682.58,770000,17.8654
155,1096.99,25.9618,-5689.255859375,155,1279.79,775000,27.6107
156,1240.67,25.2711,-5433.85546875,156,2198.18,780000,57.6819
157,1550.57,24.4085,-5320.67626953125,157,2628.79,785000,23.9862
158,1163.71,24.1842,-4080.318115234375,158,1281.21,790000,29.9787
159,1626.12,24.6985,-4650.1943359375,159,2376.48,795000,21.3139
160,962.04,23.8607,-4696.31591796875,160,531.81,800000,28.764
161,1281.49,25.2399,-6200.029296875,161,2717.28,805000,78.6602
162,1343.55,24.3334,-5216.29296875,162,3343.48,810000,40.3386
163,843.11,25.7253,-6305.31640625,163,810.08,815000,24.7344
164,1294.05,25.353,-5719.06005859375,164,2814.83,820000,18.7168
165,1477.54,24.0978,-4859.3056640625,165,1942.2,825000,22.8286
166,1171.95,23.6742,-5231.677734375,166,1893.19,830000,31.2184
167,1351.44,25.4295,-6249.37939453125,167,2567.18,835000,39.2209
168,1341.92,24.6485,-6343.9150390625,168,1081.48,840000,42.4513
169,1451.55,24.4786,-6071.90185546875,169,1234.21,845000,20.9039
170,1758.19,23.7207,-5921.94873046875,170,2868.35,850000,60.3519
171,1560.39,22.8924,-4989.0048828125,171,2223.52,855000,15.1588
172,1364.77,23.6092,-5443.0830078125,172,2004.75,860000,22.5646
173,1079.4,25.7673,-6288.28466796875,173,1184.59,865000,42.1274
174,1041.14,25.4228,-7267.82373046875,174,846.73,870000,44.5463
175,906.56,25.3045,-6698.49267578125,175,827.11,875000,31.319
176,1129.83,24.7803,-5667.5224609375,176,1150.91,880000,49.8162
177,1434.59,24.7533,-5885.509765625,177,2010.03,885000,19.4559
178,1892.58,23.6237,-4951.9150390625,178,3271.87,890000,18.1039
179,1195.72,25.0035,-6192.982421875,179,1723.67,895000,27.2869
180,1593.87,25.9628,-5509.32470703125,180,1155.68,900000,29.2596
181,1307.95,24.5272,-6133.34228515625,181,1377.4,905000,20.5783
182,1020.52,25.0886,-6407.31103515625,182,1519.1,910000,18.7927
183,988.36,25.9882,-7347.81640625,183,916.21,915000,39.3003
184,1226.38,25.3432,-6285.28759765625,184,1780.9,920000,19.7169
185,879.08,25.5441,-6904.71337890625,185,1780.61,925000,12.8274
186,1741.35,23.6553,-5404.78515625,186,3174.14,930000,16.3357
187,1708.56,22.7923,-6694.18505859375,187,1338.45,935000,28.9397
188,643.16,22.7038,-4154.69873046875,188,737.99,940000,14.3869
189,1601.4,25.0376,-5587.49755859375,189,1563.62,945000,55.8224
190,1744.33,22.9335,-4952.78759765625,190,1149.3,950000,16.4795
191,1459.99,23.9141,-5789.4150390625,191,2134.58,955000,20.9257
192,2250.05,23.3189,-5016.8994140625,192,2637.38,960000,18.1961
193,1013.56,25.89,-6652.5546875,193,1272.79,965000,41.1588
194,1927.44,23.623,-4830.3740234375,194,1819.36,970000,49.9492
195,1456.63,24.4482,-6657.2841796875,195,2336.55,975000,29.6453
196,1166.23,24.9917,-6751.3623046875,196,2967.66,980000,52.152
197,1254.78,25.295,-7428.6845703125,197,1108.28,985000,50.9612
198,1956.1,23.7801,-7062.494140625,198,1326.32,990000,37.5673
199,1625.79,23.4385,-5548.16796875,199,2370.84,995000,16.5644
