Real Det Return,Running Reverse KL,Itration,Real Sto Return,Running Forward KL
389.23,12.9282,0,376.94,49.6547
381.94,14.0094,1,338.42,49.8136
317.93,14.0077,2,423.88,49.7611
352.7,16.467,3,336.0,49.8799
394.99,16.8642,4,361.0,49.8793
391.79,13.6314,5,354.38,48.8263
465.42,13.5354,6,466.18,49.56
379.96,15.8821,7,377.27,49.2073
453.45,13.4743,8,374.44,48.9681
395.09,14.693,9,391.36,48.5082
625.58,13.3405,10,442.48,48.834
441.37,14.2937,11,562.97,48.6812
479.84,14.0394,12,512.49,48.3012
1080.97,12.9177,13,518.76,48.8854
780.33,12.7066,14,670.82,48.9435
1545.81,13.6116,15,675.42,47.4465
483.11,15.4395,16,445.07,47.9076
428.0,16.5404,17,420.49,48.6004
602.69,15.2556,18,518.34,48.7131
520.73,13.986,19,560.25,47.1185
649.13,13.5858,20,651.43,47.1397
1862.06,13.583,21,1007.5,47.3318
603.1,13.6367,22,574.63,47.7959
1584.94,13.4684,23,1444.44,48.0912
573.69,13.4241,24,548.15,47.8182
907.32,19.5174,25,828.65,47.1083
815.45,16.6801,26,830.37,47.9114
600.22,13.6174,27,956.79,46.8814
1063.24,13.6035,28,859.69,46.978
1469.76,13.9625,29,951.56,47.0157
1101.88,22.2477,30,866.02,47.6185
1154.21,18.4186,31,972.0,47.1567
1543.83,18.6129,32,1111.99,47.0452
1517.62,16.3458,33,1074.76,46.9594
1282.95,16.7379,34,991.5,47.1352
1230.83,20.9429,35,974.92,47.0933
905.89,17.476,36,763.25,47.3193
1055.16,16.334,37,991.51,46.8287
968.9,21.5789,38,956.56,46.7873
1036.33,14.7513,39,912.5,47.0575
1196.42,23.5383,40,994.45,46.6602
1835.16,22.5286,41,1877.81,46.5083
1246.77,33.2862,42,1037.59,46.794
3097.63,31.5357,43,1747.01,46.2905
1417.4,31.2306,44,1258.67,46.3704
1187.07,22.9117,45,1255.37,46.7032
1591.47,28.4714,46,1257.65,46.17
1363.0,29.2504,47,1136.6,46.5187
1667.55,24.7441,48,1498.81,46.182
1384.58,34.328,49,1245.24,46.9407
1565.28,25.5594,50,1322.88,46.642
1737.03,25.9116,51,1432.49,45.8522
1211.69,21.8627,52,1319.88,46.0789
1328.33,25.5287,53,1356.17,46.6243
1357.46,40.0319,54,1182.38,46.6397
1114.13,33.707,55,1297.91,46.9848
2010.15,28.4117,56,1012.72,47.7698
1337.7,32.5008,57,1232.23,46.5491
2479.49,30.8834,58,1599.25,46.449
1092.93,29.5287,59,1031.99,47.526
1124.07,27.0113,60,1179.33,46.7289
976.76,33.0342,61,851.44,46.9894
813.27,39.2433,62,792.03,47.6564
1367.4,40.4019,63,1162.28,46.8661
1327.64,19.8788,64,1015.46,46.9857
1793.87,23.5172,65,1102.32,47.2513
1114.96,21.7726,66,1034.88,47.1902
1168.44,31.3923,67,950.53,47.4684
1704.78,27.8555,68,1071.48,47.0305
1041.08,21.8193,69,984.15,46.5824
1954.13,18.6651,70,1389.85,46.3301
1655.14,30.6584,71,1598.95,46.042
1394.31,20.2799,72,1294.2,46.8734
2022.35,21.1801,73,1486.56,46.5437
2162.21,20.1384,74,1666.87,45.683
3348.94,19.5675,75,2568.68,46.1932
2702.02,20.1247,76,1425.22,45.7905
2281.0,18.4269,77,2111.82,46.0501
2472.74,18.7345,78,2112.65,46.0963
2172.21,18.341,79,1661.0,46.5275
2415.7,20.1156,80,1702.34,46.5444
2762.86,17.8122,81,2049.75,45.6984
2701.57,21.4174,82,1346.04,45.6855
2880.88,18.918,83,1682.73,46.0785
2327.73,15.3197,84,1886.93,46.0904
2390.26,17.0466,85,1895.84,45.6536
2765.23,15.3367,86,1454.77,46.4594
2375.13,15.1933,87,1620.29,45.8461
2485.93,17.1688,88,1588.67,46.4808
3116.88,18.3926,89,1840.93,45.7163
1805.22,14.8605,90,1597.85,46.2436
1670.09,14.6191,91,1207.97,46.7452
2295.03,14.9875,92,1705.63,46.3682
1642.51,14.8348,93,1389.12,45.5872
2003.79,14.2441,94,1580.3,45.9134
2646.63,13.8898,95,1525.76,46.1549
1867.09,20.9479,96,1506.04,46.4252
1472.35,16.2642,97,1587.11,45.6422
2203.8,16.2574,98,1609.05,45.2921
2883.03,19.4034,99,2199.02,45.454
3121.85,18.1829,100,2206.78,45.7261
2091.46,15.5206,101,1663.67,45.3768
3370.89,16.0595,102,2559.34,43.8754
3149.24,17.0477,103,2643.29,44.641
2149.13,17.1623,104,1946.97,45.5452
3149.4,19.1353,105,2949.85,44.2078
3506.76,18.9871,106,3314.7,44.9422
3327.18,18.1136,107,3419.05,44.8193
3597.74,17.8695,108,2972.24,45.1836
3065.79,20.0604,109,2552.77,45.1837
3272.7,21.3886,110,3281.71,45.455
3452.27,19.4347,111,3282.33,45.0769
3635.6,20.902,112,3559.38,45.7785
3710.2,20.7848,113,3652.42,45.2121
3310.57,20.1428,114,3110.28,45.1813
3605.02,18.2299,115,3229.11,43.9295
3544.87,20.1386,116,3242.88,44.258
3552.04,20.952,117,3599.17,45.5276
3639.53,20.423,118,3604.27,45.3421
3650.35,21.1642,119,3310.93,45.6143
3649.54,21.5933,120,3494.58,44.6536
3643.63,23.323,121,3624.25,45.7808
3662.65,23.549,122,3627.92,46.2316
3654.79,20.1284,123,3648.55,44.4599
3743.37,21.3949,124,3722.84,45.7541
3695.08,21.086,125,3687.48,44.7561
3676.17,22.1229,126,3646.47,45.1071
3728.45,22.4377,127,3410.15,45.2333
3657.98,23.1628,128,3601.72,45.83
3706.99,22.1352,129,3669.69,45.1332
3590.72,20.8977,130,3610.03,45.2788
3687.21,21.0622,131,3686.11,45.2225
3748.53,22.0513,132,3727.38,45.7625
3653.89,21.5812,133,3704.71,46.0011
3676.06,20.6564,134,3679.23,45.6445
3689.54,21.8104,135,3610.28,45.8031
3709.11,22.6005,136,3678.7,46.1145
3546.08,19.2824,137,3574.15,45.2605
3623.1,21.1992,138,3634.79,45.0817
3670.75,25.1027,139,3657.85,46.2011
3720.46,23.6942,140,3601.03,45.7382
3693.69,21.5684,141,3609.81,45.9199
3562.32,20.8225,142,3529.36,45.9792
3447.11,23.3848,143,3466.7,46.9124
3315.43,21.3068,144,3368.22,46.4047
2880.23,21.7346,145,3130.29,47.2157
2181.89,17.7325,146,2119.14,47.4627
431.98,15.9163,147,472.96,48.3683
364.37,43.8146,148,333.34,48.9028
498.05,52.5121,149,523.53,48.9167
948.07,24.4218,150,568.55,47.8248
1554.92,35.5265,151,1286.81,48.222
1039.6,23.1049,152,1528.66,49.5888
2384.0,17.087,153,1812.38,47.0398
2778.43,18.9733,154,2611.71,46.6963
2673.77,16.6802,155,1450.1,46.6534
2564.22,18.0289,156,2732.05,46.4491
2405.03,19.1115,157,2442.79,46.6274
2632.02,19.5805,158,2731.82,46.5384
1914.81,21.7651,159,2009.25,47.0802
2809.1,21.5969,160,2402.37,45.8862
2425.58,24.2782,161,2063.14,46.862
2856.8,43.2428,162,1548.69,48.7281
1179.3,44.3264,163,955.66,47.7838
1135.85,33.8141,164,1011.69,47.1381
1125.85,23.7163,165,994.57,46.5501
1545.24,21.6114,166,1375.12,46.798
