Real Det Return,Running Update Time,Reward Loss,Running Forward KL,Running Reverse KL,Real Sto Return,Itration,Running Env Steps
197.25,0,421.0376892089844,32.8152,16.1242,186.21,0,0
272.13,1,664.1005859375,31.5203,51.8711,269.83,1,5000
296.97,2,230.63502502441406,29.4854,22.5862,313.69,2,10000
523.66,3,44.75364685058594,29.1287,17.1942,564.01,3,15000
369.97,4,125.51983642578125,28.4964,58.0765,373.84,4,20000
553.15,5,78.98764038085938,27.614,32.8366,543.15,5,25000
606.72,6,-145.81411743164062,28.0591,17.4917,616.64,6,30000
1002.98,7,52.64221954345703,37.865,31.7293,1001.24,7,35000
2119.83,8,-87.41703796386719,23.5526,12.6165,1320.31,8,40000
1219.27,9,-6.351530075073242,27.0028,24.181,1247.66,9,45000
304.99,10,-88.34970092773438,36.9518,32.2262,311.61,10,50000
61.06,11,-209.86326599121094,31.3359,27.2725,61.4,11,55000
115.57,12,-267.487060546875,31.8501,32.0735,115.85,12,60000
1030.83,13,-190.54476928710938,36.4626,33.3336,1031.1,13,65000
299.92,14,-225.2552490234375,38.1139,33.0978,340.4,14,70000
1050.85,15,-279.418701171875,34.4771,30.6471,1026.74,15,75000
150.24,16,-375.3128967285156,33.9741,32.8644,117.11,16,80000
228.96,17,-481.4645080566406,31.7005,26.6144,226.54,17,85000
1012.58,18,-311.9312438964844,37.895,26.6434,1008.39,18,90000
982.64,19,-526.5552978515625,36.3331,33.1839,981.12,19,95000
982.82,20,-521.0965576171875,37.4673,48.4516,982.27,20,100000
192.78,21,-467.3305358886719,30.7832,28.3529,201.53,21,105000
432.79,22,-650.3963623046875,32.9015,18.415,378.73,22,110000
34.43,23,-713.5941772460938,34.6933,37.0148,46.71,23,115000
991.89,24,-714.3031616210938,37.8218,30.3798,992.89,24,120000
1021.09,25,-811.6558837890625,36.0555,28.254,1019.69,25,125000
1090.02,26,-528.4326782226562,32.8836,21.0499,1086.52,26,130000
339.92,27,-962.3072509765625,33.1279,22.4586,336.04,27,135000
157.22,28,-1179.057861328125,29.9287,77.6886,161.24,28,140000
410.05,29,-523.1983642578125,28.8527,54.8761,385.58,29,145000
549.8,30,-898.4111938476562,30.3038,33.9451,556.3,30,150000
786.83,31,-949.7647094726562,29.3959,36.3977,880.47,31,155000
957.33,32,-805.5692749023438,30.6995,21.6954,1107.3,32,160000
354.59,33,-1134.1527099609375,30.4648,32.9195,354.27,33,165000
332.83,34,-1261.9393310546875,30.6412,50.2995,318.19,34,170000
964.02,35,-716.4368286132812,27.6668,13.6977,1024.71,35,175000
1012.39,36,-1365.0831298828125,35.6464,40.6011,1012.27,36,180000
324.98,37,-767.9852294921875,30.6954,34.0466,322.21,37,185000
1005.12,38,-1402.8946533203125,35.5103,37.7376,1005.84,38,190000
988.06,39,-1498.00341796875,38.7826,47.0166,988.06,39,195000
991.14,40,-1543.5997314453125,38.9222,51.7884,991.03,40,200000
984.06,41,-1591.3291015625,38.8914,49.6938,984.39,41,205000
978.09,42,-1635.966552734375,37.6232,51.3469,976.57,42,210000
507.69,43,-1613.0,33.8527,30.5442,744.34,43,215000
1006.37,44,-1741.1829833984375,37.5326,46.2822,1006.95,44,220000
1006.52,45,-1805.896728515625,40.4687,50.7276,1006.6,45,225000
1016.73,46,-1893.6063232421875,38.4066,41.4188,1015.51,46,230000
1023.5,47,-1886.7908935546875,37.2467,28.4124,1022.8,47,235000
1018.64,48,-1910.60791015625,38.3133,26.063,1019.56,48,240000
1036.41,49,-2057.037109375,37.3892,26.5904,1023.68,49,245000
1020.4,50,-2069.464599609375,36.8083,31.2844,1044.39,50,250000
1033.91,51,-2168.55810546875,34.5805,43.3793,1033.54,51,255000
602.16,52,-2193.7958984375,30.4783,41.5011,717.69,52,260000
1018.69,53,-2260.474853515625,36.1784,35.3804,1019.56,53,265000
1012.08,54,-2316.03369140625,36.5552,38.3976,1012.3,54,270000
1018.96,55,-2376.085693359375,37.1203,27.417,1019.32,55,275000
405.26,56,-2399.905029296875,35.2503,24.2544,399.15,56,280000
1048.95,57,-2514.84716796875,37.108,29.1354,1051.67,57,285000
1031.51,58,-2546.502197265625,35.186,42.858,1031.04,58,290000
1009.96,59,-2622.6494140625,38.4777,41.7819,1009.87,59,295000
977.86,60,-2684.75,38.4421,46.6475,977.8,60,300000
989.17,61,-2761.075439453125,38.158,42.4228,988.94,61,305000
122.53,62,-2618.877685546875,33.2638,29.1539,134.4,62,310000
1056.35,63,-2799.359130859375,36.5815,37.1489,1055.66,63,315000
1034.48,64,-2854.96044921875,33.5571,27.3921,1029.04,64,320000
997.01,65,-3004.189453125,37.9156,49.6218,999.07,65,325000
996.99,66,-3139.5966796875,38.1278,38.7735,997.34,66,330000
996.28,67,-3096.58984375,38.4325,30.2374,996.55,67,335000
1027.76,68,-3072.1123046875,33.5903,30.7005,866.97,68,340000
473.93,69,-2802.4033203125,30.2133,40.2366,448.97,69,345000
641.87,70,-2809.374267578125,28.8674,43.0519,641.47,70,350000
621.24,71,-2935.10888671875,29.4093,51.9908,619.36,71,355000
942.97,72,-3292.41748046875,32.8201,36.4918,877.75,72,360000
344.34,73,-3354.726806640625,30.3233,44.1118,447.3,73,365000
1000.22,74,-3480.8974609375,37.239,40.2044,1001.8,74,370000
1016.15,75,-3555.8818359375,36.5077,36.595,1015.19,75,375000
1028.0,76,-3598.017333984375,36.9595,25.8524,1028.27,76,380000
985.76,77,-3544.021240234375,37.8527,31.7118,984.64,77,385000
988.96,78,-3510.919189453125,35.708,28.1267,990.9,78,390000
123.75,79,-2537.2548828125,32.7306,19.0072,121.99,79,395000
984.32,80,-3856.132080078125,38.8971,54.3582,984.14,80,400000
979.17,81,-3939.855224609375,38.5623,38.3732,978.02,81,405000
289.1,82,-3481.48974609375,31.6216,42.412,277.06,82,410000
210.47,83,-4039.16796875,30.6615,50.9813,215.73,83,415000
986.76,84,-3984.408447265625,37.4539,31.7375,987.9,84,420000
808.22,85,-3577.24951171875,33.0409,26.5796,764.61,85,425000
487.32,86,-3412.493896484375,32.8958,23.7014,475.13,86,430000
554.31,87,-3235.324951171875,33.1895,24.1583,507.65,87,435000
131.8,88,-3571.888427734375,33.9326,53.1976,129.88,88,440000
63.17,89,-3761.966552734375,31.6258,51.0213,64.14,89,445000
485.26,90,-4090.47607421875,33.3507,46.1519,581.18,90,450000
878.37,91,-3669.552734375,30.0349,29.2227,775.54,91,455000
1056.25,92,-4499.369140625,35.9399,34.9336,1056.1,92,460000
208.4,93,-4380.37060546875,35.6335,123.3695,210.93,93,465000
147.49,94,-4466.6474609375,35.7006,107.426,145.65,94,470000
53.08,95,-3067.496337890625,33.0561,95.7603,53.62,95,475000
1039.85,96,-4621.6015625,35.151,28.142,1039.5,96,480000
1009.56,97,-4798.837890625,37.1483,35.7345,1009.54,97,485000
975.92,98,-4847.69189453125,38.2337,44.8398,976.15,98,490000
976.82,99,-4929.21728515625,38.9662,51.3376,976.64,99,495000
975.51,100,-4970.87255859375,38.6526,51.3576,975.31,100,500000
980.59,101,-4771.99462890625,35.9296,28.278,982.79,101,505000
1035.88,102,-4985.71728515625,34.5268,41.5791,1035.04,102,510000
1015.52,103,-4641.75390625,35.3665,27.0866,1000.76,103,515000
1019.52,104,-5164.6787109375,37.1473,52.1197,1019.22,104,520000
101.26,105,-3852.769775390625,29.187,30.9085,103.77,105,525000
265.74,106,-4174.42822265625,32.8487,27.5615,270.02,106,530000
1011.92,107,-5377.7578125,37.7156,40.3857,1011.68,107,535000
997.65,108,-5455.98193359375,39.9427,42.0547,997.86,108,540000
129.54,109,-4791.0556640625,32.7378,26.3545,155.34,109,545000
1001.8,110,-5602.37353515625,37.3546,41.3379,1042.2,110,550000
1019.64,111,-5680.1748046875,36.3716,39.9334,1020.19,111,555000
308.88,112,-4925.3271484375,33.4006,82.4409,304.71,112,560000
1005.34,113,-5508.2607421875,38.1419,25.3244,1006.07,113,565000
981.71,114,-5374.26513671875,37.55,33.7608,981.19,114,570000
477.87,115,-5022.65966796875,32.067,30.1923,478.64,115,575000
576.95,116,-5471.76708984375,36.8189,36.7933,584.96,116,580000
494.26,117,-5071.68310546875,31.4284,45.4799,492.46,117,585000
644.53,118,-4410.826171875,29.5015,23.1431,655.77,118,590000
383.31,119,-5924.7421875,34.2215,34.875,391.99,119,595000
1032.41,120,-6004.93359375,34.628,30.6633,1032.6,120,600000
1031.76,121,-6102.47265625,34.4112,31.2194,1030.08,121,605000
1030.96,122,-6186.3603515625,34.2271,25.3671,1033.18,122,610000
311.37,123,-4828.87060546875,31.6025,27.4672,303.61,123,615000
211.58,124,-4246.751953125,28.2978,33.4156,211.43,124,620000
936.68,125,-5311.71142578125,30.2632,44.6538,504.28,125,625000
1020.23,126,-5268.84033203125,33.1069,23.8885,570.62,126,630000
1043.24,127,-6049.84521484375,33.4703,27.2107,708.76,127,635000
102.62,128,-5434.31103515625,31.2896,15.9846,102.51,128,640000
1030.99,129,-6639.31103515625,37.8083,38.2989,958.95,129,645000
975.08,130,-6865.8935546875,36.5065,51.7578,286.83,130,650000
973.21,131,-6860.28564453125,38.382,36.1173,960.58,131,655000
1006.99,132,-6785.7119140625,37.5599,41.669,1011.9,132,660000
516.95,133,-5732.216796875,31.3995,22.9781,381.15,133,665000
995.7,134,-7042.7119140625,35.8837,40.1052,995.99,134,670000
993.98,135,-6846.12744140625,37.0014,31.5513,858.62,135,675000
1038.95,136,-7058.462890625,36.3504,35.3252,1037.95,136,680000
1044.13,137,-7031.14990234375,36.8047,37.2108,1044.7,137,685000
1051.28,138,-7216.42529296875,37.4229,38.5507,1051.37,138,690000
417.3,139,-6015.212890625,33.7816,24.0347,432.2,139,695000
413.47,140,-6574.06884765625,33.7316,25.4462,418.53,140,700000
472.19,141,-5870.83056640625,32.1001,21.1034,470.7,141,705000
35.89,142,-7256.58740234375,34.2015,32.6697,34.86,142,710000
51.99,143,-6529.708984375,30.7975,75.3669,54.96,143,715000
997.39,144,-7699.6474609375,40.7898,36.9727,997.14,144,720000
1002.56,145,-7756.34765625,38.6427,44.4016,1002.72,145,725000
988.12,146,-7856.87646484375,37.929,42.588,987.6,146,730000
1024.56,147,-7765.5068359375,39.1748,40.2266,1024.08,147,735000
1015.96,148,-7885.64404296875,39.0485,54.0765,1016.05,148,740000
1004.59,149,-8086.66162109375,39.9089,34.2342,1005.12,149,745000
1044.85,150,-8057.412109375,39.9558,31.5464,916.11,150,750000
995.54,151,-8169.326171875,38.3667,42.5775,994.19,151,755000
1040.97,152,-7393.6640625,33.5998,29.8099,303.4,152,760000
992.08,153,-8237.8828125,36.5164,56.4673,991.89,153,765000
1040.1,154,-7960.89892578125,35.2865,22.1887,1044.18,154,770000
243.95,155,-6990.20263671875,33.2995,39.1805,238.47,155,775000
1040.5,156,-8447.126953125,35.1075,36.7864,1040.49,156,780000
1047.34,157,-8489.953125,37.2951,25.8229,1043.61,157,785000
1025.63,158,-8430.494140625,36.1294,24.9588,1025.13,158,790000
990.73,159,-8644.087890625,37.8064,29.3649,988.26,159,795000
1000.64,160,-8743.4111328125,39.2912,29.7846,999.36,160,800000
982.25,161,-8792.6474609375,38.4328,36.2789,983.0,161,805000
981.74,162,-8957.890625,37.1029,28.4358,981.42,162,810000
978.94,163,-8947.5498046875,38.522,30.5704,978.24,163,815000
978.96,164,-9168.6552734375,39.2056,31.0487,978.8,164,820000
978.25,165,-9109.857421875,38.9455,33.3541,926.26,165,825000
1023.32,166,-9443.1611328125,38.6127,30.3536,1021.93,166,830000
1031.21,167,-9411.341796875,37.522,35.2975,1031.02,167,835000
1023.39,168,-9349.2734375,37.1711,38.3156,1023.22,168,840000
976.95,169,-8826.7626953125,32.6268,39.8401,964.25,169,845000
984.54,170,-9552.716796875,37.8407,41.2383,984.75,170,850000
104.53,171,-8465.4443359375,33.1241,61.2812,107.05,171,855000
186.32,172,-8574.0263671875,32.6288,94.9181,186.97,172,860000
68.92,173,-8262.482421875,33.6836,50.3003,68.99,173,865000
953.87,174,-9464.1669921875,35.9434,46.5201,773.86,174,870000
706.86,175,-9438.7138671875,35.3349,26.6529,680.83,175,875000
1017.96,176,-9686.7197265625,36.589,39.3292,1018.49,176,880000
1013.65,177,-9869.2587890625,35.3357,37.2022,1013.7,177,885000
1012.61,178,-10169.4052734375,37.488,27.9765,1015.56,178,890000
1027.7,179,-10065.74609375,37.1319,29.6507,1027.46,179,895000
1021.19,180,-10228.58984375,38.0882,27.6372,1020.43,180,900000
1018.36,181,-10467.201171875,37.7275,26.4752,1018.71,181,905000
979.37,182,-10511.603515625,36.8492,31.8489,981.38,182,910000
977.3,183,-10580.20703125,38.0209,43.2642,976.2,183,915000
969.13,184,-10834.2568359375,38.4134,52.9703,968.89,184,920000
979.24,185,-10847.0732421875,38.3773,43.4174,974.96,185,925000
998.04,186,-11001.30859375,39.3812,39.4209,997.27,186,930000
1005.26,187,-11071.71484375,37.5114,43.9345,1005.29,187,935000
1013.22,188,-11113.7548828125,36.8777,29.1791,1014.0,188,940000
