Itration,Reward Loss,Running Reverse KL,Running Env Steps,Running Update Time,Real Sto Return,Running Forward KL,Real Det Return
0,2156.2197265625,11.8233,0,0,-195.62,158.5295,9.16
1,2023.1925048828125,11.9715,5000,1,3.09,158.4354,331.6
2,1920.59912109375,12.388,10000,2,177.57,158.372,478.55
3,1933.4058837890625,12.885,15000,3,326.34,158.1824,702.79
4,1815.220947265625,13.8472,20000,4,501.46,158.2114,1027.65
5,1726.5247802734375,14.6426,25000,5,614.42,158.1629,1071.32
6,1416.130859375,15.1478,30000,6,765.93,158.0083,1236.51
7,1137.4437255859375,15.5234,35000,7,892.13,158.0122,1339.8
8,963.4642944335938,15.8657,40000,8,954.62,157.8707,1353.41
9,713.830322265625,16.1537,45000,9,1033.44,157.9684,1490.98
10,560.267822265625,16.3795,50000,10,1031.82,158.1223,1479.14
11,289.8495788574219,16.279,55000,11,1132.79,157.8526,1496.76
12,-8.49413013458252,16.097,60000,12,1132.9,157.9525,1561.82
13,-30.324832916259766,16.5386,65000,13,1205.73,157.8714,1659.82
14,-326.18701171875,16.7007,70000,14,1216.48,157.8596,1691.55
15,-475.5299072265625,16.4506,75000,15,1277.23,157.7584,1716.82
16,-682.1144409179688,16.3308,80000,16,1301.34,157.8138,1769.85
17,-859.6072998046875,16.4696,85000,17,1359.55,157.7552,1812.77
18,-1092.3681640625,16.1906,90000,18,1352.45,157.7352,1784.21
19,-1249.349365234375,16.4906,95000,19,1372.75,157.8734,1841.23
20,-1538.79296875,16.4871,100000,20,1444.51,157.852,1879.97
21,-1761.259521484375,16.4175,105000,21,1500.45,157.55,1865.53
22,-2042.9835205078125,16.2315,110000,22,1468.98,157.751,1862.35
23,-2290.924560546875,16.34,115000,23,1485.85,157.6461,1847.79
24,-2399.451904296875,16.3402,120000,24,1518.99,157.3405,1901.38
25,-2702.019775390625,16.3089,125000,25,1556.37,157.416,1917.54
26,-2865.9130859375,16.6169,130000,26,1571.71,157.5245,1933.35
27,-3027.894775390625,16.4698,135000,27,1595.54,157.335,1959.41
28,-3203.33154296875,16.5574,140000,28,1582.14,157.5285,1995.72
29,-3410.876220703125,16.5075,145000,29,1642.32,157.5422,2015.96
30,-3664.009033203125,16.6183,150000,30,1649.64,157.7127,1982.51
31,-3865.5556640625,16.6695,155000,31,1676.53,157.4427,2005.79
32,-4105.60888671875,16.6932,160000,32,1634.95,157.5267,1968.19
33,-4266.4375,16.4746,165000,33,1640.3,157.367,2013.62
34,-4487.2568359375,16.3357,170000,34,1651.51,157.3155,1998.08
35,-4648.78564453125,16.3306,175000,35,1651.24,157.3927,2012.24
36,-4969.1845703125,16.1734,180000,36,1651.34,157.448,1917.9
37,-5122.93701171875,16.8705,185000,37,1684.79,157.3871,2056.09
38,-5270.19091796875,16.3506,190000,38,1677.41,157.3894,2033.71
39,-5502.01318359375,16.557,195000,39,1691.41,157.3575,2028.01
40,-5799.814453125,16.6293,200000,40,1702.28,157.385,2006.2
41,-5856.068359375,16.5539,205000,41,1710.05,157.3444,2082.67
42,-6134.037109375,16.1615,210000,42,1687.15,157.0852,2049.78
43,-6392.20068359375,16.3204,215000,43,1675.53,157.4099,1989.02
44,-6533.79638671875,16.0417,220000,44,1678.73,157.1572,2047.76
45,-6757.91064453125,16.148,225000,45,1693.28,157.3899,2031.79
46,-6912.57177734375,16.7585,230000,46,1739.26,157.3153,2057.44
47,-7184.74609375,15.9439,235000,47,1685.0,157.0911,2031.51
48,-7430.3310546875,16.2186,240000,48,1748.41,157.2945,2080.53
49,-7576.681640625,16.0914,245000,49,1725.81,157.2844,2068.19
50,-7769.4638671875,16.3918,250000,50,1747.04,157.5484,2079.42
51,-8012.06494140625,15.8785,255000,51,1711.71,157.2729,2047.37
52,-8162.09619140625,16.3598,260000,52,1721.48,157.1996,2122.16
53,-8357.9599609375,16.1835,265000,53,1719.01,157.0874,2093.45
54,-8535.79296875,16.4656,270000,54,1755.39,157.1947,2136.27
55,-8824.8984375,16.1831,275000,55,1730.61,156.9776,2145.47
56,-9048.9130859375,16.3161,280000,56,1758.38,157.0567,2106.5
57,-9166.7568359375,16.1166,285000,57,1734.86,157.0698,2104.27
58,-9445.103515625,16.2718,290000,58,1749.19,157.2549,2107.29
59,-9685.828125,15.9477,295000,59,1713.99,157.2812,1990.63
60,-9901.3740234375,15.9564,300000,60,1730.09,156.948,2059.97
61,-10020.2861328125,15.8772,305000,61,1731.99,157.0783,2090.57
62,-10230.65625,15.8098,310000,62,1732.69,157.0354,2122.35
63,-10486.734375,15.7895,315000,63,1730.03,156.9239,2102.69
64,-10689.2509765625,15.6269,320000,64,1756.23,156.7919,2062.52
65,-10895.328125,16.2313,325000,65,1776.27,156.9739,2136.11
66,-11113.2568359375,16.0557,330000,66,1825.26,156.9058,2210.34
67,-11337.2919921875,15.7181,335000,67,1761.87,157.142,2090.08
68,-11515.0234375,16.0477,340000,68,1790.34,156.9664,2128.11
69,-11717.7919921875,15.6529,345000,69,1765.51,156.8003,2130.34
70,-12001.5341796875,15.4962,350000,70,1721.41,156.9724,2106.29
71,-12150.9716796875,16.0665,355000,71,1798.92,157.039,2135.74
72,-12369.0849609375,15.8258,360000,72,1771.66,156.8595,2135.34
73,-12626.5126953125,15.5783,365000,73,1754.63,156.9139,2117.33
74,-12827.6767578125,15.8368,370000,74,1790.24,157.0719,2121.69
75,-13076.97265625,16.0305,375000,75,1785.75,157.1133,2158.14
76,-13248.8037109375,15.9192,380000,76,1776.22,156.643,2123.63
77,-13510.29296875,15.5823,385000,77,1761.88,156.9243,2129.57
78,-13702.1396484375,15.4672,390000,78,1790.8,156.9841,2151.03
79,-13987.6748046875,15.3098,395000,79,1766.69,156.8122,2151.68
