Real Sto Return,Itration,Running Env Steps,Reward Loss,Real Det Return,Running Reverse KL,Running Forward KL,Running Update Time
294.26,0,0,386.6186218261719,289.49,16.599,30.7615,0
273.4,1,5000,268.7624206542969,281.36,22.0743,30.4345,1
301.99,2,10000,221.6908721923828,299.62,19.9677,29.2937,2
307.78,3,15000,260.30926513671875,310.31,17.923,30.0821,3
324.59,4,20000,151.0985870361328,331.16,18.1301,30.3751,4
324.27,5,25000,115.5115966796875,329.42,18.4078,30.6296,5
349.78,6,30000,57.86585235595703,345.43,18.2985,29.557,6
383.7,7,35000,26.77427864074707,403.64,16.969,26.5474,7
346.1,8,40000,62.78489685058594,349.19,16.971,28.2463,8
385.3,9,45000,145.99685668945312,388.58,24.8237,28.6313,9
426.45,10,50000,106.22098541259766,430.92,25.5709,27.4313,10
470.57,11,55000,74.8980484008789,502.87,27.2274,27.5595,11
446.59,12,60000,0.4020742177963257,441.42,26.5525,27.8417,12
600.41,13,65000,-193.69210815429688,570.28,16.1774,25.9033,13
858.0,14,70000,-17.152053833007812,867.71,29.3548,25.5115,14
938.12,15,75000,-29.14437484741211,911.65,35.5249,25.2542,15
1105.23,16,80000,-148.516845703125,1400.49,30.5394,24.6292,16
1418.66,17,85000,-144.0994415283203,2149.73,17.3755,24.6954,17
2511.02,18,90000,-154.68777465820312,2701.68,12.6156,24.4333,18
1528.94,19,95000,-172.6250762939453,1465.79,16.7086,25.0689,19
1312.47,20,100000,-145.224609375,1456.0,15.9937,23.9781,20
2809.15,21,105000,-130.3104705810547,2555.44,14.6707,23.0637,21
2185.54,22,110000,-212.76608276367188,3156.55,19.146,22.5601,22
1420.06,23,115000,-294.7098083496094,2830.14,37.0278,23.1435,23
1485.69,24,120000,-386.79876708984375,2694.77,17.4628,23.453,24
1213.69,25,125000,-511.7277526855469,1334.63,17.9446,23.7603,25
2270.94,26,130000,-306.46258544921875,3315.47,14.6705,22.5713,26
2591.68,27,135000,-326.5923156738281,3191.53,15.9009,22.5188,27
1726.82,28,140000,-494.44293212890625,2419.18,16.1356,23.1565,28
3272.05,29,145000,-147.09849548339844,3220.66,15.3385,22.614,29
2962.98,30,150000,-277.7398681640625,3256.03,13.913,22.4656,30
2269.55,31,155000,-452.9523620605469,3388.28,14.6546,23.4759,31
2979.48,32,160000,-237.27272033691406,3358.9,13.9926,22.175,32
3218.16,33,165000,-151.07969665527344,3340.18,14.7631,22.2751,33
3184.79,34,170000,-193.61859130859375,3368.49,14.4261,21.7575,34
3330.97,35,175000,-140.70489501953125,3385.62,15.5551,22.1065,35
3319.97,36,180000,-141.50146484375,3326.63,16.2093,22.4998,36
3298.58,37,185000,-176.68753051757812,3325.53,15.7032,22.4653,37
3378.98,38,190000,-172.48191833496094,3411.48,14.9261,22.1391,38
3322.17,39,195000,-152.61825561523438,3297.36,15.9739,22.6498,39
3254.31,40,200000,-120.48763275146484,3393.23,15.3231,21.9811,40
3352.47,41,205000,-182.58616638183594,3372.49,15.7537,22.6662,41
3008.3,42,210000,-136.77879333496094,3404.88,14.7476,21.9052,42
3325.42,43,215000,-207.09133911132812,3298.56,15.7557,22.5845,43
3328.85,44,220000,-176.75558471679688,3322.62,15.3468,22.6607,44
3324.99,45,225000,-181.8968505859375,3389.32,14.6948,22.2412,45
3334.33,46,230000,-250.48321533203125,3430.44,14.1493,22.2393,46
3333.77,47,235000,-180.61444091796875,3400.45,14.4884,22.3509,47
3373.94,48,240000,-159.58090209960938,3419.46,14.8275,22.2404,48
