Reward Loss,Running Forward KL,Itration,Real Sto Return,Running Update Time,Real Det Return,Running Env Steps,Running Reverse KL
424.7998962402344,32.5436,0,212.05,0,208.73,0,16.3178
611.9077758789062,30.5066,1,276.61,1,529.38,5000,19.1031
475.0030212402344,30.7042,2,288.12,2,282.12,10000,17.2146
761.3464965820312,31.2978,3,297.06,3,298.9,15000,43.1833
734.0484619140625,31.1861,4,323.47,4,336.98,20000,45.7933
414.1797180175781,30.7693,5,311.51,5,316.31,25000,50.1556
472.0934143066406,30.4647,6,292.13,6,320.66,30000,28.0158
380.04376220703125,29.2868,7,322.7,7,328.83,35000,47.0796
357.1439514160156,27.9394,8,478.7,8,482.77,40000,17.6181
254.74586486816406,28.0057,9,441.36,9,440.37,45000,25.7253
215.9300994873047,27.1617,10,514.76,10,506.84,50000,23.9256
130.18777465820312,26.4925,11,568.54,11,568.83,55000,32.6303
106.99860382080078,27.0855,12,764.54,12,765.17,60000,45.8928
-8.386390686035156,25.6224,13,1034.04,13,1242.67,65000,56.9702
12.161705017089844,25.4868,14,299.99,14,299.52,70000,53.3586
-135.1206512451172,24.5944,15,1326.21,15,880.26,75000,25.48
-165.887939453125,26.3841,16,944.92,16,921.83,80000,49.1388
-155.9984588623047,27.1432,17,864.71,17,893.88,85000,32.2932
-343.4061584472656,27.1972,18,857.05,18,864.41,90000,18.0219
-395.4023742675781,26.8169,19,939.33,19,933.9,95000,19.5655
-406.564208984375,26.7874,20,881.63,20,896.22,100000,21.55
-351.3009948730469,26.4846,21,1016.28,21,1598.57,105000,26.2629
-466.90814208984375,27.3245,22,896.45,22,893.8,110000,27.4886
-479.0216979980469,26.6281,23,992.69,23,1048.52,115000,18.6447
-337.6281433105469,25.4738,24,1228.69,24,1508.81,120000,17.2729
-537.40380859375,25.7155,25,1221.39,25,1216.89,125000,19.2352
-547.12841796875,26.741,26,984.35,26,1016.14,130000,15.0638
-508.9222106933594,27.1357,27,870.65,27,916.31,135000,17.2322
-618.117431640625,27.3282,28,798.81,28,803.66,140000,18.284
-735.4432983398438,26.7728,29,1000.95,29,1159.86,145000,18.8812
-717.1629028320312,26.2892,30,1202.55,30,1249.51,150000,18.6472
-794.852783203125,26.4097,31,1060.61,31,1267.13,155000,19.6528
-856.2973022460938,26.3295,32,1081.86,32,1117.73,160000,19.3099
-485.7681884765625,25.3803,33,2010.72,33,3165.78,165000,18.3468
-1036.645751953125,26.7123,34,1035.33,34,1096.31,170000,27.5887
-998.2384033203125,26.2157,35,1095.47,35,1147.75,175000,25.5157
-896.0315551757812,26.1077,36,1198.81,36,1547.84,180000,27.8794
-1017.5255737304688,26.7294,37,1047.38,37,992.25,185000,20.7029
-938.8539428710938,25.206,38,1357.85,38,1817.18,190000,18.6104
-1098.162109375,26.4055,39,1205.53,39,1259.45,195000,24.4584
-1170.190673828125,26.3525,40,969.52,40,957.1,200000,29.3942
-1060.74951171875,25.1726,41,1375.27,41,1743.25,205000,21.1441
-412.7089538574219,24.4385,42,2839.0,42,3217.71,210000,17.4501
-1003.2407836914062,23.9826,43,1941.02,43,2635.85,215000,26.2308
-1344.6336669921875,25.4348,44,1267.29,44,1654.55,220000,28.8935
-169.35043334960938,24.8921,45,2577.57,45,3225.3,225000,16.7993
-639.1566772460938,23.0357,46,2372.17,46,3308.13,230000,18.2248
-664.5582885742188,24.135,47,2600.35,47,3265.73,235000,17.799
-870.049072265625,24.6534,48,2896.87,48,3286.16,240000,17.6011
-217.06918334960938,24.4871,49,3347.21,49,3307.69,245000,16.2666
-138.81393432617188,24.2973,50,3323.87,50,3326.76,250000,16.0331
-129.1680450439453,22.3814,51,3218.95,51,3255.19,255000,15.1919
-134.64088439941406,22.9874,52,3377.93,52,3380.76,260000,16.2324
-156.89707946777344,22.7355,53,3204.26,53,3287.13,265000,15.0258
-145.1129150390625,21.8838,54,3243.94,54,3246.43,270000,14.3032
-375.3217468261719,22.8217,55,3073.24,55,3383.4,275000,15.9569
-114.35250854492188,20.8371,56,3299.46,56,3283.0,280000,14.2467
