Itration,Running Reverse KL,Running Env Steps,Running Update Time,Real Sto Return,Reward Loss,Running Forward KL,Real Det Return
0,257.6683,0,0,201.11,-759.6975708007812,479.2885,191.18
1,294.7291,5000,1,272.88,-614.6329345703125,453.7852,266.72
2,301.5347,10000,2,326.95,125.39994812011719,431.8397,390.78
3,256.0135,15000,3,379.74,-694.397216796875,435.287,517.97
4,261.3151,20000,4,352.42,-663.1204833984375,420.1588,413.98
5,290.5121,25000,5,393.6,-595.962890625,431.9787,630.53
6,263.6113,30000,6,503.36,-1220.7039794921875,438.7965,600.5
7,288.0057,35000,7,451.83,-1337.1727294921875,429.005,541.4
8,262.6654,40000,8,445.79,-2252.7099609375,431.489,495.07
9,264.87,45000,9,478.56,-2421.87060546875,434.4772,370.62
10,290.1913,50000,10,404.01,-3203.78369140625,442.4958,371.29
11,261.3659,55000,11,512.14,-2953.25634765625,420.4311,404.39
12,284.6354,60000,12,535.66,-2377.3193359375,405.0383,445.66
13,260.0217,65000,13,508.86,-2789.01416015625,410.387,445.11
14,303.0586,70000,14,474.89,-2605.8095703125,413.2149,400.71
15,276.3725,75000,15,534.37,-2792.82763671875,403.4095,591.8
16,279.5214,80000,16,638.28,-2731.047119140625,401.667,530.08
17,275.1084,85000,17,647.33,-2884.304443359375,403.8545,533.46
18,270.5104,90000,18,578.67,-3106.328125,405.3527,646.78
19,273.8592,95000,19,624.71,-3395.970458984375,409.148,670.95
20,264.2639,100000,20,588.1,-3512.67919921875,397.7753,556.99
21,285.4676,105000,21,553.12,-3491.81787109375,403.2949,639.36
22,263.4382,110000,22,669.53,-4733.22900390625,391.3589,566.97
23,258.4432,115000,23,609.15,-5146.91748046875,403.523,544.89
24,267.6825,120000,24,615.0,-5308.22802734375,396.6254,513.75
25,257.2211,125000,25,615.4,-5496.5107421875,400.6147,664.53
26,246.8534,130000,26,788.04,-5553.8740234375,394.7821,791.88
27,254.66,135000,27,704.03,-6020.99609375,399.5837,766.05
28,219.9339,140000,28,918.01,-5547.45556640625,381.8243,648.11
29,227.8084,145000,29,811.16,-5918.767578125,389.4423,768.81
30,227.2391,150000,30,971.21,-5950.14013671875,386.0459,693.36
31,231.6234,155000,31,1404.19,-6401.1943359375,373.575,752.21
32,237.9243,160000,32,909.54,-6859.7353515625,383.5375,882.93
33,249.2786,165000,33,1286.86,-6789.4609375,388.5683,670.13
34,226.2276,170000,34,1225.28,-6505.04833984375,378.0358,916.55
