Reward Loss,Itration,Running Reverse KL,Real Det Return,Running Forward KL,Real Sto Return,Running Env Steps,Running Update Time
179.3922882080078,0,13.266,359.9,49.4155,304.96,0,0
138.32907104492188,1,12.8493,393.12,49.0259,419.81,5000,1
148.65065002441406,2,16.0756,316.5,49.8176,348.95,10000,2
158.71031188964844,3,18.5612,337.75,49.7149,352.11,15000,3
155.88084411621094,4,20.0067,290.07,49.5097,332.42,20000,4
138.82705688476562,5,14.517,351.44,49.1924,389.26,25000,5
81.48323059082031,6,26.0399,367.81,49.2079,380.78,30000,6
35.88068389892578,7,15.1282,354.22,49.1178,370.62,35000,7
56.72304153442383,8,17.459,376.22,49.0771,382.79,40000,8
47.94305419921875,9,15.9033,474.15,48.8066,435.86,45000,9
34.51675033569336,10,24.5527,495.64,48.8434,454.23,50000,10
26.798755645751953,11,27.7144,578.14,48.753,577.0,55000,11
13.453424453735352,12,27.8875,593.61,48.6512,576.6,60000,12
-45.24298095703125,13,20.8158,860.62,46.9653,760.47,65000,13
-20.83829116821289,14,26.5209,823.04,47.5241,735.84,70000,14
-48.051536560058594,15,15.2952,878.76,46.9542,817.68,75000,15
-25.07986068725586,16,42.2551,969.13,47.3111,892.07,80000,16
-55.51934051513672,17,25.235,926.85,47.5896,930.25,85000,17
-91.25373077392578,18,13.3404,1247.81,46.9867,1091.27,90000,18
-87.99950408935547,19,13.4557,1135.33,46.8946,1063.74,95000,19
-107.54833221435547,20,12.7597,776.31,47.2877,831.27,100000,20
-111.03775024414062,21,13.2574,1574.93,47.2818,1360.38,105000,21
-100.3505859375,22,13.7104,2095.58,47.3118,1486.68,110000,22
-129.78712463378906,23,13.6041,1351.21,46.9444,1135.22,115000,23
-117.5870132446289,24,12.4771,1132.88,46.5736,1187.83,120000,24
-142.01055908203125,25,15.5211,1210.47,46.8037,1274.42,125000,25
-172.65908813476562,26,15.8538,1423.89,46.62,1333.31,130000,26
-170.06781005859375,27,14.1086,862.3,46.9978,973.55,135000,27
-162.04920959472656,28,16.8868,1697.23,46.6424,1362.79,140000,28
-159.7528533935547,29,13.2922,1260.38,46.8875,1189.7,145000,29
-171.66439819335938,30,12.5847,1396.14,46.4419,1177.92,150000,30
-190.1091766357422,31,13.9461,1458.75,46.3977,1410.44,155000,31
-203.16685485839844,32,13.6184,1914.72,46.4168,1422.63,160000,32
-216.6693115234375,33,13.1122,1548.94,46.3448,1254.47,165000,33
-238.21347045898438,34,12.8036,1616.06,46.3271,1249.17,170000,34
-226.2595977783203,35,13.4168,1640.66,46.2022,1364.24,175000,35
-239.37225341796875,36,13.1199,1542.6,46.346,1179.5,180000,36
-244.32150268554688,37,14.047,1666.84,45.8509,1605.97,185000,37
-256.2452087402344,38,13.2353,1542.51,46.1231,1205.36,190000,38
-274.9127197265625,39,13.1042,1844.13,46.5734,1163.99,195000,39
-290.645263671875,40,14.4455,1698.1,45.552,1466.91,200000,40
-287.57208251953125,41,14.0271,1607.45,45.7563,1273.65,205000,41
-274.9288330078125,42,15.1748,2886.28,45.8445,2093.44,210000,42
-309.344970703125,43,14.3793,1483.19,46.1526,1325.1,215000,43
-321.7239074707031,44,14.0294,1406.69,46.4866,1234.89,220000,44
-342.41400146484375,45,15.4322,1585.3,46.6564,1311.48,225000,45
-337.5583190917969,46,15.5879,1629.24,47.1595,1331.14,230000,46
-345.01904296875,47,15.7684,2421.85,45.9382,1510.45,235000,47
-372.0303649902344,48,13.7674,1384.83,46.4251,1451.21,240000,48
-373.9923095703125,49,14.3405,2884.5,45.7615,1658.56,245000,49
-371.8377380371094,50,14.2785,1530.65,46.1103,1452.63,250000,50
-397.179443359375,51,13.9123,1604.72,46.4993,1434.22,255000,51
-385.87957763671875,52,17.2327,2050.06,46.4062,1633.94,260000,52
-424.28369140625,53,14.3777,1962.26,46.4323,1452.35,265000,53
-461.4579772949219,54,14.9376,2175.91,46.3913,1458.44,270000,54
-429.7474060058594,55,14.0657,1933.14,45.9121,1475.35,275000,55
-458.8866882324219,56,14.9053,2003.55,46.4271,1584.67,280000,56
-448.10516357421875,57,14.7418,2389.74,46.362,1572.07,285000,57
-451.42864990234375,58,16.0481,1883.37,46.1521,1437.13,290000,58
-485.4185485839844,59,14.4636,1700.16,46.5641,1465.93,295000,59
-506.3058166503906,60,13.9136,1868.91,46.7815,1408.29,300000,60
-500.87469482421875,61,15.2987,1824.43,46.4011,1493.96,305000,61
-508.1446838378906,62,15.2126,2537.55,46.3236,1750.46,310000,62
-517.311279296875,63,14.7085,2225.17,46.4777,1709.43,315000,63
-527.2815551757812,64,16.6123,1701.36,46.2814,1639.73,320000,64
-536.0279541015625,65,15.9546,2515.72,45.9482,1763.49,325000,65
-527.53271484375,66,16.0479,2216.45,46.3718,1740.55,330000,66
-544.0429077148438,67,15.3097,1602.67,46.7008,1462.51,335000,67
-520.4450073242188,68,15.1432,2971.23,45.563,2170.11,340000,68
-534.3521728515625,69,15.0768,3417.32,45.4975,1986.2,345000,69
-582.0180053710938,70,14.2828,3003.04,46.1165,1878.53,350000,70
-560.7160034179688,71,16.194,2225.94,45.8985,1575.64,355000,71
