Running Reverse KL,Real Sto Return,Itration,Real Det Return,Running Forward KL
27.2576,-89.87,0,300.99,76.247
26.4245,-58.81,1,528.58,74.3214
26.4628,-72.35,2,460.91,73.7968
27.6451,-2.18,3,584.55,74.3524
28.6163,16.98,4,504.36,73.3431
28.4532,52.96,5,672.47,74.2432
28.9405,24.22,6,610.61,73.867
28.9491,61.33,7,609.63,71.7259
28.7179,120.06,8,733.83,72.8362
29.7604,95.22,9,605.72,71.5878
30.8962,101.21,10,752.91,72.0877
30.0493,160.61,11,797.09,70.9837
31.1269,121.54,12,799.13,72.179
30.5974,126.73,13,521.51,70.8612
30.2789,193.92,14,763.92,72.2316
29.5598,125.29,15,818.35,70.2146
30.0562,147.81,16,541.87,69.7478
30.2186,169.82,17,735.05,71.6271
32.2393,217.49,18,741.67,70.4672
30.9967,135.73,19,724.79,71.6219
30.724,215.15,20,896.18,70.9115
29.7233,205.06,21,827.64,70.0114
29.7404,178.18,22,963.69,71.1664
30.4216,174.21,23,830.28,71.3769
29.759,150.54,24,622.68,70.2043
29.569,222.9,25,903.06,69.5111
29.9806,213.08,26,970.55,68.9487
30.4601,230.51,27,802.58,70.3309
30.6324,189.32,28,891.29,71.1694
30.1685,210.24,29,948.01,68.839
30.3842,221.13,30,1077.69,70.1908
30.1183,241.85,31,892.52,69.99
29.6093,197.92,32,823.26,69.1147
29.7292,223.22,33,835.35,69.662
30.3526,228.41,34,751.14,70.2031
30.8655,254.77,35,1019.09,70.368
30.6609,298.38,36,842.37,70.5551
30.6882,199.12,37,726.15,71.1536
30.6206,220.19,38,903.19,71.4258
29.982,214.3,39,899.69,69.1182
29.4851,299.99,40,821.17,68.8568
31.1325,244.39,41,808.42,72.9597
29.4337,338.33,42,942.73,67.2438
29.1918,500.68,43,1122.35,66.6326
29.0117,281.59,44,1200.28,66.7522
29.076,456.83,45,1326.56,67.9535
28.7802,530.75,46,1657.31,67.2902
27.9615,505.82,47,1537.55,65.7219
28.0229,416.61,48,949.63,66.4555
28.1123,455.89,49,1549.72,65.4091
28.6011,449.95,50,1074.79,65.93
27.1083,419.89,51,1442.33,64.2256
28.3492,599.73,52,1344.12,66.3999
27.5063,404.55,53,1181.42,65.148
27.5828,685.94,54,1447.97,63.9633
28.5998,718.75,55,1516.61,66.4676
29.0078,701.93,56,1656.51,66.3189
31.0772,1236.05,57,2040.86,64.2051
28.0944,385.65,58,905.8,66.1835
28.3332,725.34,59,2081.7,63.134
27.1816,1120.17,60,2066.62,64.1368
28.0581,698.76,61,1677.11,64.3898
30.5662,1407.39,62,2085.32,64.6588
28.8763,702.37,63,1638.19,66.4792
30.9592,1238.03,64,2585.23,65.9164
