Real Det Return,Itration,Real Sto Return,Running Reverse KL,Running Update Time,Running Env Steps,Reward Loss,Running Forward KL
1051.62,150,1051.29,21.0514,150,750000,-8861.12109375,32.858
1038.15,151,1040.88,52.7531,151,755000,-9700.9912109375,34.1004
1026.17,152,1032.18,58.0423,152,760000,-9978.5087890625,32.6585
989.76,153,989.93,159.6572,153,765000,-10739.4755859375,40.1032
1072.5,154,1070.18,85.0254,154,770000,-10364.8984375,34.4434
90.74,155,98.63,54.5521,155,775000,-9284.88671875,31.8393
66.97,156,66.93,207.042,156,780000,-11539.576171875,32.4154
500.51,157,499.15,94.5054,157,785000,-10530.537109375,33.168
999.2,158,999.22,145.0117,158,790000,-11185.5,40.3996
1113.35,159,1112.92,24.1315,159,795000,-8764.2138671875,33.9227
482.83,160,477.32,56.4786,160,800000,-9479.029296875,32.0749
1018.77,161,1017.66,22.2613,161,805000,-9888.673828125,32.7329
1120.13,162,1120.02,24.1786,162,810000,-8334.6572265625,33.137
1068.39,163,1064.65,20.9409,163,815000,-9089.5107421875,33.2182
957.75,164,955.86,31.0996,164,820000,-9925.5556640625,33.3092
1019.03,165,1020.3,28.6463,165,825000,-9755.486328125,34.2292
996.17,166,994.29,26.1814,166,830000,-9761.6865234375,33.2944
1084.71,167,1082.03,29.3064,167,835000,-11073.060546875,34.895
1093.91,168,1093.05,37.7759,168,840000,-11342.1689453125,35.9823
1070.31,169,1069.41,32.7417,169,845000,-11408.1220703125,36.7343
599.11,170,595.99,58.5611,170,850000,-11144.8583984375,34.3629
906.77,171,942.47,49.0177,171,855000,-11138.0751953125,33.753
651.01,172,650.95,62.8838,172,860000,-10023.513671875,32.9269
1061.99,173,1061.78,84.193,173,865000,-11792.68359375,33.6033
690.5,174,677.75,46.1194,174,870000,-10159.6787109375,32.8957
581.89,175,583.68,104.7834,175,875000,-11040.9306640625,33.772
86.66,176,78.61,92.3226,176,880000,-9736.8525390625,31.7519
724.48,177,720.93,52.5576,177,885000,-9374.6591796875,31.9603
1090.49,178,1094.13,23.7419,178,890000,-10257.4365234375,33.6101
894.8,179,758.46,26.3755,179,895000,-9908.5263671875,33.9794
769.02,180,819.15,29.1197,180,900000,-10940.8203125,33.6134
1010.55,181,1085.95,44.315,181,905000,-11983.708984375,34.7509
1026.38,182,1025.79,28.7011,182,910000,-11751.8759765625,34.9376
989.1,183,988.97,44.9048,183,915000,-12925.2412109375,39.9718
1051.15,184,1050.56,25.2648,184,920000,-9915.3623046875,33.327
422.54,185,423.01,50.3274,185,925000,-11607.3369140625,33.1866
1101.1,186,1102.75,27.554,186,930000,-12203.0859375,34.2939
1016.83,187,1016.3,25.3397,187,935000,-11313.9208984375,33.3714
990.03,188,990.11,34.3039,188,940000,-10571.2919921875,33.5991
992.19,189,991.99,37.9139,189,945000,-13357.806640625,38.4385
1060.03,190,1064.53,24.5844,190,950000,-11249.296875,33.1817
1220.29,191,1225.56,24.2689,191,955000,-10483.5,32.9005
364.07,192,363.69,156.3526,192,960000,-14249.75390625,33.447
1240.77,193,1241.66,35.3395,193,965000,-12489.3994140625,35.6269
614.68,194,869.42,98.8218,194,970000,-12674.6767578125,32.4861
574.0,195,545.09,126.8038,195,975000,-12976.7900390625,31.775
1400.54,196,1397.6,23.4602,196,980000,-9751.208984375,32.7352
515.58,197,503.72,94.8957,197,985000,-12419.3505859375,32.0678
1012.6,198,1013.89,70.9156,198,990000,-14452.728515625,37.7636
1041.05,199,1054.71,28.6561,199,995000,-11910.1328125,31.8673
