Real Sto Return,Itration,Real Det Return,Running Reverse KL,Running Forward KL
348.72,0,328.56,247.979,457.4035
373.5,1,314.31,261.4606,421.3933
414.9,2,417.27,269.4999,413.3486
326.68,3,357.34,318.541,440.6536
354.85,4,286.37,277.524,437.4567
380.46,5,316.58,253.1682,427.0481
386.06,6,383.02,275.5814,420.1386
523.25,7,535.73,296.6537,410.3573
452.26,8,479.03,315.4511,417.8485
476.92,9,392.76,268.9162,403.3
539.62,10,476.5,334.3485,406.2155
492.59,11,434.72,274.8757,398.0823
569.85,12,520.64,285.2956,386.1457
486.47,13,577.95,244.5969,406.1881
532.85,14,529.28,284.0929,401.0486
569.41,15,426.83,290.9809,399.6463
591.6,16,594.38,244.8519,380.9614
658.97,17,590.99,262.1364,392.2113
604.2,18,588.16,284.3626,394.0202
533.25,19,594.5,284.1477,393.7355
584.71,20,647.29,261.7705,403.0342
561.4,21,638.04,251.6324,386.7669
594.6,22,563.87,251.675,400.4529
682.86,23,618.64,261.8484,403.728
655.8,24,644.67,251.2786,392.2328
646.01,25,657.55,244.2897,389.2329
744.84,26,593.81,254.5742,393.6297
615.78,27,447.6,252.1805,393.0362
767.98,28,780.96,240.5237,390.0084
652.5,29,744.61,250.2604,388.2703
749.67,30,688.68,255.9955,389.6264
777.76,31,851.83,233.8686,367.5531
828.06,32,967.2,249.0637,393.1476
701.75,33,728.95,257.1529,387.9017
678.73,34,323.61,244.3366,398.562
685.42,35,367.85,245.2382,383.1091
738.42,36,651.83,256.6473,379.4624
770.74,37,700.89,246.0979,373.2223
763.45,38,834.96,254.8845,377.78
919.57,39,863.41,272.7652,376.6317
836.98,40,727.52,255.462,375.4448
896.01,41,913.79,247.1986,366.0363
989.93,42,1016.54,261.6672,366.347
793.95,43,844.45,265.4885,365.7504
943.8,44,743.4,265.4927,367.7574
846.08,45,840.89,249.3433,360.719
1096.28,46,774.13,238.3044,369.2458
825.27,47,791.26,242.5205,366.2402
1049.99,48,810.55,237.4931,360.1352
1046.17,49,822.34,243.6345,365.7592
1076.98,50,852.97,250.7442,366.9763
1036.74,51,953.77,268.0859,370.2575
999.81,52,869.31,244.3289,361.2828
909.72,53,672.7,245.7413,377.1738
1127.76,54,971.23,261.1197,360.7792
1195.6,55,1119.37,243.8693,356.1121
1205.46,56,831.1,228.3309,358.4924
1180.48,57,895.9,234.6085,351.5684
1064.37,58,1002.76,250.5282,346.4784
1343.28,59,1191.14,233.5538,342.5611
1226.99,60,1192.2,239.4873,344.4941
1471.03,61,1128.42,217.2932,332.8732
1620.52,62,1221.9,219.6157,342.5131
882.07,63,949.32,263.172,332.7079
902.32,64,852.0,248.361,338.7621
1305.53,65,1155.84,244.0488,328.522
1799.29,66,1251.59,205.5916,341.4744
1714.07,67,1298.39,231.8363,346.9886
1764.47,68,1140.09,199.2645,328.341
1742.47,69,1581.97,227.0159,335.6874
1826.49,70,1526.48,207.9767,345.2217
1872.61,71,1035.31,234.0062,326.867
1686.01,72,1217.12,215.7899,322.0625
1986.14,73,1463.92,183.6759,334.0909
2794.93,74,1190.47,236.1345,336.3422
1833.16,75,1207.46,272.5383,336.9762
2170.42,76,1308.61,208.8848,332.4631
2965.03,77,1829.27,165.3079,319.187
2787.75,78,1746.36,191.0754,325.3764
3223.78,79,2678.5,129.7411,314.3118
3980.39,80,1966.9,195.7147,337.0761
2991.08,81,801.14,140.6728,317.0948
3606.82,82,1087.6,160.8232,313.2281
3772.44,83,2554.4,124.112,307.421
3114.74,84,1595.73,157.0958,335.1191
3218.03,85,2479.62,144.8252,331.5437
3484.78,86,1520.06,125.0023,311.6451
3587.58,87,1902.82,135.827,320.2289
3398.52,88,1452.0,146.9673,312.5652
3900.29,89,2622.02,145.3937,320.4193
2684.78,90,1503.16,199.7416,323.8317
3607.24,91,1538.8,190.0413,328.061
2753.04,92,1594.74,160.9624,316.7482
3275.55,93,1402.54,167.1028,319.5325
2998.02,94,2445.2,171.457,318.3514
2076.19,95,1493.15,212.6959,344.8969
3033.0,96,1418.09,172.2092,324.8128
3544.71,97,1567.5,116.5014,318.7045
2907.37,98,1226.33,164.9714,314.0713
3834.07,99,2375.0,133.6625,311.0989
2363.01,100,654.38,215.8795,321.4231
3536.5,101,1580.15,183.9311,315.408
4378.86,102,2938.05,134.3595,318.2442
3654.74,103,3710.54,131.9581,327.717
4225.83,104,3277.33,138.0844,316.9438
4286.98,105,2107.0,133.3663,317.4479
3971.34,106,4399.31,125.1997,311.5799
4183.45,107,2002.2,120.3033,319.2031
4257.97,108,4064.39,140.4606,325.1094
