Running Reverse KL,Itration,Real Sto Return,Running Env Steps,Running Forward KL,Reward Loss,Running Update Time,Real Det Return
260.2972,0,263.03,0,444.6471,4485.9384765625,0,362.67
271.6498,1,318.5,5000,452.9764,3785.617919921875,1,350.1
268.4056,2,408.28,10000,414.0208,3609.84423828125,2,448.64
260.0171,3,399.18,15000,428.6265,3306.626220703125,3,354.11
263.4197,4,384.77,20000,423.8001,2587.151611328125,4,403.27
305.0104,5,419.85,25000,405.8271,3406.67138671875,5,389.65
301.5643,6,394.83,30000,426.9881,3088.11181640625,6,397.82
247.4767,7,435.76,35000,413.1231,1835.1185302734375,7,448.12
244.7744,8,472.15,40000,396.6888,2070.768798828125,8,544.37
250.3749,9,460.45,45000,390.8253,2064.60009765625,9,534.72
250.3809,10,490.09,50000,409.4896,1992.358154296875,10,551.25
256.9129,11,507.92,55000,397.363,1330.4962158203125,11,525.86
241.5829,12,453.04,60000,379.1031,834.34619140625,12,602.59
234.5221,13,541.72,65000,384.27,654.897705078125,13,353.91
262.2759,14,471.34,70000,376.5307,438.71466064453125,14,400.88
253.5575,15,474.61,75000,381.1759,505.7083435058594,15,382.49
243.8037,16,544.64,80000,369.9162,-19.559680938720703,16,439.52
238.0031,17,606.74,85000,370.7031,-212.70460510253906,17,554.67
237.8475,18,578.38,90000,357.8703,-421.3345031738281,18,556.59
233.2414,19,606.66,95000,373.1069,-863.1640014648438,19,496.57
228.6096,20,648.62,100000,368.9991,-750.1218872070312,20,598.53
239.4384,21,647.47,105000,358.4606,-1325.6561279296875,21,513.02
257.1061,22,772.17,110000,369.7402,-1517.02001953125,22,564.5
238.0542,23,681.44,115000,364.073,-1896.2489013671875,23,472.59
260.8563,24,855.46,120000,365.407,-1725.0496826171875,24,551.05
244.0451,25,720.35,125000,358.7251,-2003.063720703125,25,765.49
257.2834,26,828.57,130000,351.7042,-2427.307373046875,26,533.68
272.8497,27,908.47,135000,359.9622,-2555.924560546875,27,684.71
267.8762,28,1078.88,140000,349.6898,-2809.0634765625,28,507.59
295.4643,29,1143.4,145000,353.0481,-3045.2607421875,29,493.67
284.2414,30,1341.31,150000,336.3952,-2934.476806640625,30,792.1
370.9867,31,1100.57,155000,342.242,-3608.6162109375,31,944.22
248.6918,32,1502.48,160000,337.6095,-3133.4716796875,32,2898.37
281.3601,33,1912.93,165000,334.5442,-3405.826171875,33,1588.72
224.5702,34,1371.82,170000,340.936,-3457.957763671875,34,3118.62
245.7907,35,2123.29,175000,340.3839,-3838.558349609375,35,3397.18
139.5871,36,2704.3,180000,314.4872,-2562.891357421875,36,4558.61
179.4533,37,2863.24,185000,306.7692,-3004.2392578125,37,2348.29
163.4397,38,2441.96,190000,305.6128,-3252.651611328125,38,4260.28
181.8518,39,1892.96,195000,318.1817,-3695.583251953125,39,2682.4
183.2234,40,3311.29,200000,309.4624,-3735.967529296875,40,2719.88
199.7335,41,1762.34,205000,317.7512,-3894.26220703125,41,2057.77
183.6262,42,2930.42,210000,302.2295,-4261.92822265625,42,2666.29
153.9517,43,2446.13,215000,294.0854,-3612.289794921875,43,3280.6
189.6976,44,2651.33,220000,317.6014,-4442.7490234375,44,2687.98
145.7618,45,4195.9,225000,298.4518,-3588.77880859375,45,4809.5
218.9761,46,3139.31,230000,321.3019,-5336.17626953125,46,2496.26
178.3873,47,3574.54,235000,315.1917,-4426.671875,47,1148.45
146.1469,48,3958.93,240000,306.1588,-3769.77734375,48,3804.78
150.0054,49,3855.87,245000,304.9075,-3881.295166015625,49,3232.28
130.9353,50,3441.88,250000,290.745,-3368.398681640625,50,1507.51
208.3794,51,3188.83,255000,311.3328,-5783.96875,51,777.82
160.4481,52,3771.49,260000,308.6219,-4868.2724609375,52,1730.73
138.3736,53,4287.06,265000,299.1159,-3800.77294921875,53,2052.16
159.9388,54,4410.28,270000,313.546,-4923.5869140625,54,2871.48
141.5121,55,3975.64,275000,316.2963,-4892.86083984375,55,945.28
155.5192,56,4024.81,280000,315.9231,-4758.14111328125,56,3248.42
155.9021,57,3827.68,285000,317.5994,-5011.61962890625,57,1052.11
143.7387,58,4599.79,290000,312.685,-4643.89892578125,58,2867.39
203.023,59,2428.44,295000,345.995,-7025.564453125,59,808.14
132.9216,60,4767.36,300000,303.5231,-3824.072998046875,60,978.61
181.4962,61,3590.83,305000,322.3356,-6600.45703125,61,1009.31
180.524,62,2920.99,310000,331.5361,-6902.3603515625,62,768.61
138.1445,63,4165.28,315000,307.6727,-4937.22265625,63,855.18
141.7911,64,4583.01,320000,305.9302,-5903.78125,64,793.34
157.2688,65,3614.24,325000,317.7965,-6121.05078125,65,434.67
120.7563,66,4424.3,330000,299.2561,-4856.005859375,66,465.96
143.9195,67,4166.7,335000,302.7255,-5968.44091796875,67,426.44
187.8265,68,3280.89,340000,331.3146,-7989.57080078125,68,422.62
117.5583,69,5253.98,345000,303.9162,-4835.365234375,69,445.08
126.9732,70,4847.15,350000,311.4619,-5258.36181640625,70,471.91
