Real Det Return,Itration,Running Reverse KL,Real Sto Return,Running Env Steps,Running Forward KL,Reward Loss,Running Update Time
213.13,0,18.5247,213.41,0,32.4137,235.9451904296875,0
232.48,1,18.3558,238.0,5000,30.1233,201.90194702148438,1
316.52,2,15.9187,306.99,10000,29.056,-3.9424686431884766,2
208.05,3,27.0566,233.34,15000,28.3847,523.4588012695312,3
406.76,4,15.5206,439.07,20000,26.256,67.58158111572266,4
345.67,5,18.8062,366.14,25000,29.6224,272.7525939941406,5
403.77,6,19.3187,390.68,30000,27.8414,191.5272216796875,6
431.3,7,22.3267,471.33,35000,26.2233,108.9728012084961,7
747.48,8,17.5773,538.53,40000,26.757,-89.65247344970703,8
663.83,9,29.2151,723.48,45000,26.0006,-0.9678066372871399,9
1014.68,10,42.1091,839.24,50000,25.7905,-45.736785888671875,10
2016.32,11,31.6249,1273.91,55000,25.6763,-134.9855194091797,11
1296.63,12,35.6285,1024.53,60000,25.3625,-101.37451934814453,12
2613.77,13,26.6127,1580.91,65000,25.0341,-237.7626495361328,13
921.55,14,40.2467,1248.37,70000,24.3529,-170.81460571289062,14
1660.7,15,52.698,1227.1,75000,25.2009,-318.6784362792969,15
958.95,16,48.9396,1383.79,80000,24.9968,-236.6131134033203,16
2058.3,17,28.0514,1785.67,85000,24.582,-305.6821594238281,17
2256.48,18,22.4175,1518.56,90000,24.011,-257.31903076171875,18
2857.15,19,15.0894,2523.89,95000,22.9438,-190.46490478515625,19
2626.55,20,24.579,1920.44,100000,24.3677,-292.18475341796875,20
2740.99,21,18.4295,1889.69,105000,24.3257,-358.95794677734375,21
2364.99,22,28.5966,1415.21,110000,24.946,-414.5350036621094,22
1307.54,23,19.4135,1306.84,115000,24.7761,-390.42974853515625,23
2236.36,24,32.7355,1559.07,120000,24.1806,-436.6424865722656,24
987.29,25,27.4007,1292.29,125000,25.0164,-543.6629638671875,25
3209.06,26,22.0915,2068.59,130000,23.5434,-377.1661071777344,26
2320.64,27,37.7092,1805.13,135000,24.6972,-485.4297180175781,27
3237.49,28,18.6098,2576.44,140000,24.1265,-374.2947082519531,28
3239.75,29,48.3562,2371.12,145000,23.8622,-484.818603515625,29
2956.86,30,30.5393,2159.86,150000,24.3464,-535.2562255859375,30
3219.28,31,40.2221,1999.31,155000,23.4518,-508.15985107421875,31
3260.19,32,21.0748,2705.09,160000,23.7658,-436.7127380371094,32
2949.09,33,33.9726,1813.1,165000,23.297,-643.7611694335938,33
2934.74,34,33.0388,2067.67,170000,23.5632,-601.1358032226562,34
3197.4,35,14.2124,3112.91,175000,22.5926,-238.71414184570312,35
3207.04,36,20.101,2945.28,180000,23.0899,-432.7270812988281,36
3235.37,37,13.3117,3133.27,185000,21.743,-198.42568969726562,37
2558.74,38,15.0541,3219.23,190000,23.8248,-312.816650390625,38
3268.61,39,15.0981,3155.96,195000,22.8795,-291.422119140625,39
3198.0,40,14.4332,3188.31,200000,22.7894,-270.22918701171875,40
3252.22,41,17.4998,2785.73,205000,22.778,-421.0855712890625,41
3300.87,42,16.6995,2824.8,210000,22.8474,-427.6513977050781,42
3289.2,43,20.023,2646.57,215000,22.7715,-470.5749816894531,43
3264.37,44,14.7302,3185.71,220000,22.0789,-321.6883850097656,44
3236.29,45,17.6609,2952.03,225000,22.9862,-403.8523864746094,45
3306.79,46,21.2024,2715.29,230000,22.3577,-603.6254272460938,46
3303.44,47,19.6943,3004.87,235000,22.7605,-441.9143981933594,47
3336.19,48,14.249,3177.41,240000,22.6062,-282.78826904296875,48
3320.04,49,14.4115,2966.83,245000,22.2913,-403.8633728027344,49
3264.59,50,14.1463,3310.61,250000,22.2743,-341.3542175292969,50
3281.85,51,15.0753,2598.19,255000,22.7838,-599.019775390625,51
3352.92,52,15.609,3012.72,260000,22.2624,-368.8871154785156,52
3268.85,53,23.3888,2963.28,265000,22.9094,-561.9800415039062,53
3280.87,54,14.4747,3321.72,270000,22.4614,-320.9657287597656,54
3346.53,55,26.0881,2295.22,275000,23.1184,-869.9954223632812,55
3289.64,56,14.273,3211.25,280000,21.9004,-306.1902160644531,56
3322.49,57,13.4165,3359.81,285000,21.5192,-284.2557678222656,57
3356.91,58,14.7357,3247.3,290000,21.8224,-364.93792724609375,58
3324.24,59,20.5602,3126.43,295000,21.8854,-428.92059326171875,59
3351.6,60,14.2105,3348.93,300000,21.8961,-293.52899169921875,60
3380.1,61,24.5443,3244.1,305000,22.3619,-687.4060668945312,61
3353.66,62,14.9768,3198.46,310000,21.8104,-393.5486145019531,62
3377.6,63,14.2577,3276.16,315000,20.9307,-293.81005859375,63
3388.02,64,20.1495,2826.18,320000,22.2179,-718.999755859375,64
3373.05,65,18.3178,2984.2,325000,21.4251,-565.441650390625,65
3400.19,66,14.0524,3373.14,330000,21.3949,-279.3554992675781,66
3391.14,67,12.6265,2454.54,335000,20.7849,-353.80877685546875,67
3415.81,68,17.5773,3061.52,340000,20.4621,-519.0845947265625,68
3435.05,69,14.5697,3234.34,345000,19.7609,-379.3646545410156,69
3367.01,70,12.7957,3232.51,350000,19.823,-242.10775756835938,70
3417.63,71,21.0156,2026.66,355000,20.6871,-951.0172729492188,71
3413.38,72,14.4052,3163.0,360000,20.4091,-429.888916015625,72
3449.01,73,12.9003,3424.43,365000,19.6253,-270.36419677734375,73
3380.85,74,40.2724,2017.9,370000,20.2839,-1045.2767333984375,74
3475.97,75,13.0892,3036.54,375000,18.9201,-287.7890625,75
3404.11,76,21.2081,2289.81,380000,20.0776,-1038.681396484375,76
3358.99,77,21.3474,2542.96,385000,20.6638,-803.66552734375,77
3395.88,78,17.6997,2456.18,390000,19.9991,-755.6123046875,78
3140.47,79,45.1647,1814.66,395000,20.8094,-1483.0347900390625,79
3391.67,80,16.4596,3147.12,400000,19.6467,-640.2742309570312,80
3450.06,81,11.5838,3254.28,405000,19.0799,-285.35198974609375,81
3381.75,82,16.0171,3078.3,410000,19.5007,-554.0333251953125,82
3480.01,83,12.3073,3444.11,415000,19.0529,-281.43377685546875,83
3401.14,84,12.8496,3387.39,420000,19.3679,-274.5873718261719,84
3400.62,85,14.449,2998.08,425000,20.5887,-795.151123046875,85
3438.62,86,11.7246,3110.39,430000,19.2187,-364.5796203613281,86
3389.14,87,13.2153,3124.55,435000,19.3319,-548.3943481445312,87
3350.12,88,13.3156,3094.63,440000,19.1389,-646.439208984375,88
3410.92,89,14.1623,2861.05,445000,18.535,-531.455322265625,89
3375.98,90,12.1636,3269.32,450000,18.4908,-365.71856689453125,90
3390.32,91,14.1692,3220.94,455000,18.8518,-473.665771484375,91
3406.18,92,11.8911,3407.57,460000,18.1614,-349.408935546875,92
3417.24,93,14.1173,3277.11,465000,18.9713,-577.4970703125,93
3391.58,94,11.5896,3296.36,470000,17.836,-295.64959716796875,94
3410.41,95,11.9586,3299.8,475000,18.2643,-367.03070068359375,95
3422.0,96,12.6082,3206.07,480000,18.537,-449.5710144042969,96
3402.8,97,11.0047,3180.05,485000,18.1828,-304.8429870605469,97
3437.98,98,12.883,3290.05,490000,19.0983,-621.6956176757812,98
3391.5,99,11.7673,3247.4,495000,18.6636,-412.25079345703125,99
3399.38,100,11.6367,3305.06,500000,18.0332,-383.7431945800781,100
3371.99,101,14.6776,3192.37,505000,19.1463,-739.037109375,101
3403.29,102,13.8868,3134.85,510000,18.8877,-685.9195556640625,102
3411.99,103,13.9509,3070.92,515000,18.9766,-525.7131958007812,103
3408.78,104,12.1016,3150.96,520000,18.1033,-321.0658264160156,104
3431.55,105,12.3735,3294.53,525000,19.3534,-421.1707763671875,105
3392.1,106,13.7657,3411.33,530000,18.0604,-448.6421203613281,106
3437.0,107,12.8897,3166.62,535000,19.4126,-518.0323486328125,107
3430.41,108,12.0791,3308.17,540000,19.2226,-395.0947570800781,108
3366.59,109,11.3303,3372.84,545000,17.5163,-470.1730041503906,109
3454.09,110,14.2986,2966.9,550000,18.5892,-723.2073364257812,110
3424.62,111,12.4566,3417.47,555000,18.9828,-398.71905517578125,111
3450.49,112,15.1824,3010.14,560000,18.7543,-787.9814453125,112
3467.66,113,16.2154,2858.45,565000,19.003,-1000.1552734375,113
3405.82,114,12.0849,3412.4,570000,18.2814,-421.8648681640625,114
3435.24,115,11.0849,3435.26,575000,18.2148,-420.66058349609375,115
3439.62,116,11.0447,3301.12,580000,17.843,-415.8656921386719,116
3413.96,117,12.3533,3115.6,585000,18.9591,-741.6329956054688,117
3438.14,118,11.4948,3447.97,590000,17.7004,-346.3206787109375,118
3444.89,119,11.7973,3457.4,595000,18.3717,-431.0325012207031,119
3414.28,120,11.3582,3403.8,600000,17.8817,-458.2547607421875,120
3435.62,121,11.3242,3313.91,605000,17.6076,-454.4793701171875,121
3442.77,122,11.6489,3270.7,610000,17.9918,-490.7763671875,122
3439.6,123,12.0162,3440.25,615000,17.9049,-443.843017578125,123
3471.24,124,12.1189,3312.86,620000,19.1866,-810.4197998046875,124
3418.11,125,12.5164,3131.99,625000,18.3733,-864.220703125,125
3450.7,126,11.6711,3272.89,630000,17.9888,-543.4458618164062,126
3454.03,127,11.862,3271.08,635000,18.2714,-463.9701843261719,127
3442.44,128,12.2394,3384.01,640000,18.2902,-722.4616088867188,128
3460.51,129,10.9534,3452.61,645000,17.7488,-447.58355712890625,129
3430.62,130,11.7388,3444.83,650000,18.4507,-530.838623046875,130
3453.35,131,13.1574,3327.54,655000,18.8883,-837.4133911132812,131
3424.0,132,10.9212,3430.62,660000,17.5205,-494.286865234375,132
3437.89,133,11.7848,2981.6,665000,17.9737,-583.5843505859375,133
3442.95,134,15.619,3174.04,670000,17.7478,-569.1782836914062,134
3416.54,135,10.8701,3115.2,675000,17.861,-594.2391967773438,135
3422.12,136,18.9419,3049.24,680000,18.957,-1247.11572265625,136
3398.62,137,11.3387,3384.92,685000,17.4752,-540.9854125976562,137
3454.84,138,11.0716,3423.91,690000,17.9835,-522.6224975585938,138
3401.02,139,11.6989,3280.22,695000,17.5745,-680.8331298828125,139
3452.04,140,11.1483,3302.14,700000,18.0985,-552.443359375,140
3452.21,141,10.8572,3199.15,705000,18.1214,-487.661376953125,141
3436.14,142,11.5125,3428.75,710000,18.1562,-605.2218017578125,142
3462.2,143,12.2154,3446.76,715000,18.2918,-739.975830078125,143
3404.04,144,11.337,3327.2,720000,17.9485,-645.4015502929688,144
3452.77,145,11.6131,3090.74,725000,18.5683,-916.6090087890625,145
3468.54,146,12.105,2865.96,730000,18.1592,-810.1597900390625,146
3441.15,147,10.8525,3372.75,735000,17.8829,-659.6717529296875,147
3449.94,148,11.7819,3215.63,740000,17.9073,-706.3283081054688,148
3472.66,149,13.9443,3053.03,745000,19.0403,-1017.9883422851562,149
3475.41,150,12.0169,3154.73,750000,17.4242,-684.5048828125,150
3455.68,151,15.1745,2907.66,755000,18.4492,-1134.2698974609375,151
3451.52,152,12.1295,2947.03,760000,18.5257,-986.9246215820312,152
3429.02,153,24.5604,2699.13,765000,19.5397,-1805.0321044921875,153
3453.34,154,12.971,3221.34,770000,17.7007,-678.0633544921875,154
3472.89,155,11.9181,2953.66,775000,18.139,-818.6732177734375,155
3441.88,156,13.2926,2974.62,780000,18.517,-1005.2019653320312,156
3444.24,157,12.1269,3320.03,785000,17.9551,-876.2052612304688,157
3437.33,158,13.0553,2636.34,790000,18.4043,-1086.2315673828125,158
3470.78,159,16.5424,2540.21,795000,19.7639,-1299.725341796875,159
3448.58,160,19.6979,2445.02,800000,18.6005,-1477.6256103515625,160
3466.25,161,14.2549,3131.91,805000,18.6295,-1043.9630126953125,161
3443.81,162,13.014,3195.92,810000,18.0672,-868.8758544921875,162
3509.25,163,13.3721,2521.64,815000,19.5487,-1340.533203125,163
3464.54,164,10.9927,3253.3,820000,18.161,-855.2568359375,164
3441.56,165,12.0578,3001.83,825000,18.9989,-959.1036987304688,165
3464.24,166,12.6081,3318.76,830000,17.9937,-1010.1876220703125,166
3480.72,167,12.9627,3097.36,835000,18.7059,-810.8704833984375,167
3464.0,168,14.4807,2533.68,840000,19.6932,-1702.5665283203125,168
3431.35,169,12.9213,3088.09,845000,17.9753,-842.9229736328125,169
3457.36,170,14.9308,2810.03,850000,18.8951,-1272.416015625,170
3468.99,171,11.574,2970.31,855000,18.7657,-1061.4034423828125,171
3468.21,172,11.3152,3136.94,860000,18.2244,-899.9721069335938,172
3463.46,173,11.7423,2987.56,865000,18.2558,-1208.019775390625,173
3489.38,174,11.786,2910.75,870000,18.5435,-843.8271484375,174
3465.9,175,11.1897,2912.78,875000,18.0642,-964.9375,175
3465.49,176,13.3081,3282.86,880000,18.5872,-944.0276489257812,176
3464.68,177,11.1667,2917.58,885000,18.6367,-1145.0823974609375,177
3455.51,178,10.7676,3393.77,890000,17.8394,-822.9849853515625,178
3470.06,179,14.1225,2451.35,895000,19.424,-1556.51123046875,179
3484.94,180,16.4892,2938.34,900000,18.2953,-1135.480712890625,180
3450.85,181,12.236,3273.72,905000,18.5376,-1083.1982421875,181
3479.51,182,13.6081,2402.17,910000,20.5404,-2022.5816650390625,182
3444.07,183,11.6981,3360.13,915000,17.8443,-800.8619384765625,183
3453.7,184,10.5843,3404.26,920000,17.1664,-780.3585205078125,184
3462.84,185,10.4061,3338.15,925000,17.469,-822.4609985351562,185
3467.99,186,10.9124,3396.54,930000,17.6992,-973.27490234375,186
