Real Sto Return,Running Reverse KL,Real Det Return,Running Env Steps,Running Update Time,Running Forward KL,Itration,Reward Loss
217.26,18.0945,203.1,0,0,32.643,0,-104.22571563720703
230.02,22.9904,238.96,5000,1,31.8073,1,-173.9038848876953
84.16,31.0582,37.04,10000,2,31.8852,2,-348.2549743652344
290.74,17.5106,301.62,15000,3,31.0206,3,-261.5484924316406
314.77,15.09,315.41,20000,4,30.5086,4,-257.887451171875
337.49,16.7442,341.11,25000,5,30.943,5,-213.34922790527344
384.51,15.1931,402.69,30000,6,29.6419,6,-208.08779907226562
464.33,14.7579,503.27,35000,7,27.9468,7,-10.734845161437988
467.2,15.673,469.22,40000,8,28.5566,8,-119.89840698242188
505.2,23.7108,524.34,45000,9,27.1877,9,-256.363525390625
440.29,91.0699,416.38,50000,10,25.8332,10,-419.5798645019531
463.56,72.0898,470.74,55000,11,27.0108,11,-519.9169311523438
563.55,65.33,548.41,60000,12,26.5274,12,-523.664794921875
959.8,39.001,1333.79,65000,13,24.5537,13,-456.564208984375
879.45,38.5843,869.27,70000,14,24.3028,14,-571.8025512695312
768.47,40.0183,829.31,75000,15,22.6708,15,-542.2894287109375
945.76,27.0178,940.02,80000,16,24.4292,16,-520.2363891601562
852.48,25.6472,856.66,85000,17,24.7852,17,-551.6417236328125
833.17,132.7695,880.23,90000,18,25.1373,18,-1543.4290771484375
977.72,64.103,1299.43,95000,19,22.9094,19,-712.4633178710938
3328.82,15.5753,3345.45,100000,20,21.6832,20,-35.73967361450195
3199.72,15.4316,3181.21,105000,21,21.887,21,-35.9604606628418
3133.16,13.9433,3137.41,110000,22,21.7459,22,-50.05427169799805
3122.47,25.778,3320.6,115000,23,20.8124,23,42.449337005615234
3276.29,13.6602,3376.63,120000,24,20.3741,24,-43.44489669799805
3050.19,14.1181,3410.47,125000,25,19.4608,25,85.76998138427734
2025.76,29.1191,3350.46,130000,26,20.5545,26,-522.1984252929688
2013.7,13.412,3436.52,135000,27,18.5653,27,-323.21478271484375
1872.98,17.5317,3367.83,140000,28,20.6916,28,-340.7261047363281
2087.85,15.6509,3480.05,145000,29,20.0616,29,-296.19842529296875
1992.32,13.4183,2687.06,150000,30,18.6981,30,-355.52081298828125
3362.25,13.1897,3383.23,155000,31,19.0048,31,-41.102725982666016
3307.73,11.5764,3362.19,160000,32,17.8079,32,-80.29253387451172
3341.33,13.0088,3370.75,165000,33,19.3643,33,-118.455078125
3120.66,11.9839,3424.18,170000,34,18.517,34,-54.05695343017578
2889.6,28.9335,2895.48,175000,35,19.6527,35,-695.0941772460938
3223.12,11.8204,3366.17,180000,36,18.8325,36,-206.37794494628906
2670.24,12.5135,3441.23,185000,37,19.7722,37,-231.52003479003906
3278.62,12.0958,3395.51,190000,38,18.2372,38,-128.44493103027344
1672.78,38.4287,2539.75,195000,39,21.5759,39,-1160.7969970703125
2835.82,29.9234,3493.7,200000,40,21.0288,40,-664.4143676757812
1907.09,21.5312,3373.62,205000,41,20.4979,41,-690.7384643554688
2877.31,14.9982,3265.42,210000,42,20.1237,42,-256.0469665527344
3187.55,15.1871,3462.23,215000,43,20.5266,43,-302.6808776855469
3328.53,13.1756,3427.36,220000,44,19.1066,44,-186.01544189453125
3415.77,13.9262,3462.7,225000,45,19.3124,45,-261.07879638671875
2229.83,23.453,3324.45,230000,46,20.2452,46,-648.4194946289062
3320.83,12.9644,3455.29,235000,47,19.7004,47,-328.1899108886719
2819.93,12.9577,3364.43,240000,48,20.3095,48,-336.0253601074219
3161.85,12.1156,3347.6,245000,49,18.9406,49,-404.7752990722656
2841.08,14.4483,3473.33,250000,50,18.242,50,-409.6752014160156
2861.5,11.6002,3450.54,255000,51,17.7663,51,-187.80581665039062
2911.38,13.7582,3483.54,260000,52,19.3901,52,-272.3162841796875
3018.78,11.9867,3472.27,265000,53,17.946,53,-167.71849060058594
3286.07,12.5156,3432.33,270000,54,18.863,54,-248.7165069580078
2433.37,15.8318,3496.56,275000,55,19.0678,55,-406.3876953125
