Running Reverse KL,Real Det Return,Running Update Time,Real Sto Return,Running Env Steps,Itration,Reward Loss,Running Forward KL
276.7173,194.96,0,307.03,0,0,20433.73046875,460.1584
260.2248,291.81,1,315.22,5000,1,18198.580078125,444.21
283.0519,393.11,2,405.56,10000,2,17113.12890625,435.5073
273.4044,292.14,3,390.72,15000,3,19917.46484375,434.7364
260.3113,455.6,4,409.73,20000,4,15498.330078125,426.9693
310.3913,323.75,5,336.0,25000,5,15189.4140625,439.9145
272.8476,366.3,6,388.52,30000,6,12382.826171875,434.9662
257.8987,419.61,7,444.76,35000,7,8228.7890625,427.6518
273.3438,430.7,8,466.67,40000,8,10505.8828125,414.827
263.1973,526.62,9,480.23,45000,9,6572.71044921875,416.9716
276.194,542.87,10,480.39,50000,10,8699.2021484375,403.4936
265.6144,631.96,11,503.08,55000,11,5556.4248046875,408.345
278.1096,533.16,12,479.26,60000,12,4996.41943359375,397.6252
271.3838,618.46,13,550.78,65000,13,3690.347900390625,394.3332
282.0657,593.98,14,570.88,70000,14,2994.817138671875,388.9592
297.9098,491.07,15,510.87,75000,15,-139.8728485107422,405.2771
282.665,571.55,16,574.52,80000,16,1938.50390625,401.4664
288.4305,546.93,17,522.2,85000,17,217.89947509765625,396.5193
272.1945,583.02,18,704.77,90000,18,-4043.26171875,394.5898
254.4776,546.08,19,621.97,95000,19,-4133.22119140625,388.8692
298.6541,454.47,20,510.49,100000,20,-5917.671875,401.2711
266.3177,548.95,21,560.45,105000,21,-3924.94091796875,402.9753
274.1006,564.21,22,489.12,110000,22,-7094.23193359375,399.3844
236.6144,799.38,23,789.67,115000,23,-8261.017578125,381.9064
235.9965,956.56,24,821.46,120000,24,-8134.75439453125,382.2754
238.0053,915.63,25,896.69,125000,25,-10021.111328125,379.4969
240.5902,989.59,26,857.61,130000,26,-10748.3095703125,387.2683
238.1595,701.12,27,741.31,135000,27,-11942.28125,382.1675
255.0936,739.48,28,726.15,140000,28,-15687.474609375,389.2914
265.5263,774.48,29,774.68,145000,29,-16443.044921875,393.7782
253.351,793.24,30,711.35,150000,30,-17414.994140625,389.1521
253.1946,893.92,31,749.25,155000,31,-18170.6640625,382.2819
253.4473,642.88,32,717.53,160000,32,-20090.265625,386.6145
240.816,703.48,33,975.45,165000,33,-20312.5703125,369.5351
244.9588,998.84,34,937.77,170000,34,-20375.1015625,370.5934
240.2597,920.51,35,903.14,175000,35,-22829.919921875,371.3006
280.7733,886.14,36,998.54,180000,36,-24940.62109375,360.9875
262.5982,757.71,37,1084.55,185000,37,-23818.3359375,371.4774
237.0647,1253.12,38,1239.75,190000,38,-22534.73828125,364.8944
230.7891,1056.96,39,1395.27,195000,39,-23883.638671875,381.6724
230.579,787.87,40,1064.55,200000,40,-24837.267578125,359.4804
313.5627,677.75,41,1125.36,205000,41,-31866.05078125,377.3015
330.0147,596.74,42,900.1,210000,42,-33716.6875,394.5648
265.4257,1127.43,43,1399.32,215000,43,-30507.607421875,372.1106
217.6191,1130.11,44,1631.13,220000,44,-27569.216796875,351.6649
250.6891,1192.67,45,1196.44,225000,45,-32526.27734375,373.4425
196.3436,1906.21,46,2116.38,230000,46,-25702.369140625,353.4107
194.2263,1080.7,47,1558.39,235000,47,-25767.15625,346.2331
264.6974,958.03,48,1437.39,240000,48,-36079.2265625,362.0256
237.5855,1177.25,49,1514.43,245000,49,-34844.32421875,363.0935
256.1366,833.68,50,1351.59,250000,50,-35697.58984375,360.0381
239.6012,1131.02,51,1831.45,255000,51,-33533.08984375,364.0528
252.5851,545.05,52,1489.0,260000,52,-37377.97265625,367.4093
183.0963,1884.18,53,2319.14,265000,53,-29647.4765625,349.954
183.3134,1066.51,54,2682.76,270000,54,-27670.453125,349.1499
165.1931,2012.7,55,2155.69,275000,55,-27606.841796875,336.7303
296.5949,773.59,56,1888.36,280000,56,-43473.08984375,360.0658
153.809,3771.44,57,2286.83,285000,57,-22976.1796875,339.2007
176.1015,1690.59,58,2489.73,290000,58,-31558.396484375,343.8322
159.4005,2670.3,59,2336.59,295000,59,-29905.11328125,332.7359
