Real Sto Return,Real Det Return,Running Env Steps,Running Forward KL,Reward Loss,Running Reverse KL,Itration,Running Update Time
-216.21,-7.34,0,158.4647,328.1697082519531,11.347,0,0
-112.22,-5.32,5000,158.4335,-215.96334838867188,11.8169,1,1
1.13,188.04,10000,158.3351,-123.7498779296875,11.7312,2,2
149.06,690.6,15000,158.1952,-41.512664794921875,12.1718,3,3
292.52,760.33,20000,158.1015,-68.34873962402344,12.7955,4,4
457.86,858.01,25000,158.0778,-134.61590576171875,13.4625,5,5
513.3,1065.63,30000,157.8892,-294.8603820800781,13.6441,6,6
645.21,1104.18,35000,157.9796,-227.17132568359375,14.6674,7,7
650.43,795.32,40000,157.7959,-454.07000732421875,14.0296,8,8
847.34,1274.6,45000,157.627,-635.9617919921875,14.6563,9,9
884.16,1455.2,50000,157.8526,-701.041748046875,15.08,10,10
1026.16,1542.62,55000,157.8931,-837.2390747070312,15.1693,11,11
924.59,1462.64,60000,157.8113,-1049.9534912109375,15.6969,12,12
1135.24,1525.64,65000,157.6182,-1202.9376220703125,16.4277,13,13
1123.51,1554.59,70000,158.0116,-1445.745849609375,16.3994,14,14
1214.43,1625.51,75000,157.8352,-1547.6424560546875,16.7715,15,15
1198.88,1616.14,80000,158.0578,-1820.20166015625,16.6261,16,16
1262.01,1717.61,85000,157.8849,-1932.5264892578125,16.6377,17,17
1297.04,1744.14,90000,157.7912,-2092.943359375,16.8242,18,18
1316.19,1793.29,95000,157.7445,-2343.389404296875,16.147,19,19
1345.36,1779.73,100000,157.9303,-2400.747314453125,16.7781,20,20
1351.35,1773.71,105000,157.8794,-2720.98046875,16.7347,21,21
1412.56,1808.65,110000,157.6389,-2867.77587890625,16.4239,22,22
1451.12,1872.68,115000,157.7971,-3014.28955078125,16.5992,23,23
1464.97,1867.55,120000,157.9066,-3217.07470703125,16.3833,24,24
1506.4,1937.75,125000,157.4402,-3375.2158203125,16.43,25,25
1494.37,1929.23,130000,157.4959,-3613.566650390625,15.9916,26,26
1513.34,1880.92,135000,157.7469,-3927.909912109375,16.097,27,27
1521.0,1912.48,140000,157.8894,-3997.980224609375,16.552,28,28
1526.51,1928.14,145000,157.5416,-4263.08349609375,16.2948,29,29
1549.76,1937.39,150000,157.8847,-4440.8525390625,17.1034,30,30
1591.14,1988.82,155000,157.7433,-4601.55615234375,16.7291,31,31
1542.7,1870.57,160000,157.7019,-4914.4873046875,16.4234,32,32
1608.72,1941.84,165000,157.6797,-5100.4560546875,16.5702,33,33
1599.84,1982.67,170000,157.6163,-5257.9794921875,16.1699,34,34
1649.42,2000.62,175000,157.5893,-5357.025390625,16.5559,35,35
1623.97,2002.07,180000,157.4703,-5511.81103515625,16.5243,36,36
1608.14,2004.24,185000,157.4809,-5754.58544921875,16.2671,37,37
1678.71,2026.5,190000,157.561,-5966.62109375,16.7224,38,38
1632.01,1955.6,195000,157.4973,-6156.61669921875,16.2754,39,39
1672.7,1982.36,200000,157.3274,-6323.662109375,16.0868,40,40
1655.81,2006.43,205000,157.3082,-6462.05078125,16.276,41,41
1642.51,2009.99,210000,157.3711,-6676.24560546875,16.1724,42,42
1611.07,1931.4,215000,157.3841,-6935.22900390625,15.6354,43,43
1657.76,1979.73,220000,157.5133,-7136.3798828125,16.0086,44,44
1679.33,2039.01,225000,157.4583,-7300.302734375,16.0881,45,45
1679.49,2087.16,230000,157.1247,-7238.10888671875,16.4378,46,46
1651.6,1968.24,235000,157.3432,-7662.9990234375,16.1445,47,47
1695.78,2033.54,240000,157.2807,-7790.72802734375,15.9106,48,48
1714.69,2081.78,245000,157.0617,-7973.90966796875,16.0782,49,49
1697.45,2046.95,250000,157.1716,-8142.345703125,16.2202,50,50
1717.36,2061.15,255000,157.1914,-8387.453125,15.9537,51,51
1693.27,2088.3,260000,156.9507,-8412.4716796875,16.0441,52,52
1682.57,2046.47,265000,157.2373,-8754.4892578125,16.1984,53,53
1684.2,2044.88,270000,156.9822,-8863.6083984375,15.5797,54,54
1703.21,2024.23,275000,157.3466,-9188.9462890625,16.2638,55,55
1716.69,2092.66,280000,157.3449,-9276.1015625,16.3246,56,56
1722.97,2048.92,285000,157.1309,-9518.5791015625,15.8425,57,57
1721.65,2048.63,290000,157.2135,-9729.1533203125,15.7195,58,58
1727.7,2067.5,295000,157.0969,-9774.4833984375,15.9352,59,59
1756.22,2082.78,300000,157.0048,-10062.74609375,15.969,60,60
1744.79,2083.66,305000,156.974,-10201.9814453125,15.8478,61,61
1724.2,2058.54,310000,157.1318,-10484.080078125,15.6658,62,62
1769.51,2084.75,315000,156.9172,-10591.591796875,15.7853,63,63
1713.36,2042.06,320000,156.9674,-10780.5498046875,15.704,64,64
1731.49,2003.77,325000,156.9857,-10990.5361328125,15.7342,65,65
1703.41,2030.99,330000,157.2371,-11282.8505859375,15.534,66,66
1707.77,1961.12,335000,157.0541,-11479.56640625,15.2496,67,67
1760.19,2090.79,340000,157.2105,-11622.2421875,15.9691,68,68
1721.41,2015.69,345000,157.1274,-11898.8466796875,15.4889,69,69
1769.77,2084.64,350000,156.8628,-11996.88671875,15.3298,70,70
1741.55,2093.21,355000,157.0362,-12192.43359375,15.5655,71,71
1733.66,2039.68,360000,156.93,-12478.24609375,15.3279,72,72
1730.42,2047.34,365000,156.9868,-12724.9365234375,15.6148,73,73
1788.66,2099.24,370000,156.955,-12908.5419921875,15.7922,74,74
1779.29,2087.02,375000,156.9432,-12997.0283203125,15.8015,75,75
1789.66,2143.56,380000,156.974,-13155.8095703125,15.6419,76,76
1735.92,1984.29,385000,157.1421,-13562.091796875,15.4569,77,77
1740.41,2078.35,390000,156.8996,-13572.4921875,15.4566,78,78
1760.61,2102.21,395000,156.9404,-13800.7861328125,15.4434,79,79
1761.97,2049.4,400000,156.8782,-14038.29296875,15.6866,80,80
1746.32,2088.61,405000,156.8199,-14115.27734375,15.387,81,81
1785.37,2137.0,410000,156.8973,-14535.0751953125,15.5554,82,82
1766.6,2044.22,415000,156.9753,-14704.04296875,15.6332,83,83
1774.57,2088.64,420000,157.0145,-14940.0771484375,15.3933,84,84
1748.71,2019.79,425000,156.8368,-15161.705078125,15.4218,85,85
1768.33,2070.37,430000,156.9785,-15389.36328125,15.5204,86,86
1786.54,2128.41,435000,156.9775,-15474.2998046875,15.7388,87,87
1772.84,2130.84,440000,156.7271,-15824.2578125,15.6211,88,88
1779.91,2060.89,445000,156.9362,-15984.2158203125,15.5684,89,89
1784.43,2130.61,450000,157.0213,-16197.2353515625,15.5769,90,90
1803.64,2160.97,455000,156.9749,-16262.4931640625,15.6902,91,91
1774.41,2084.39,460000,156.8845,-16547.072265625,15.4298,92,92
1802.19,2136.13,465000,156.8597,-16692.037109375,15.2445,93,93
1783.16,2131.62,470000,157.0365,-17045.611328125,15.4506,94,94
1787.68,2084.75,475000,156.9265,-17342.376953125,15.3894,95,95
1806.17,2102.6,480000,156.9828,-17380.583984375,15.8047,96,96
1790.11,2124.42,485000,156.9397,-17751.568359375,15.4794,97,97
1802.83,2161.73,490000,156.9531,-17870.203125,15.6487,98,98
1806.78,2165.17,495000,156.9035,-18255.82421875,15.4813,99,99
1821.22,2128.98,500000,156.8696,-18385.697265625,15.3256,100,100
1800.48,2144.65,505000,156.9193,-18746.95703125,15.288,101,101
1780.56,2032.24,510000,157.0418,-18860.373046875,15.3221,102,102
1782.72,2124.72,515000,157.0005,-19119.5,15.2555,103,103
1808.8,2165.46,520000,157.0915,-19255.435546875,15.8196,104,104
1833.34,2183.52,525000,156.8666,-19546.33984375,15.7675,105,105
1812.78,2132.58,530000,156.791,-19672.6875,15.2628,106,106
1846.02,2151.01,535000,156.7942,-19798.23828125,15.4045,107,107
1803.01,2135.33,540000,156.8664,-20098.265625,15.4397,108,108
1787.54,2139.81,545000,157.0582,-20541.14453125,15.3658,109,109
1811.9,2188.15,550000,156.7228,-20521.66015625,15.2174,110,110
1835.8,2201.24,555000,156.7767,-20890.119140625,15.4674,111,111
1817.2,2172.96,560000,156.8748,-20997.943359375,15.4948,112,112
1837.52,2111.66,565000,156.717,-21290.138671875,15.4101,113,113
1833.15,2137.38,570000,156.8931,-21810.25390625,15.657,114,114
1820.95,2171.97,575000,156.9249,-21826.1875,15.2633,115,115
1813.27,2116.9,580000,157.0427,-22231.921875,15.6,116,116
1849.18,2196.93,585000,156.778,-22173.130859375,15.4989,117,117
1841.23,2211.47,590000,157.03,-22632.810546875,15.5612,118,118
1819.55,2161.01,595000,156.9232,-22917.63671875,15.3564,119,119
1821.09,2172.24,600000,156.8557,-23092.15625,15.5612,120,120
1790.54,2107.46,605000,156.8781,-23344.689453125,15.2964,121,121
1836.76,2177.82,610000,156.957,-23645.916015625,15.6551,122,122
1836.24,2144.16,615000,156.8253,-23739.650390625,15.3104,123,123
1888.68,2228.37,620000,156.5662,-23949.849609375,15.5015,124,124
1874.42,2223.3,625000,156.8494,-24319.271484375,15.6062,125,125
1846.65,2198.21,630000,156.861,-24683.310546875,15.5574,126,126
1827.43,2188.73,635000,156.7919,-24760.421875,15.2774,127,127
1839.66,2180.49,640000,156.9468,-25195.24609375,15.4158,128,128
1862.12,2200.34,645000,156.6719,-25433.080078125,15.4223,129,129
1849.93,2171.93,650000,156.9014,-25808.46484375,15.4586,130,130
1879.6,2228.97,655000,156.8874,-25925.80859375,15.8414,131,131
1806.13,2161.79,660000,156.9345,-26246.19140625,15.3112,132,132
1829.25,2197.49,665000,156.9431,-26538.439453125,15.1317,133,133
1810.3,2137.56,670000,157.1556,-27016.763671875,15.2975,134,134
