Running Env Steps,Itration,Real Sto Return,Running Forward KL,Running Reverse KL,Reward Loss,Running Update Time,Real Det Return
0,0,314.9,451.8801,291.8957,-2695.9033203125,0,313.77
5000,1,309.73,444.829,277.7775,-2646.719970703125,1,318.81
10000,2,332.78,454.5771,272.2023,-3338.602294921875,2,276.5
15000,3,441.68,420.9568,289.5378,-2417.024169921875,3,569.02
20000,4,327.68,446.9505,312.7806,-659.16015625,4,260.68
25000,5,415.57,430.7393,266.3334,-3047.686767578125,5,330.48
30000,6,351.36,421.6112,291.1825,-3944.10498046875,6,374.51
35000,7,458.87,410.4373,268.6341,-4253.650390625,7,461.17
40000,8,487.92,400.2146,257.7587,-4288.740234375,8,451.33
45000,9,508.36,393.0918,239.1553,-4396.33984375,9,469.84
50000,10,516.47,393.3306,241.9896,-4264.04296875,10,509.5
55000,11,523.54,402.0348,266.1178,-4702.93603515625,11,528.94
60000,12,544.63,391.0699,256.3751,-4981.68701171875,12,461.3
65000,13,582.68,386.0315,258.8499,-4789.37255859375,13,501.18
70000,14,642.05,392.7024,251.4088,-5351.314453125,14,550.33
75000,15,599.19,382.8461,273.4631,-6311.26513671875,15,466.44
80000,16,750.32,369.5496,224.0684,-4607.79736328125,16,678.76
85000,17,690.9,380.9951,242.0334,-4560.349609375,17,644.38
90000,18,733.46,367.2246,225.1675,-5264.05029296875,18,739.35
95000,19,827.31,375.5518,234.6263,-6472.3125,19,634.8
100000,20,920.13,376.7129,228.7117,-4696.1298828125,20,811.39
105000,21,739.07,380.3281,233.2895,-6514.4814453125,21,1121.56
110000,22,710.15,378.463,238.2428,-6642.07373046875,22,655.71
115000,23,1031.46,378.417,227.2538,-5407.55908203125,23,960.18
120000,24,1638.84,364.839,221.1621,-5956.8173828125,24,1453.32
125000,25,1121.4,361.1876,220.1859,-6856.1298828125,25,1025.95
130000,26,1450.65,357.8515,197.8887,-5504.80859375,26,1642.76
135000,27,1670.9,355.9656,216.4018,-6201.80224609375,27,1843.81
140000,28,1513.1,342.3186,208.8611,-6111.88134765625,28,2926.99
145000,29,1543.75,354.0659,226.2356,-7276.7412109375,29,1545.11
150000,30,1585.82,357.0534,219.975,-7010.126953125,30,1426.55
155000,31,2064.38,355.2248,204.0423,-4930.2939453125,31,1832.19
160000,32,2101.75,375.5682,242.6497,-7475.880859375,32,2110.43
165000,33,3754.39,334.9702,145.5561,-3165.24072265625,33,2310.58
170000,34,3941.48,349.7395,158.6171,-3116.25537109375,34,2649.28
175000,35,4026.46,340.6668,171.0148,-4529.40087890625,35,1604.1
180000,36,3228.52,331.164,142.6236,-2727.243896484375,36,3082.85
185000,37,2400.89,353.0184,216.7038,-6717.8076171875,37,1027.9
190000,38,2085.03,337.6947,170.9856,-4556.30517578125,38,1150.12
195000,39,3946.15,330.5311,140.0298,-3011.57958984375,39,1974.9
200000,40,4077.06,342.2087,158.9396,-3185.8271484375,40,2164.16
205000,41,2886.25,337.4015,146.0876,-2676.560791015625,41,2218.62
210000,42,2775.73,350.3082,201.5158,-6375.70068359375,42,1508.34
215000,43,3361.73,344.0021,172.8985,-4249.7021484375,43,3446.12
220000,44,2429.41,347.7469,188.004,-5251.26513671875,44,1306.75
225000,45,3556.37,351.3553,169.8822,-3680.652099609375,45,839.34
230000,46,4632.62,336.3552,151.3923,-2261.2294921875,46,2450.21
235000,47,4860.72,335.7629,155.4145,-1771.7562255859375,47,3059.61
240000,48,4737.09,321.3214,147.7745,-2383.346923828125,48,3094.81
245000,49,4634.82,338.1442,154.0102,-1788.929443359375,49,2588.45
250000,50,4336.99,336.6403,162.258,-3719.740966796875,50,1395.05
255000,51,4055.43,326.7799,146.4294,-2555.575927734375,51,3008.97
260000,52,4751.45,335.7715,160.8391,-3447.189697265625,52,2842.04
265000,53,4706.75,329.5442,136.9454,-2433.71435546875,53,2381.6
270000,54,3990.87,334.8719,159.017,-2892.33056640625,54,4222.47
275000,55,4759.45,323.2218,148.2622,-3626.758544921875,55,2641.41
280000,56,3532.26,349.5176,201.6181,-6474.14990234375,56,2888.91
285000,57,4085.11,340.1722,194.1069,-5770.18603515625,57,1297.7
290000,58,4776.39,331.7974,153.3649,-2755.41357421875,58,3100.5
295000,59,4916.42,332.2308,148.5174,-3252.85302734375,59,2828.73
300000,60,3890.44,327.5013,135.9939,-3412.404541015625,60,2658.65
305000,61,4021.86,322.9574,119.8078,-3008.1591796875,61,1920.59
310000,62,4525.61,337.3683,151.286,-3457.1083984375,62,5120.35
315000,63,4998.89,334.1673,139.7941,-3663.581298828125,63,3941.68
320000,64,3877.7,327.4094,137.8079,-4473.98876953125,64,759.55
325000,65,4969.58,337.6582,146.5254,-3593.58740234375,65,1802.51
330000,66,4448.63,337.5698,141.7541,-4638.9130859375,66,1489.48
335000,67,4382.43,336.4222,169.5965,-4961.64404296875,67,2168.03
340000,68,4264.21,333.7602,147.2918,-3818.8427734375,68,2366.02
345000,69,3717.71,333.2046,134.389,-4079.44921875,69,716.24
350000,70,4810.64,336.0385,146.3898,-4772.7099609375,70,1833.83
355000,71,4706.67,342.6906,146.1827,-4474.38232421875,71,751.97
360000,72,4931.18,341.4843,146.8543,-4687.8984375,72,963.15
365000,73,4914.12,334.3273,136.2688,-4945.52880859375,73,2480.58
370000,74,4266.19,340.7628,145.1572,-5589.97265625,74,766.49
375000,75,4985.89,333.2263,146.2167,-4910.60009765625,75,3045.4
380000,76,5079.83,329.8028,147.5148,-4922.2998046875,76,1575.41
385000,77,4932.81,329.7773,148.2571,-5640.6484375,77,643.47
390000,78,4418.74,330.7733,169.0109,-6410.89697265625,78,3247.58
395000,79,4882.83,329.0273,145.5559,-5595.8984375,79,3196.15
400000,80,5112.48,331.7263,141.5649,-5658.69921875,80,3365.3
405000,81,4686.6,336.5141,156.9968,-5674.34765625,81,2096.14
410000,82,4538.86,337.2107,170.3322,-6529.3671875,82,1500.81
415000,83,4116.01,325.4426,145.9832,-5461.22021484375,83,1075.58
420000,84,4609.37,325.7685,146.2507,-6293.0869140625,84,3070.53
425000,85,4765.73,339.6075,174.1864,-7299.9931640625,85,1427.32
430000,86,4413.9,325.3541,137.6545,-6616.8984375,86,3288.04
435000,87,4436.0,339.0324,155.4976,-7535.853515625,87,2278.89
440000,88,4829.3,331.4715,134.0866,-6708.81298828125,88,2703.97
445000,89,4325.6,324.1206,141.126,-7126.84716796875,89,2444.57
450000,90,4202.71,323.6745,144.9735,-7181.5244140625,90,3261.19
455000,91,4790.47,325.6467,162.6168,-8019.43505859375,91,3466.67
460000,92,4487.73,322.6877,149.9678,-8011.37353515625,92,2989.67
465000,93,4298.44,331.4817,169.4981,-8496.6083984375,93,1394.92
470000,94,4169.1,324.9677,137.121,-7526.458984375,94,2443.11
475000,95,4399.9,320.708,136.3614,-7469.97119140625,95,5158.12
480000,96,4604.47,326.2799,137.8102,-8177.9482421875,96,3346.72
485000,97,4208.01,332.4837,147.5023,-8213.3330078125,97,4033.18
490000,98,4451.2,332.844,152.09,-8294.34375,98,2862.49
495000,99,4770.04,332.2542,145.4065,-8737.69140625,99,2062.5
500000,100,4678.28,331.8521,143.2246,-8396.1181640625,100,3989.15
505000,101,4978.58,327.9062,151.2167,-8544.5556640625,101,3418.42
510000,102,4879.65,326.0385,142.8602,-8673.72265625,102,2154.87
515000,103,4517.61,332.6333,165.4198,-9351.90234375,103,4506.21
520000,104,4279.85,322.7964,141.5706,-9142.9130859375,104,2539.03
525000,105,4611.63,327.6608,138.1233,-8888.4990234375,105,857.16
530000,106,4642.1,330.4251,143.2736,-9302.2294921875,106,4581.65
535000,107,4847.74,329.6462,153.273,-10146.154296875,107,667.56
540000,108,4655.19,325.5353,142.4629,-9295.046875,108,1347.37
545000,109,4520.42,319.6112,169.5116,-10606.65234375,109,2756.78
550000,110,3952.08,328.0761,163.7045,-10491.22265625,110,2191.84
555000,111,4649.09,332.0977,142.4312,-10167.908203125,111,2577.82
560000,112,4853.87,325.1283,146.396,-10376.2265625,112,1987.34
565000,113,4700.84,340.8896,155.7434,-10815.8837890625,113,2814.91
570000,114,4768.48,333.0786,135.0521,-10716.9267578125,114,1707.19
575000,115,4716.43,330.2859,131.9307,-10893.1943359375,115,2278.63
580000,116,4739.23,332.4228,143.1959,-11283.0673828125,116,3133.5
585000,117,4811.59,330.1452,136.1924,-11071.615234375,117,1990.52
590000,118,4939.07,327.4782,144.6849,-11366.23046875,118,1782.55
595000,119,3804.08,334.0574,139.6568,-11088.369140625,119,1295.59
600000,120,4716.81,332.7047,149.4744,-11321.0673828125,120,2425.39
605000,121,4873.53,337.2198,144.9951,-11556.443359375,121,945.57
610000,122,4863.92,334.3507,135.6201,-12046.568359375,122,3012.37
615000,123,4749.88,326.1941,126.6176,-12220.4384765625,123,630.93
620000,124,4273.71,334.5382,135.8361,-12559.9560546875,124,937.84
625000,125,4238.26,331.6428,145.6232,-12565.876953125,125,574.35
630000,126,4456.89,340.8554,139.1113,-12639.015625,126,2222.81
635000,127,4371.04,340.9708,143.9886,-13480.94921875,127,3663.51
640000,128,4358.52,337.3096,139.1338,-13265.9306640625,128,2676.42
645000,129,4185.52,340.983,184.1758,-11321.8466796875,129,685.03
650000,130,4462.03,335.9211,147.2192,-13299.548828125,130,628.37
655000,131,4177.91,338.6552,164.4082,-12236.0517578125,131,593.39
660000,132,4319.63,340.1098,161.7545,-12662.2939453125,132,815.51
665000,133,3679.41,336.1229,162.4121,-12772.0986328125,133,876.64
670000,134,3831.78,339.7104,149.5314,-13245.458984375,134,844.48
675000,135,3939.41,336.906,146.8506,-13503.9541015625,135,578.84
680000,136,2781.63,350.047,181.1929,-12588.3212890625,136,1137.47
685000,137,4428.09,349.9502,174.6378,-13723.2626953125,137,786.3
690000,138,3056.59,352.9366,192.3124,-12881.6796875,138,546.83
695000,139,3195.06,335.3356,143.4213,-13988.673828125,139,547.84
700000,140,3524.4,335.618,162.8595,-14061.0693359375,140,488.14
705000,141,4400.53,336.0302,137.771,-14870.345703125,141,814.03
710000,142,3217.0,338.6659,167.6178,-13496.0126953125,142,514.83
715000,143,5052.4,336.8293,142.28,-15394.00390625,143,4147.48
720000,144,3934.18,339.1658,149.9079,-15370.3662109375,144,781.5
725000,145,5063.61,347.9431,161.955,-15281.50390625,145,1971.8
730000,146,4267.77,345.7807,152.8497,-15347.2177734375,146,688.51
735000,147,4702.17,345.0782,158.3345,-16153.23046875,147,783.11
740000,148,4585.38,344.5973,147.169,-16240.890625,148,860.85
745000,149,4630.48,337.8615,147.9224,-16257.896484375,149,1224.61
750000,150,4612.32,349.5796,169.6085,-16267.2958984375,150,1109.31
755000,151,4586.53,335.0525,140.3716,-16342.19921875,151,967.07
760000,152,4538.79,334.7522,143.1889,-16358.9365234375,152,1018.48
765000,153,4767.18,341.3502,143.581,-16045.8759765625,153,1310.61
770000,154,5029.57,337.9271,142.1852,-16747.615234375,154,2632.69
