Running Update Time,Running Forward KL,Itration,Running Env Steps,Real Det Return,Running Reverse KL,Real Sto Return,Reward Loss
0,444.6804,0,0,246.84,273.3009,289.2,2375.80322265625
1,441.8733,1,5000,345.91,336.7978,320.17,4408.59228515625
2,430.6876,2,10000,452.14,293.3234,400.03,4121.43017578125
3,424.3021,3,15000,395.15,272.8933,399.55,3579.17919921875
4,415.8962,4,20000,402.61,268.6202,378.24,3303.955078125
5,419.2486,5,25000,386.06,314.4185,373.14,3583.185791015625
6,407.4528,6,30000,397.42,274.9622,411.48,3236.394775390625
7,406.1381,7,35000,654.19,288.5097,499.47,2706.18701171875
8,400.3782,8,40000,496.88,284.8784,428.77,2341.167724609375
9,387.9354,9,45000,565.42,262.4042,476.57,1979.3951416015625
10,381.9671,10,50000,406.63,272.3066,525.19,1636.798583984375
11,398.8088,11,55000,468.75,302.8163,457.87,1252.4830322265625
12,396.0997,12,60000,596.47,273.943,444.8,1171.211181640625
13,397.2586,13,65000,545.8,273.7412,473.03,799.9342651367188
14,393.5601,14,70000,558.67,285.7479,515.98,596.1822509765625
15,381.2661,15,75000,552.07,282.8066,493.28,394.59698486328125
16,370.1794,16,80000,619.7,254.1231,551.88,418.6973571777344
17,379.7342,17,85000,586.22,266.508,594.36,503.6681213378906
18,378.0165,18,90000,664.45,277.8543,521.38,195.61410522460938
19,359.8644,19,95000,651.2,261.138,667.79,-53.69341278076172
20,356.4623,20,100000,649.8,253.2887,648.89,-508.78643798828125
21,362.8386,21,105000,536.22,275.7136,526.83,-1073.82958984375
22,366.0416,22,110000,586.34,269.6587,571.35,-1485.320556640625
23,350.636,23,115000,853.53,288.1203,765.81,-1950.484130859375
24,364.4889,24,120000,764.71,270.2962,714.24,-1827.8851318359375
25,360.7916,25,125000,786.4,284.7095,640.83,-1784.421875
26,359.4719,26,130000,634.87,250.8188,724.93,-1895.9019775390625
27,342.2192,27,135000,813.41,268.1969,784.06,-1999.224609375
28,339.2894,28,140000,723.27,251.3311,784.75,-2401.379638671875
29,332.6559,29,145000,694.52,274.3433,854.09,-2899.83740234375
30,347.8003,30,150000,806.56,270.3821,845.99,-3148.39111328125
31,343.0258,31,155000,895.15,243.5678,895.02,-3244.594482421875
32,329.938,32,160000,993.01,225.751,1083.06,-3008.063232421875
33,345.8876,33,165000,1037.73,294.9384,970.77,-3931.11669921875
34,337.2908,34,170000,1528.16,236.2178,1035.38,-3670.842041015625
35,336.7618,35,175000,1489.8,265.8185,1245.51,-4384.70947265625
36,331.4433,36,180000,1047.79,272.9371,1101.59,-4509.7177734375
37,314.5853,37,185000,1925.83,214.5037,1350.87,-3560.28955078125
38,313.5219,38,190000,1856.15,194.2397,1045.68,-3510.533935546875
39,323.5684,39,195000,1256.57,244.9246,1192.29,-4480.388671875
40,332.2016,40,200000,1499.26,242.5705,1302.75,-4735.30126953125
41,320.0843,41,205000,1347.78,221.4704,1382.73,-4572.48486328125
42,314.614,42,210000,1407.44,225.3896,1470.32,-4935.2939453125
43,316.69,43,215000,1192.92,230.6654,1672.11,-5163.67529296875
44,322.3579,44,220000,1048.01,246.4548,1227.06,-5512.32080078125
45,292.1397,45,225000,1235.42,151.6675,1793.61,-3594.8701171875
46,324.3736,46,230000,1006.04,250.1392,1085.66,-5980.81787109375
47,314.7068,47,235000,904.91,244.0565,1263.66,-5983.08740234375
48,328.1117,48,240000,1503.35,214.8355,1290.62,-5641.3203125
