Itration,Running Reverse KL,Running Forward KL,Real Sto Return,Real Det Return
145,15.2894,156.6505,1846.71,2222.56
146,15.4675,156.8266,1873.76,2224.37
147,15.7747,156.8672,1884.62,2184.9
148,15.2436,156.6626,1871.85,2138.93
149,15.1484,156.7543,1832.15,2167.51
150,15.4935,156.7954,1856.62,2148.63
151,15.2222,156.8297,1838.18,2146.76
152,15.125,156.6458,1866.59,2185.82
153,15.3941,156.8896,1849.99,2188.56
154,15.6437,156.7385,1902.43,2253.31
155,15.3125,156.7022,1872.92,2224.07
156,15.1248,156.4656,1866.91,2191.64
157,15.2815,156.7152,1855.55,2201.08
158,15.3493,156.5487,1885.99,2214.31
159,15.7372,156.7228,1898.91,2250.04
160,15.4811,156.7881,1861.37,2259.84
161,15.2506,156.7581,1888.95,2217.87
162,15.242,156.8402,1843.85,2209.29
163,15.0065,156.7173,1851.03,2194.68
164,15.4201,156.7252,1898.78,2235.16
165,15.2325,156.6572,1882.91,2256.05
166,15.39,156.788,1830.09,2215.0
167,15.1606,156.6026,1861.93,2187.73
168,15.3689,156.7027,1882.03,2222.93
169,15.4732,156.6647,1885.6,2235.39
170,15.4724,156.5392,1898.72,2242.0
171,15.1474,156.7249,1889.61,2225.68
172,15.1959,156.6609,1885.31,2215.74
173,15.3583,156.7934,1868.84,2215.49
174,15.2483,156.8132,1884.62,2247.12
175,15.4892,156.5716,1908.98,2250.84
176,15.436,156.7837,1911.43,2264.4
177,15.3494,156.7309,1890.12,2214.93
178,14.991,156.6746,1881.41,2240.95
179,15.4979,156.7795,1904.28,2238.61
180,15.2079,156.7131,1837.58,2130.89
181,15.2989,156.7632,1852.88,2205.35
182,15.5317,156.6031,1914.63,2260.35
183,15.1789,156.673,1860.57,2207.93
184,15.2311,156.6679,1895.5,2256.3
185,15.3031,156.6261,1877.12,2220.51
186,15.3895,156.7702,1887.21,2212.18
187,15.2395,156.6365,1908.57,2250.41
188,15.0107,156.5668,1878.63,2226.48
189,15.2493,156.7264,1895.56,2218.53
190,15.154,156.5728,1873.27,2243.58
191,15.2753,156.8048,1893.88,2197.8
192,15.2646,156.6865,1922.55,2278.9
193,15.1121,156.4119,1935.79,2264.53
194,15.2,156.7208,1888.07,2201.62
195,15.1993,156.7508,1885.06,2261.03
196,15.6012,156.8241,1925.72,2250.71
197,15.036,156.5571,1894.32,2262.63
198,15.2923,156.5508,1876.74,2234.47
199,15.1339,156.6795,1890.87,2228.47
200,15.0575,156.7535,1881.43,2182.61
201,15.129,156.4812,1894.08,2245.58
202,15.1611,156.6698,1900.51,2243.14
203,15.0638,156.6378,1899.92,2245.82
204,15.0646,156.7386,1894.68,2221.55
205,15.2108,156.7746,1913.01,2264.64
206,15.1586,156.6016,1892.24,2217.45
207,15.1246,156.6608,1913.1,2264.45
208,15.0504,156.5691,1903.02,2242.9
209,15.1078,156.5798,1905.33,2261.8
210,15.1526,156.7692,1907.59,2258.49
211,15.2598,156.6775,1920.95,2254.48
212,15.1761,156.555,1923.39,2276.7
213,15.0497,156.5754,1917.74,2265.01
214,15.0449,156.6606,1909.36,2243.43
215,15.2532,156.6586,1926.29,2262.93
216,15.3222,156.5759,1905.84,2259.48
217,15.18,156.5824,1927.64,2273.62
218,15.0606,156.7415,1914.39,2236.96
219,15.1152,156.6573,1922.07,2280.9
220,15.169,156.4416,1915.91,2272.09
221,15.2669,156.7871,1922.23,2259.29
222,15.2578,156.5794,1921.95,2273.13
223,15.3893,156.5959,1937.06,2273.25
224,15.4038,156.7247,1919.96,2294.22
225,15.4511,156.7444,1916.19,2286.92
226,15.4084,156.6786,1930.57,2278.57
227,15.3129,156.6978,1906.4,2269.04
228,15.3697,156.4979,1924.56,2280.28
229,15.2659,156.6141,1915.05,2274.45
230,15.43,156.6675,1935.5,2287.27
231,15.2303,156.5447,1912.53,2281.08
232,15.2371,156.4789,1921.78,2286.97
233,15.2665,156.8528,1921.01,2280.36
234,15.4086,156.506,1936.01,2305.39
235,15.2112,156.7059,1925.53,2285.75
236,15.2124,156.6274,1924.61,2281.13
237,15.231,156.6476,1908.88,2289.42
238,15.2558,156.905,1897.58,2265.72
239,15.2271,156.6421,1928.73,2267.01
