Reward Loss,Real Det Return,Running Reverse KL,Running Update Time,Real Sto Return,Running Forward KL,Running Env Steps,Itration
290.1385498046875,252.43,14.7811,0,266.3,32.0288,0,0
92.4307632446289,275.81,35.6724,1,314.04,31.834,5000,1
104.12274932861328,251.65,23.9973,2,253.51,32.1333,10000,2
63.03889465332031,332.09,20.1891,3,321.37,31.0107,15000,3
-95.21998596191406,329.99,47.2837,4,332.05,31.4941,20000,4
-102.53305053710938,542.48,41.779,5,490.99,29.2963,25000,5
-203.05638122558594,525.42,54.4829,6,638.68,27.5279,30000,6
-198.4495849609375,592.29,39.1444,7,682.56,27.9425,35000,7
-99.74442291259766,411.5,18.1245,8,483.21,27.0896,40000,8
-41.50883102416992,766.21,16.3372,9,756.99,26.2085,45000,9
-121.11247253417969,925.26,15.8507,10,910.12,26.9109,50000,10
-95.06224060058594,1523.32,16.8516,11,1174.42,26.2537,55000,11
19.35157585144043,752.55,14.1781,12,718.82,25.0117,60000,12
17.337371826171875,768.3,14.5901,13,762.38,25.3371,65000,13
27.84390640258789,838.03,15.019,14,776.57,24.8866,70000,14
-69.07908630371094,854.01,15.9063,15,821.1,25.8292,75000,15
-81.50663757324219,922.9,15.7641,16,1008.51,26.6084,80000,16
-110.87987518310547,912.24,13.7429,17,926.9,26.5758,85000,17
-86.81501007080078,670.49,12.4897,18,647.63,25.5618,90000,18
-219.50486755371094,684.01,17.3558,19,695.64,27.6208,95000,19
-478.69482421875,946.53,46.576,20,878.36,26.8659,100000,20
-342.7674865722656,883.96,15.282,21,867.65,25.6873,105000,21
-407.7638244628906,864.71,14.5407,22,806.7,26.2973,110000,22
-384.0081787109375,864.31,14.087,23,852.8,26.8861,115000,23
-319.1918029785156,1105.99,13.3571,24,1025.53,25.082,120000,24
-368.1856384277344,684.63,12.356,25,742.13,25.3127,125000,25
-445.72607421875,1093.62,12.3515,26,970.51,25.4008,130000,26
-460.8934020996094,922.81,20.7485,27,947.88,24.2762,135000,27
-444.0821228027344,912.1,13.0459,28,861.37,25.9831,140000,28
-555.7911987304688,1028.18,23.6993,29,1003.51,33.9034,145000,29
-873.7310180664062,666.11,79.3375,30,488.95,34.0142,150000,30
-971.997802734375,96.29,57.7473,31,100.61,34.5201,155000,31
-1019.2725830078125,4.46,116.5436,32,6.1,38.2852,160000,32
-691.344482421875,121.8,51.506,33,133.55,32.0531,165000,33
-795.0950927734375,326.41,18.6354,34,375.49,31.4239,170000,34
-1240.963134765625,245.89,44.5444,35,251.59,31.0942,175000,35
-602.82568359375,304.9,83.9372,36,298.29,30.9816,180000,36
-807.1715698242188,333.6,58.5514,37,349.71,28.7603,185000,37
