Running Reverse KL,Itration,Running Forward KL,Reward Loss,Real Sto Return,Running Update Time,Running Env Steps,Real Det Return
12.5072,0,158.7055,2070.897705078125,-170.16,0,0,58.59
11.8107,1,158.4406,1847.1807861328125,-89.07,1,5000,-33.69
12.0337,2,158.4149,1677.8023681640625,14.94,2,10000,-33.53
12.058,3,158.1576,1622.384765625,171.82,3,15000,534.95
12.1625,4,157.8901,1429.6385498046875,377.07,4,20000,1076.34
12.8701,5,157.9634,1400.6529541015625,562.38,5,25000,930.67
12.9629,6,157.2822,1171.075927734375,1108.42,6,30000,2426.85
13.5211,7,157.3784,1074.6273193359375,1627.39,7,35000,2636.22
13.8332,8,157.0444,522.7138061523438,1881.26,8,40000,2775.23
17.4073,9,157.5118,448.2829895019531,2879.12,9,45000,3495.62
16.3437,10,157.3099,258.55059814453125,3011.62,10,50000,3256.14
17.9562,11,157.3091,239.8125,3153.37,11,55000,3786.95
16.1788,12,156.8459,-91.66573333740234,3473.45,12,60000,4090.74
17.07,13,156.9898,-404.4509582519531,3667.67,13,65000,4188.16
16.7181,14,156.8421,-646.3208618164062,3834.92,14,70000,4415.87
17.7203,15,156.9744,-987.5938720703125,4099.86,15,75000,4512.22
16.6269,16,156.4708,-1136.3624267578125,4296.29,16,80000,4849.08
16.9782,17,156.1232,-1249.0047607421875,4191.65,17,85000,4949.04
17.043,18,156.1595,-1439.005126953125,4705.97,18,90000,5154.37
16.8424,19,156.0273,-1603.816162109375,4928.12,19,95000,5324.52
17.4368,20,155.5808,-1717.8458251953125,5143.65,20,100000,5554.07
17.0619,21,154.9321,-1841.6683349609375,5353.7,21,105000,5865.63
16.5033,22,154.5175,-1984.037109375,5601.64,22,110000,6090.22
15.8188,23,154.225,-2130.866455078125,5776.51,23,115000,6245.28
15.3075,24,154.1609,-2107.919189453125,5796.31,24,120000,6372.93
16.0666,25,153.9531,-2265.826904296875,6038.21,25,125000,6632.02
16.2815,26,153.5737,-2279.720458984375,6074.39,26,130000,6620.79
15.6104,27,153.4957,-2466.470947265625,6277.5,27,135000,6793.31
15.595,28,152.9496,-2590.57958984375,6407.39,28,140000,6936.44
14.2312,29,153.2898,-2870.334716796875,5830.94,29,145000,6407.84
13.1695,30,153.8325,-2985.082275390625,4519.24,30,150000,4990.04
14.7635,31,152.2873,-2965.2021484375,6336.3,31,155000,6848.3
14.2776,32,152.3071,-2904.208984375,5548.28,32,160000,6918.2
15.4998,33,152.7365,-3017.032470703125,6719.39,33,165000,7249.16
16.1485,34,151.7056,-3199.46875,6822.62,34,170000,7435.72
16.0954,35,151.4571,-3194.8515625,7035.51,35,175000,7445.01
15.5432,36,151.9114,-3484.179931640625,6965.21,36,180000,7459.23
15.773,37,151.5945,-3454.008544921875,6783.88,37,185000,7722.35
15.4954,38,151.5466,-3455.59765625,7352.67,38,190000,7713.9
15.544,39,151.1339,-3651.26318359375,7170.11,39,195000,7257.64
15.2669,40,151.0719,-3655.664794921875,7102.56,40,200000,7638.46
16.4127,41,150.9177,-3606.05029296875,7491.38,41,205000,7960.22
15.0615,42,150.336,-3787.94287109375,7721.25,42,210000,8175.28
16.6845,43,150.807,-3968.247802734375,7672.05,43,215000,8165.33
16.7773,44,151.0613,-4143.10302734375,7772.57,44,220000,8156.61
16.9426,45,150.447,-4125.4267578125,7915.88,45,225000,8520.78
16.7234,46,150.0378,-4227.740234375,8016.67,46,230000,8591.01
16.0881,47,150.2606,-4494.18896484375,8084.02,47,235000,8689.44
17.344,48,150.4455,-4494.26806640625,8110.6,48,240000,8558.16
17.6655,49,150.7931,-4548.0478515625,8232.63,49,245000,8695.82
17.442,50,149.8036,-4699.0048828125,8220.51,50,250000,8659.78
17.5482,51,150.0393,-4706.7431640625,8364.04,51,255000,8803.51
17.3021,52,150.3178,-4769.3369140625,8278.76,52,260000,8846.41
17.6736,53,149.5,-4925.86376953125,8450.35,53,265000,8945.86
17.2801,54,149.6692,-4911.8408203125,8515.07,54,270000,9142.57
17.5377,55,149.7716,-5048.40771484375,8565.0,55,275000,9157.62
18.2339,56,150.0004,-5305.07080078125,8526.96,56,280000,8901.04
17.1795,57,149.1438,-5183.02734375,8635.29,57,285000,9195.81
17.9824,58,149.3232,-5451.65673828125,8579.51,58,290000,9113.72
17.813,59,148.99,-5515.943359375,8668.68,59,295000,9146.42
17.8246,60,148.1933,-5525.796875,8763.83,60,300000,9244.74
18.1594,61,148.9467,-5813.11376953125,8564.6,61,305000,8951.43
