Running Update Time,Reward Loss,Real Sto Return,Itration,Running Env Steps,Real Det Return,Running Forward KL,Running Reverse KL
0,-55.36660385131836,284.42,0,0,356.48,49.1422,13.0041
1,-22.669925689697266,427.28,1,5000,428.13,49.3359,13.488
2,-167.22488403320312,456.92,2,10000,431.37,49.1235,17.0646
3,-191.92059326171875,441.41,3,15000,332.11,48.5039,12.1479
4,-141.99591064453125,403.26,4,20000,457.88,48.9406,13.3304
5,-191.12167358398438,360.18,5,25000,392.78,48.679,12.1906
6,-182.59559631347656,500.22,6,30000,460.29,48.8894,12.5968
7,-115.46627807617188,400.54,7,35000,447.89,48.868,13.4672
8,-174.637451171875,520.25,8,40000,640.36,48.4008,12.4645
9,-226.28079223632812,599.5,9,45000,682.05,48.5616,13.4476
10,-249.90695190429688,526.63,10,50000,486.1,49.0552,12.5763
11,-241.23634338378906,598.54,11,55000,545.26,47.9919,12.3751
12,-317.505859375,489.88,12,60000,668.88,48.9091,14.1066
13,-219.92855834960938,613.35,13,65000,670.67,48.1485,16.3356
14,-262.385498046875,758.11,14,70000,873.61,46.7332,13.0992
15,-303.6639404296875,813.77,15,75000,903.71,47.3111,13.6766
16,-270.1732482910156,1120.37,16,80000,928.89,47.9209,13.4007
17,-306.3796081542969,771.68,17,85000,802.63,46.744,13.2107
18,-265.64971923828125,941.19,18,90000,1154.48,47.2921,13.2679
19,-310.9230651855469,1247.52,19,95000,1839.1,46.5533,14.7074
20,-316.024658203125,900.13,20,100000,860.22,47.6503,14.8402
21,-343.1796569824219,971.93,21,105000,1574.97,47.5315,14.6836
22,-229.28463745117188,1488.92,22,110000,2502.47,46.5142,13.7086
23,-185.16075134277344,2269.31,23,115000,2695.19,46.0284,13.0207
24,-327.7876892089844,1260.54,24,120000,1851.64,45.4427,12.977
25,-251.55308532714844,2092.72,25,125000,1447.53,44.8792,12.2162
26,-179.1402587890625,1903.27,26,130000,2093.18,45.4548,13.709
27,-176.01177978515625,2632.81,27,135000,2645.62,45.9039,13.5669
28,-171.09555053710938,2523.83,28,140000,2689.47,45.1353,13.4721
29,-237.66058349609375,2201.0,29,145000,2988.09,45.0849,13.7975
30,-236.10411071777344,2500.12,30,150000,2196.13,44.7337,13.2788
31,-163.45001220703125,2715.4,31,155000,2942.92,44.939,15.9267
32,-197.7729949951172,2547.54,32,160000,2876.93,44.9315,17.2354
33,-226.04969787597656,2874.98,33,165000,2818.56,44.1649,14.6608
34,-143.4764404296875,3057.24,34,170000,3394.74,43.5575,15.9084
