Running Env Steps,Itration,Running Reverse KL,Real Sto Return,Running Update Time,Running Forward KL,Real Det Return,Reward Loss
0,0,26.7448,-76.82,0,75.9611,373.33,18.25861167907715
5000,1,27.0443,-33.29,1,75.6671,284.07,5.088873386383057
10000,2,27.132,-7.86,2,75.9343,380.7,-4.647161960601807
15000,3,29.3236,-1.2,3,75.4445,478.7,-12.766424179077148
20000,4,30.7976,56.75,4,75.5543,628.22,-28.149965286254883
25000,5,29.4339,51.66,5,73.671,549.05,-42.06309509277344
30000,6,29.1406,45.1,6,73.2138,624.67,-50.784515380859375
35000,7,30.2517,76.25,7,73.8656,695.58,-62.855010986328125
40000,8,31.1822,148.16,8,73.8023,719.57,-71.3505859375
45000,9,30.9812,164.12,9,72.9324,758.56,-82.4394302368164
50000,10,31.3277,166.31,10,73.783,922.27,-88.95720672607422
55000,11,32.0266,248.67,11,72.924,832.31,-106.7269287109375
60000,12,31.8569,180.57,12,72.847,758.21,-117.45658111572266
65000,13,31.1817,120.3,13,73.4896,721.51,-127.42166137695312
70000,14,31.4287,212.4,14,74.462,879.21,-137.3323516845703
75000,15,30.645,153.01,15,72.5703,791.92,-150.82028198242188
80000,16,30.7684,100.77,16,72.5504,794.57,-165.2889404296875
85000,17,31.2374,150.84,17,73.0155,521.31,-174.79725646972656
90000,18,31.4256,181.19,18,73.2215,676.34,-185.01812744140625
95000,19,31.2868,164.86,19,73.0844,678.73,-199.4532012939453
100000,20,30.8564,200.4,20,70.7544,522.53,-209.99925231933594
105000,21,31.0337,154.78,21,71.8558,643.36,-225.11383056640625
110000,22,31.0356,206.01,22,73.257,797.44,-236.08743286132812
115000,23,30.9263,181.41,23,72.4406,501.16,-248.344970703125
120000,24,31.4196,203.22,24,73.1057,805.67,-259.7463073730469
125000,25,31.1598,169.86,25,72.1521,747.98,-272.3443298339844
130000,26,31.1873,186.4,26,71.9101,802.62,-281.207275390625
135000,27,30.9978,199.96,27,72.9079,727.41,-296.2423400878906
140000,28,31.083,220.71,28,73.3333,686.38,-308.05120849609375
145000,29,30.8839,162.98,29,72.1423,807.21,-320.2730407714844
150000,30,30.3274,232.0,30,71.899,867.64,-333.59716796875
155000,31,30.9451,228.59,31,73.2794,737.59,-351.42596435546875
160000,32,30.7833,165.69,32,72.5316,639.28,-357.4317932128906
165000,33,31.1495,226.3,33,73.5497,661.7,-373.25347900390625
170000,34,30.6391,243.52,34,72.6434,650.65,-384.6497497558594
175000,35,30.5967,130.9,35,72.3608,509.91,-398.8837585449219
180000,36,30.1453,143.54,36,72.0331,555.99,-409.66790771484375
185000,37,31.0511,217.97,37,72.7558,719.09,-424.9876403808594
190000,38,31.045,185.42,38,72.5018,556.66,-441.7326354980469
195000,39,30.154,185.12,39,70.5716,957.4,-442.45355224609375
200000,40,30.9098,115.43,40,72.8947,373.66,-464.6385498046875
205000,41,30.9661,121.08,41,71.7392,713.23,-477.3305358886719
210000,42,31.4014,155.8,42,73.9947,707.28,-499.6571960449219
215000,43,29.9685,226.01,43,69.851,764.3,-495.3167419433594
220000,44,31.0705,292.27,44,72.7284,699.65,-523.7740478515625
225000,45,31.0791,220.62,45,72.0952,800.53,-532.1614990234375
230000,46,31.0405,287.4,46,72.7754,701.57,-551.162353515625
235000,47,29.9218,267.26,47,69.5885,776.16,-554.7495727539062
240000,48,29.1988,257.6,48,68.4237,1069.4,-556.8702392578125
245000,49,30.5304,294.4,49,70.3464,1067.81,-573.8340454101562
250000,50,29.7243,267.68,50,69.1002,833.2,-596.4338989257812
255000,51,31.3203,271.12,51,71.4819,879.07,-617.9501953125
260000,52,28.7278,276.9,52,66.5585,888.72,-604.8819580078125
265000,53,29.495,299.73,53,69.3823,627.89,-638.1625366210938
270000,54,29.848,303.06,54,69.9117,1055.12,-653.9107055664062
275000,55,30.813,215.58,55,73.108,855.5,-686.6484375
280000,56,30.8231,210.1,56,71.9746,739.51,-697.9793701171875
285000,57,30.0779,264.36,57,70.5299,667.94,-707.5313110351562
290000,58,29.4345,323.68,58,67.1118,1035.49,-686.2300415039062
295000,59,30.1096,239.59,59,69.4883,812.46,-731.4635620117188
300000,60,30.6386,316.75,60,71.3886,933.39,-761.4388427734375
305000,61,29.8873,190.72,61,70.7699,1063.83,-769.6751098632812
310000,62,31.0353,323.4,62,71.0607,547.2,-799.0713500976562
315000,63,29.7517,290.2,63,68.704,901.87,-784.455322265625
320000,64,31.6168,318.77,64,70.2574,1092.36,-809.4357299804688
325000,65,30.025,223.61,65,69.4219,958.07,-825.093017578125
330000,66,29.9466,263.35,66,69.6456,684.16,-849.232177734375
335000,67,30.3729,346.31,67,67.6212,697.61,-851.1149291992188
340000,68,30.5556,237.55,68,71.1873,629.64,-896.3126220703125
345000,69,30.4129,319.49,69,70.0842,806.85,-905.5599975585938
350000,70,31.6147,218.45,70,71.2099,663.78,-926.1832275390625
355000,71,30.1338,346.15,71,68.0966,848.98,-929.2164916992188
360000,72,29.4635,271.42,72,68.1078,895.28,-954.0770874023438
365000,73,30.144,205.17,73,70.6311,568.91,-987.4747924804688
370000,74,29.6033,237.74,74,67.7363,1015.34,-970.116455078125
375000,75,30.2292,391.5,75,68.8122,982.87,-1008.7998046875
380000,76,28.9074,366.4,76,68.2055,850.57,-1021.305908203125
385000,77,29.5157,249.35,77,67.9254,753.93,-1040.1619873046875
390000,78,30.0303,348.91,78,69.0472,803.54,-1072.546142578125
395000,79,28.1951,443.81,79,64.5693,840.06,-1033.126953125
400000,80,28.404,316.88,80,66.502,644.84,-1082.195068359375
405000,81,30.2445,275.7,81,71.3132,869.49,-1142.3546142578125
410000,82,30.3961,194.12,82,71.8062,722.13,-1169.9659423828125
415000,83,29.8181,386.33,83,68.9459,712.99,-1172.19873046875
420000,84,29.0509,382.12,84,67.678,995.81,-1160.2308349609375
425000,85,29.6699,397.81,85,66.6972,1195.12,-1179.6676025390625
430000,86,29.6734,426.81,86,67.2549,867.82,-1218.9678955078125
435000,87,29.626,300.86,87,69.2821,492.65,-1239.255859375
440000,88,28.479,417.09,88,64.9868,1165.02,-1234.118896484375
445000,89,29.2648,342.73,89,68.1741,916.59,-1293.5611572265625
450000,90,28.8036,411.85,90,66.7391,998.97,-1256.8740234375
455000,91,28.9329,444.89,91,64.7053,1106.08,-1280.914306640625
460000,92,29.1741,228.22,92,68.5888,767.12,-1350.6766357421875
465000,93,28.0777,462.78,93,63.1638,1177.79,-1302.5
470000,94,28.3337,282.22,94,65.1713,823.86,-1333.9664306640625
475000,95,29.2611,240.93,95,68.7227,449.54,-1425.4207763671875
480000,96,28.3267,292.11,96,67.604,656.78,-1434.070556640625
485000,97,30.7771,231.14,97,73.1748,639.98,-1529.8282470703125
490000,98,28.9486,402.95,98,66.3587,1054.76,-1470.7589111328125
495000,99,28.9669,304.29,99,66.804,997.89,-1501.1744384765625
500000,100,27.5274,360.02,100,63.5284,832.09,-1483.7689208984375
505000,101,28.0058,279.95,101,65.0445,822.63,-1527.26611328125
510000,102,29.2503,309.74,102,68.8784,807.17,-1623.0186767578125
515000,103,29.8302,281.2,103,69.7155,769.23,-1632.5205078125
520000,104,30.0054,375.04,104,68.5708,890.54,-1668.333251953125
525000,105,28.1109,397.92,105,65.3327,883.03,-1574.8436279296875
530000,106,28.8068,506.67,106,64.1337,1021.48,-1545.7747802734375
535000,107,28.5399,517.13,107,65.2497,1064.31,-1651.4276123046875
540000,108,29.2934,326.77,108,67.2665,1030.79,-1709.0341796875
