Running Update Time,Reward Loss,Real Sto Return,Itration,Running Forward KL,Running Reverse KL,Real Det Return,Running Env Steps
0,116.10594940185547,269.68,0,31.3765,17.0589,267.44,0
1,183.546875,245.95,1,30.7884,56.6448,261.36,5000
2,64.39273071289062,238.35,2,31.4183,46.053,239.12,10000
3,127.10916900634766,267.58,3,30.2894,52.0415,262.92,15000
4,102.61163330078125,321.02,4,30.4685,56.7329,322.24,20000
5,106.57091522216797,329.99,5,29.7127,56.941,322.19,25000
6,44.80079650878906,845.2,6,24.8955,46.2383,868.92,30000
7,10.00674057006836,460.48,7,27.2337,34.3173,479.31,35000
8,2.3290066719055176,613.23,8,25.6157,26.9894,638.16,40000
9,45.71598815917969,900.94,9,25.9987,64.3829,916.75,45000
10,-16.224302291870117,862.36,10,23.8607,34.7621,786.73,50000
11,38.742645263671875,739.04,11,26.0186,101.7975,776.95,55000
12,-11.636987686157227,871.2,12,26.409,24.729,1000.56,60000
13,9.225309371948242,1664.12,13,23.8531,42.2528,2896.78,65000
14,2.3896842002868652,971.29,14,24.156,96.0747,1126.23,70000
15,-31.572818756103516,713.68,15,26.085,61.9568,815.67,75000
16,-27.57701301574707,976.07,16,24.7509,38.8169,931.73,80000
17,-39.085941314697266,882.68,17,24.1148,23.0322,973.62,85000
18,-35.56690979003906,1390.25,18,23.2257,43.1301,2378.28,90000
19,-17.021745681762695,2028.71,19,22.211,23.704,3146.24,95000
20,-42.45880126953125,1260.35,20,23.6757,18.3909,3091.85,100000
21,-61.20127487182617,1113.57,21,24.5944,52.5056,1091.47,105000
22,-54.26357650756836,2636.51,22,22.2112,57.5782,3101.75,110000
23,-62.76053237915039,2292.55,23,21.7887,60.7961,3183.2,115000
24,-25.232925415039062,3091.0,24,22.1534,14.0058,3085.64,120000
25,-115.9106674194336,993.1,25,25.2902,83.5847,985.57,125000
26,-86.39302825927734,1935.43,26,22.4479,71.3246,3156.67,130000
27,-23.206993103027344,2639.61,27,21.6136,21.2857,3240.7,135000
28,-101.00279998779297,1709.5,28,22.0744,28.8703,3150.34,140000
29,-46.288639068603516,2629.53,29,20.17,15.4155,3179.75,145000
30,-110.0772933959961,2028.91,30,21.8097,53.8687,3150.25,150000
31,-51.7499885559082,2873.92,31,20.779,16.5558,3183.17,155000
32,-37.54130172729492,3015.36,32,20.8988,20.9345,3205.52,160000
33,-131.90896606445312,1675.36,33,22.7842,87.7077,3219.24,165000
34,-111.78071594238281,2461.4,34,20.8053,46.5451,3200.82,170000
35,-179.19993591308594,1369.61,35,22.999,77.702,2858.24,175000
