Running Forward KL,Real Sto Return,Itration,Real Det Return,Running Reverse KL
439.5644,349.06,0,286.57,260.0343
434.4403,320.01,1,302.41,287.9657
394.933,411.65,2,425.56,260.7013
395.2906,392.08,3,448.01,237.8022
414.587,417.47,4,467.18,244.3165
410.3429,389.84,5,353.76,237.3486
402.9551,439.02,6,514.71,236.6862
433.586,424.24,7,378.05,257.972
397.8423,413.11,8,410.41,247.944
394.7984,482.17,9,513.12,265.8126
405.1033,449.48,10,501.71,259.2118
397.1422,475.86,11,449.15,288.4989
403.9082,441.06,12,513.91,254.1783
420.774,448.74,13,439.23,282.5841
401.8371,477.48,14,438.3,258.4993
405.5551,466.07,15,454.61,265.8107
408.8709,540.41,16,515.42,243.2113
400.4566,542.41,17,551.47,251.4989
408.2428,540.39,18,618.9,283.3397
406.4079,538.94,19,542.99,273.3257
398.2703,545.08,20,559.3,231.4089
392.1491,595.63,21,603.57,251.7886
406.4363,668.69,22,550.23,243.5069
390.0562,553.82,23,615.4,238.5561
410.2383,527.78,24,526.32,242.4508
396.6566,590.47,25,538.98,250.6344
397.8051,615.88,26,669.26,243.0306
395.855,608.71,27,644.83,255.7157
392.8976,602.09,28,534.0,254.5142
407.0242,566.11,29,493.99,250.162
392.0099,562.4,30,591.84,242.1494
401.8386,604.06,31,672.9,253.8222
409.9242,677.36,32,653.27,247.7239
405.1018,639.67,33,577.06,242.5943
394.2038,640.88,34,741.49,241.2384
388.6594,681.72,35,733.77,243.2354
392.3622,690.02,36,689.6,253.9067
408.3026,729.68,37,737.37,236.7588
394.2021,643.03,38,767.62,225.9391
387.1676,685.19,39,792.1,223.7734
392.8294,740.28,40,722.16,226.8582
385.9456,656.37,41,703.7,233.055
394.0363,776.85,42,775.45,236.5464
401.2365,770.18,43,860.91,234.0664
377.2852,782.25,44,737.07,221.5205
366.9538,931.1,45,712.08,211.4404
371.202,944.56,46,655.74,224.1411
378.2772,924.79,47,981.94,246.7306
372.7942,915.0,48,656.26,237.1996
370.0983,1064.83,49,891.53,228.3606
372.2755,1045.91,50,899.48,221.0085
371.7285,1143.33,51,926.87,217.8259
383.6973,1024.77,52,968.57,238.3367
381.6052,1113.29,53,1120.37,236.5885
364.8761,1032.44,54,960.49,209.1299
345.8269,1729.58,55,1209.56,195.9738
355.397,1031.98,56,1154.97,203.4827
357.0358,1245.45,57,872.5,194.4827
358.3367,1269.68,58,1018.75,191.318
353.3186,1461.84,59,1085.35,188.9276
363.1464,1049.64,60,800.17,232.9515
369.2255,1637.73,61,667.83,223.5191
351.3308,1742.8,62,1136.48,187.6788
353.7603,1779.94,63,1297.82,188.5589
359.9259,1385.5,64,836.19,220.9934
348.913,1825.07,65,1335.55,158.7524
359.016,1799.55,66,1141.88,194.6923
357.4212,2040.06,67,1821.18,194.2436
347.6824,2114.46,68,2133.97,163.2372
350.4003,2074.04,69,1694.11,145.7738
345.6912,2817.67,70,2209.13,159.5703
338.3493,2030.92,71,2012.53,139.3929
347.1673,2434.42,72,1893.29,153.092
341.672,3080.62,73,2764.32,130.3714
337.7861,3889.91,74,3129.63,137.7335
349.0955,2507.03,75,2001.82,134.6757
342.9706,2675.9,76,1988.1,163.7798
335.7183,3147.72,77,2744.57,156.1822
334.1754,2757.99,78,2499.81,135.8032
334.5082,3617.56,79,2566.42,156.6261
345.3138,3519.07,80,2836.9,134.308
348.1863,2625.73,81,3254.28,162.4462
341.5693,2438.18,82,2468.2,149.431
340.0503,3388.06,83,2376.14,144.2888
337.3938,2726.61,84,3358.53,130.7312
341.5078,3182.27,85,2700.06,147.4337
352.2466,3225.32,86,2070.8,155.0008
354.383,2677.32,87,2803.21,164.1932
331.0341,3540.36,88,3313.96,140.8274
331.8077,3729.2,89,2249.66,123.4657
343.6385,4159.87,90,2817.62,144.7362
338.8503,4205.71,91,3260.96,129.3584
330.7874,3264.47,92,2538.23,141.959
331.147,4302.05,93,2580.01,136.4656
342.3788,4102.83,94,2721.52,136.366
334.5493,4023.2,95,3837.54,125.0246
339.5297,4300.0,96,2408.75,129.4483
334.3355,4031.89,97,2486.39,124.93
333.7295,4363.12,98,4353.83,135.755
327.1745,4247.12,99,2347.35,127.9624
335.9134,4523.55,100,3252.09,126.0854
343.5446,4948.48,101,2891.0,139.7556
321.3101,4596.12,102,3777.94,117.0842
335.5118,4279.25,103,3029.67,130.9212
327.0433,4670.78,104,4509.64,119.3834
341.1611,4552.22,105,3636.6,138.9942
342.4944,4271.8,106,3290.64,136.7538
322.0766,3675.11,107,1957.04,114.5242
321.6738,4210.01,108,1900.04,122.1333
324.5765,3887.88,109,3128.62,144.6363
320.4291,3680.52,110,1806.23,157.2189
331.2154,4785.32,111,4074.48,131.361
326.601,4816.36,112,2693.67,119.7568
323.3969,3728.99,113,3350.84,124.9483
320.1774,4517.97,114,4293.06,112.6332
335.776,4261.54,115,4369.93,130.9194
340.5837,3736.19,116,2744.28,143.0871
317.5584,4395.52,117,3067.3,115.9725
332.2204,4994.32,118,4181.91,130.4133
331.9793,4362.12,119,4453.28,126.6336
321.6653,4770.74,120,3874.59,112.4386
329.7285,4477.44,121,3039.5,130.1078
322.4224,4788.08,122,3460.07,117.0826
332.0927,3555.45,123,2756.25,131.3301
325.3389,4605.24,124,2555.24,120.2144
322.336,4877.71,125,3096.8,116.1466
331.065,4841.84,126,3176.02,124.2534
316.4932,4436.23,127,3743.11,118.5993
320.7503,4518.18,128,4025.49,119.4936
319.2689,4608.4,129,2016.75,110.5156
325.9705,5031.61,130,4417.03,122.9986
331.1402,4160.42,131,2611.93,125.769
336.8687,4258.13,132,2666.71,134.8466
330.4526,5001.05,133,3562.3,125.7244
319.464,4584.0,134,3002.34,119.7611
329.3329,4789.59,135,3753.2,119.6887
324.4442,4922.13,136,3861.14,126.6191
324.1599,4850.96,137,4726.24,114.1221
317.5649,4939.21,138,2948.29,118.3569
327.7105,5050.78,139,4354.7,123.7368
331.2831,4669.82,140,3349.54,119.5174
328.8985,4697.97,141,2091.02,129.0318
332.2394,4728.27,142,2856.07,127.7839
334.3844,4991.3,143,5000.97,126.9113
332.8514,4884.49,144,4515.14,127.6378
343.7711,5015.03,145,4512.3,136.8035
338.2955,5013.67,146,4518.43,132.9136
324.6312,5042.72,147,2878.99,120.6296
324.8812,5053.19,148,3773.9,122.7592
338.0897,5011.43,149,3337.09,130.4871
322.305,4828.4,150,3790.34,118.819
324.4122,5062.02,151,4509.89,117.0556
335.5331,5018.16,152,1947.41,129.5617
334.0977,4882.1,153,3430.78,121.5889
337.4611,4856.7,154,3773.0,131.831
341.2813,4915.29,155,4419.28,135.1431
326.1292,4983.02,156,2843.28,118.8267
323.1035,5037.14,157,2690.63,115.7519
334.5149,5006.27,158,3643.25,128.0754
320.3375,5068.6,159,4833.25,110.9997
318.8592,5051.55,160,3363.8,114.6298
331.904,4703.23,161,3605.03,121.5063
327.5844,4960.28,162,3743.6,118.0275
321.1586,4940.67,163,3631.38,115.8146
321.8931,4765.22,164,2557.45,114.1644
331.7227,4799.41,165,2805.89,124.549
325.1396,4971.99,166,4651.45,120.6148
330.1247,4927.95,167,2946.29,124.2209
332.5343,4985.09,168,3518.33,121.3839
316.7931,4365.21,169,4337.93,110.3322
317.87,4877.85,170,3239.98,107.9931
330.5419,4873.43,171,4250.74,118.1006
333.1329,4847.0,172,4513.94,120.8679
324.2466,4962.16,173,4491.52,115.0076
329.1183,4787.23,174,5059.35,115.5786
327.9983,4971.7,175,3762.05,121.1675
333.8098,4986.44,176,4450.62,129.3984
328.3982,4753.03,177,4337.69,121.2467
320.5157,4955.66,178,4892.97,113.119
336.3451,4563.82,179,2693.15,119.9492
325.9103,4933.88,180,4115.34,115.6788
325.7196,4932.28,181,4872.76,114.5947
324.5535,4767.16,182,4127.52,112.3144
322.6397,4909.78,183,3092.5,113.1514
319.3171,4838.22,184,4997.1,105.1737
316.239,4853.7,185,5054.91,105.8847
328.3097,4927.92,186,5040.42,114.4276
323.0081,4915.55,187,4637.49,104.9858
324.9155,4875.33,188,5024.58,106.5936
318.2617,4921.07,189,4209.0,108.1093
325.3984,4792.99,190,3820.98,108.205
315.3614,4902.4,191,5056.21,104.0788
312.7622,4868.39,192,5083.24,101.6834
319.0889,4583.54,193,4948.93,106.9241
324.108,4645.5,194,3483.1,113.6029
