Running Forward KL,Real Det Return,Itration,Running Reverse KL,Running Update Time,Reward Loss,Real Sto Return,Running Env Steps
33.6427,184.7,0,20.2619,0,450.07080078125,192.77,0
32.759,245.42,1,21.5564,1,323.8067932128906,250.14,5000
30.5531,276.9,2,21.138,2,246.98919677734375,258.48,10000
33.2147,286.45,3,22.1199,3,222.52389526367188,282.88,15000
28.4853,391.72,4,17.7901,4,184.8992462158203,328.59,20000
29.0919,360.98,5,18.815,5,93.54328155517578,344.73,25000
26.7045,477.38,6,14.5918,6,104.37010192871094,432.31,30000
26.1366,566.99,7,16.5354,7,26.091894149780273,492.79,35000
26.4673,482.98,8,16.3008,8,74.745849609375,468.4,40000
26.9403,461.78,9,17.4735,9,-36.45240783691406,475.38,45000
24.7141,537.04,10,15.58,10,78.75859069824219,549.48,50000
24.0136,702.91,11,16.4389,11,-72.60231018066406,655.62,55000
23.3789,437.76,12,12.8143,12,-21.596031188964844,493.51,60000
22.3683,638.95,13,12.5962,13,-175.8053741455078,707.37,65000
25.1435,636.69,14,13.7483,14,155.90782165527344,685.66,70000
23.5113,743.37,15,20.2707,15,-301.7498779296875,717.46,75000
21.951,1230.81,16,18.7485,16,-317.04522705078125,933.9,80000
23.9368,623.45,17,21.2283,17,-394.50592041015625,658.97,85000
21.652,1022.11,18,16.0605,18,-327.380615234375,1095.34,90000
23.2768,2455.87,19,15.1018,19,-337.6731262207031,1628.46,95000
20.96,880.6,20,16.9032,20,-384.26068115234375,1117.45,100000
21.8195,2369.39,21,14.5541,21,-323.1458435058594,1309.23,105000
21.5231,3099.92,22,21.4872,22,-517.7696533203125,1309.49,110000
20.7959,3298.34,23,13.4809,23,-271.2374267578125,1841.18,115000
21.7975,3051.88,24,13.2959,24,-309.0814514160156,2891.88,120000
20.8569,3244.33,25,13.4044,25,-273.08819580078125,2669.07,125000
20.4968,3227.05,26,12.1345,26,-257.5041809082031,2796.34,130000
20.8543,3232.66,27,14.5333,27,-388.74462890625,2584.65,135000
21.2178,3294.76,28,14.0243,28,-258.7217712402344,2967.64,140000
20.4806,3378.55,29,15.6326,29,-416.5895690917969,2500.23,145000
21.2389,3223.07,30,15.2564,30,-454.1902160644531,2635.52,150000
20.3497,3320.33,31,13.5533,31,-236.71807861328125,3363.86,155000
19.4586,3366.01,32,13.6045,32,-369.7178955078125,3062.98,160000
19.9919,3331.75,33,12.4774,33,-314.6186218261719,3323.53,165000
19.4534,3335.5,34,12.562,34,-265.2664489746094,3355.71,170000
19.7911,3420.77,35,18.7788,35,-544.4464111328125,2478.48,175000
19.1782,3352.68,36,13.5868,36,-333.1296081542969,3191.01,180000
19.5846,3419.36,37,16.2859,37,-445.0028381347656,2370.65,185000
19.4886,3385.72,38,12.8037,38,-261.59527587890625,3396.57,190000
19.5701,3459.76,39,17.5961,39,-609.08056640625,2000.74,195000
19.2486,3416.72,40,12.6504,40,-302.54541015625,3311.47,200000
19.1337,3419.02,41,12.9815,41,-329.18023681640625,3279.74,205000
19.5767,3401.09,42,12.6746,42,-307.91644287109375,3411.7,210000
19.698,3400.74,43,13.8439,43,-257.70623779296875,3413.85,215000
19.762,3446.57,44,14.4236,44,-443.0274353027344,3126.68,220000
19.1772,3420.61,45,12.7666,45,-385.72119140625,3433.08,225000
18.9066,3412.19,46,12.2401,46,-313.3945617675781,3424.71,230000
19.1149,3405.75,47,12.6903,47,-368.0012512207031,3395.02,235000
19.4502,3383.43,48,12.6031,48,-276.818115234375,3388.57,240000
19.1195,3437.74,49,12.9335,49,-321.343994140625,3373.56,245000
18.6149,3380.15,50,11.824,50,-296.56695556640625,3387.14,250000
18.6051,3422.54,51,12.2138,51,-381.4179992675781,3430.41,255000
19.2145,3438.5,52,12.7703,52,-435.74267578125,2753.59,260000
19.131,3414.86,53,12.4943,53,-370.0410461425781,3402.79,265000
19.094,3469.43,54,15.522,54,-727.2054443359375,2654.01,270000
18.5144,3459.49,55,12.4576,55,-372.397216796875,2792.12,275000
19.272,3467.36,56,12.696,56,-422.2471008300781,3447.18,280000
