Itration,Reward Loss,Real Sto Return,Running Forward KL,Real Det Return,Running Reverse KL,Running Update Time,Running Env Steps
0,-304.7138977050781,-205.16,158.5449,-11.32,11.6322,0,0
1,-356.1172790527344,-100.09,158.6194,177.22,12.0385,1,5000
2,-463.8910827636719,82.48,158.3435,624.57,12.4185,2,10000
3,-600.4671020507812,327.62,158.287,809.31,13.2101,3,15000
4,-674.3789672851562,473.48,158.2359,786.12,14.3257,4,20000
5,-694.7503051757812,623.13,158.1209,1039.84,14.5191,5,25000
6,-733.0860595703125,669.48,158.0034,1081.06,14.2857,6,30000
7,-760.322998046875,672.6,157.8944,1002.37,14.5193,7,35000
8,-830.2672729492188,869.51,157.6759,1218.17,15.1415,8,40000
9,-845.6624755859375,981.51,157.5645,1348.4,15.3195,9,45000
10,-865.6199951171875,1027.23,157.7476,1379.16,15.9018,10,50000
11,-913.7613525390625,1063.69,157.6337,1502.44,16.025,11,55000
12,-968.8378295898438,1127.5,157.6439,1586.66,15.8259,12,60000
13,-1016.1123046875,1199.03,157.5738,1583.28,16.3874,13,65000
14,-1056.7794189453125,1222.13,157.6501,1666.65,16.4664,14,70000
15,-1101.042236328125,1216.0,157.8586,1667.05,16.4232,15,75000
16,-1134.64453125,1277.26,157.7435,1673.49,16.2723,16,80000
17,-1192.252197265625,1326.72,157.7263,1765.26,16.502,17,85000
18,-1208.675048828125,1319.51,157.8029,1777.86,16.2857,18,90000
19,-1244.8499755859375,1355.02,157.558,1823.4,15.9845,19,95000
20,-1302.78759765625,1458.14,157.4363,1863.37,16.735,20,100000
21,-1317.1761474609375,1427.08,157.6611,1767.11,16.2885,21,105000
22,-1366.3145751953125,1462.59,157.4858,1865.08,16.5406,22,110000
23,-1378.669189453125,1511.21,157.5659,1843.35,16.3704,23,115000
24,-1442.46630859375,1488.61,158.0146,1863.39,16.8249,24,120000
25,-1461.3006591796875,1510.19,157.6915,1778.98,16.6013,25,125000
26,-1523.18310546875,1526.73,157.7127,1912.23,16.8558,26,130000
27,-1546.38232421875,1495.3,157.8693,1822.26,16.1819,27,135000
28,-1576.33349609375,1562.02,157.7128,1925.71,16.8518,28,140000
29,-1579.50439453125,1566.14,157.5324,1896.93,16.6052,29,145000
30,-1629.6082763671875,1581.23,157.7184,1945.1,17.2111,30,150000
31,-1681.3907470703125,1590.49,157.7516,1955.72,16.722,31,155000
32,-1730.3797607421875,1589.27,157.5613,1913.26,16.763,32,160000
33,-1786.255126953125,1592.0,157.6485,1886.45,16.5248,33,165000
34,-1797.597412109375,1616.35,157.5529,1977.87,16.9925,34,170000
35,-1830.6251220703125,1636.48,157.5863,2022.95,16.8029,35,175000
36,-1864.733642578125,1621.41,157.6423,1948.36,16.7288,36,180000
37,-1900.247314453125,1629.7,157.5053,1980.38,16.6519,37,185000
38,-1943.221923828125,1673.27,157.5285,1985.96,16.718,38,190000
39,-1974.942626953125,1659.84,157.2931,1988.57,16.7179,39,195000
40,-2004.0010986328125,1613.01,157.5212,1917.55,16.2864,40,200000
