Running Reverse KL,Real Sto Return,Real Det Return,Itration,Running Forward KL
25.1922,-101.98,371.26,0,75.3177
25.1719,-40.49,496.05,1,73.5621
25.943,-7.94,348.55,2,71.9543
28.2286,-5.03,556.52,3,71.887
28.2733,17.03,645.63,4,71.4515
30.9471,40.27,703.54,5,73.6868
31.6177,87.68,705.66,6,73.678
31.63,120.63,773.35,7,71.5947
32.6838,151.63,678.95,8,71.9557
32.9548,135.48,607.17,9,71.695
34.6488,174.3,744.82,10,73.0307
33.9868,186.55,671.86,11,72.6901
34.109,153.83,633.93,12,73.7127
33.1731,195.16,829.64,13,71.2561
34.5967,184.68,671.02,14,74.2017
33.1135,186.77,496.51,15,71.3637
34.0067,204.26,599.52,16,73.0222
33.4182,186.51,779.33,17,73.9128
33.4244,163.49,648.71,18,73.4278
33.6276,155.99,604.81,19,74.1507
33.0618,186.8,665.95,20,72.2699
34.0312,193.8,800.84,21,73.4668
32.7132,166.06,769.4,22,70.0452
33.7164,207.84,781.45,23,73.7829
33.2717,192.78,744.16,24,72.7258
32.81,162.57,581.76,25,71.8327
33.0129,225.81,736.86,26,74.2983
32.5264,196.11,545.18,27,71.8676
33.0117,197.7,649.24,28,72.7319
33.0541,184.93,676.64,29,74.3795
32.2919,195.31,572.73,30,72.0812
32.1619,216.98,887.6,31,70.594
32.4364,248.03,821.22,32,73.2182
32.2617,218.18,948.6,33,71.8331
32.3416,253.95,988.34,34,70.9961
32.0484,214.07,944.38,35,72.5706
32.9036,260.67,987.0,36,72.8391
32.5013,216.63,992.46,37,72.5342
32.2968,258.5,946.9,38,71.3233
32.0073,245.25,886.83,39,73.5175
32.0053,205.59,850.79,40,72.0673
32.889,242.82,918.62,41,72.6451
32.0411,242.12,944.33,42,72.1136
32.1116,209.48,895.89,43,72.8939
32.1624,244.05,875.36,44,71.4412
31.7607,278.61,906.09,45,71.793
31.1429,225.57,897.77,46,71.8961
31.9807,232.79,834.6,47,72.2765
31.6815,256.24,940.43,48,71.3396
32.1244,265.66,889.55,49,73.7522
31.3846,229.86,838.03,50,72.9694
31.8,253.31,992.44,51,72.122
31.5979,222.46,733.33,52,72.7213
32.2635,281.25,905.13,53,73.1928
31.4898,216.95,651.12,54,73.7021
31.7899,248.69,899.94,55,71.8022
31.5192,287.42,800.35,56,70.5241
31.7683,241.18,756.79,57,72.6945
31.3645,294.61,886.73,58,72.6433
31.371,267.47,993.02,59,72.6997
31.375,286.57,854.43,60,71.8862
31.937,232.13,904.46,61,73.9558
31.6607,234.85,745.56,62,72.1662
32.0334,279.7,793.43,63,73.8718
31.2926,251.61,906.16,64,71.9985
31.1992,259.6,947.3,65,72.9457
31.3446,247.11,891.92,66,71.1491
31.2394,282.7,910.09,67,72.1136
31.5954,260.61,948.15,68,72.2324
31.5993,227.21,898.55,69,73.3327
31.5223,256.22,954.63,70,72.9408
31.1764,256.66,902.45,71,71.5859
31.294,257.53,945.44,72,72.1094
31.5458,251.05,905.84,73,71.8813
31.0393,279.42,950.91,74,72.4484
31.4912,288.38,807.59,75,72.9872
30.9066,252.6,851.0,76,72.5061
31.6268,269.08,814.13,77,73.6328
31.9067,282.68,903.61,78,73.0961
31.1248,261.33,848.4,79,71.9231
31.2469,243.7,710.71,80,72.6803
31.5621,293.94,902.17,81,72.2893
31.6961,278.36,756.48,82,72.1713
31.6162,256.79,897.16,83,73.3112
31.5994,267.7,744.17,84,72.9057
31.0772,286.42,951.62,85,72.0842
31.0778,299.56,798.45,86,72.6753
31.1819,246.62,851.09,87,72.1355
31.7646,304.46,1003.14,88,72.1902
31.4054,308.52,892.95,89,73.2406
31.9245,303.35,955.03,90,72.9073
