Running Update Time,Running Reverse KL,Running Forward KL,Reward Loss,Real Sto Return,Real Det Return,Running Env Steps,Itration
0,12.8736,49.3726,-276.10650634765625,322.59,363.43,0,0
1,19.1594,50.0108,-110.713134765625,256.12,259.01,5000,1
2,13.9017,49.5991,-199.5811767578125,327.56,375.28,10000,2
3,14.2247,49.1643,-192.17616271972656,326.55,289.77,15000,3
4,21.772,49.088,-152.97793579101562,397.05,446.52,20000,4
5,13.7426,47.9957,-182.40786743164062,444.76,428.88,25000,5
6,36.1321,50.9639,-145.80982971191406,162.58,217.87,30000,6
7,16.8758,51.9979,-449.7662048339844,-24.45,-31.23,35000,7
8,79.8154,56.5624,-100.8893814086914,-13.02,-12.61,40000,8
9,39.1414,50.2353,64.5312271118164,365.51,362.57,45000,9
10,21.1944,49.5369,-419.3834533691406,368.91,440.49,50000,10
11,23.3589,49.7449,-219.37522888183594,434.25,435.03,55000,11
12,15.7456,48.771,-262.10113525390625,497.53,855.65,60000,12
13,13.233,47.7116,-387.0459899902344,481.84,524.85,65000,13
14,21.5733,48.7662,-178.3257293701172,1694.08,1597.75,70000,14
15,18.1514,50.2605,-351.1165466308594,610.44,742.87,75000,15
16,21.2948,49.4798,-271.7114562988281,162.34,103.52,80000,16
17,19.8267,49.4336,-383.3882751464844,701.86,667.6,85000,17
18,19.8598,50.0591,-496.07061767578125,278.18,244.05,90000,18
19,18.0309,50.1743,-283.79779052734375,1289.27,1447.02,95000,19
20,19.6889,50.0971,-416.7327880859375,772.26,900.0,100000,20
21,87.6503,52.8719,-536.5271606445312,87.66,106.14,105000,21
22,22.1243,49.6047,-291.31378173828125,564.52,810.09,110000,22
23,38.4048,53.7995,-339.42333984375,469.52,604.91,115000,23
24,29.6322,51.491,-204.18675231933594,854.12,1108.34,120000,24
25,31.1208,52.0618,-536.0066528320312,293.32,318.81,125000,25
26,53.9577,52.0,-475.93731689453125,460.78,425.83,130000,26
27,22.8376,50.3206,-341.0731506347656,1528.73,1564.75,135000,27
28,18.0493,50.176,-535.8330078125,623.65,663.89,140000,28
29,33.177,50.9586,-500.9086608886719,547.75,702.33,145000,29
30,30.2357,51.1116,-596.0654907226562,315.48,265.85,150000,30
31,20.6053,50.2619,-335.4874267578125,1069.73,1024.72,155000,31
32,26.3457,50.4704,-457.7155456542969,869.98,805.23,160000,32
33,28.4557,51.5685,-232.49749755859375,806.41,599.08,165000,33
34,38.2208,50.9315,-509.6312255859375,286.67,547.67,170000,34
35,40.5509,52.8491,-273.8951416015625,636.02,804.91,175000,35
