Running Reverse KL,Running Update Time,Running Forward KL,Real Det Return,Running Env Steps,Itration,Reward Loss,Real Sto Return
12.4633,0,48.9956,418.16,0,0,137.864501953125,413.99
16.1024,1,49.0604,346.49,5000,1,33.47797775268555,337.73
14.6456,2,49.0507,347.62,10000,2,95.1259765625,449.78
16.8595,3,49.692,398.49,15000,3,-33.40068435668945,366.98
19.1509,4,49.1504,460.62,20000,4,39.92901611328125,420.43
20.3753,5,49.3763,364.4,25000,5,24.265945434570312,368.77
19.7185,6,48.4894,337.4,30000,6,-17.1359920501709,320.95
14.2597,7,50.0622,99.27,35000,7,116.70565795898438,178.23
17.3061,8,48.7287,757.11,40000,8,-27.6861629486084,628.08
16.0588,9,47.9278,641.34,45000,9,23.789287567138672,575.81
16.3217,10,48.0877,1536.43,50000,10,-38.63939666748047,941.28
15.7457,11,48.5154,2083.13,55000,11,-34.677608489990234,1010.27
16.1448,12,48.8902,335.49,60000,12,13.191908836364746,529.67
17.7095,13,46.5389,1718.54,65000,13,-78.0312728881836,1214.52
23.4745,14,47.5814,1186.48,70000,14,-145.67152404785156,1038.64
26.5158,15,48.2126,1003.14,75000,15,-170.40682983398438,844.81
29.5983,16,48.0434,980.01,80000,16,-181.7216339111328,1010.37
20.0192,17,48.1333,916.79,85000,17,-139.21029663085938,1060.77
20.2668,18,47.1433,1167.01,90000,18,-162.41970825195312,1037.81
21.0716,19,46.3635,1899.03,95000,19,-152.6406707763672,1552.57
17.6117,20,46.7218,1584.15,100000,20,-148.7233428955078,1319.79
18.257,21,47.0214,1296.43,105000,21,-174.03338623046875,1316.67
26.6778,22,47.6431,1325.27,110000,22,-214.8776397705078,1036.65
19.9344,23,47.5912,924.85,115000,23,-189.0299530029297,966.24
20.4508,24,46.4886,770.69,120000,24,-212.47833251953125,926.33
47.003,25,46.5368,1703.12,125000,25,-204.12808227539062,1371.23
31.5687,26,46.3707,1117.49,130000,26,-257.4432067871094,977.38
23.4253,27,46.9071,1281.21,135000,27,-245.30552673339844,1290.85
47.6333,28,50.4406,318.62,140000,28,-272.7063903808594,283.85
12.7703,29,47.3078,568.06,145000,29,-192.22862243652344,616.04
30.3525,30,47.7827,1009.71,150000,30,-283.02734375,927.76
39.3589,31,50.3515,586.26,155000,31,-334.90032958984375,481.71
28.072,32,47.9902,995.99,160000,32,-300.9034118652344,976.17
25.0553,33,47.6468,982.63,165000,33,-327.7288513183594,1051.41
27.632,34,48.0148,896.21,170000,34,-302.2307434082031,670.82
22.6621,35,48.1303,1069.24,175000,35,-300.9444580078125,1225.36
19.8847,36,47.1624,740.82,180000,36,-300.8867492675781,893.81
16.2781,37,47.2379,1012.29,185000,37,-260.4918518066406,883.82
16.6539,38,49.357,450.64,190000,38,-297.0200500488281,438.76
15.1531,39,47.869,895.7,195000,39,-304.5663146972656,949.38
14.8231,40,48.1256,720.83,200000,40,-316.3647155761719,924.86
25.2356,41,48.9593,630.32,205000,41,-399.1646728515625,701.11
22.0816,42,49.1203,610.57,210000,42,-388.2253112792969,700.61
18.0115,43,50.5606,1045.86,215000,43,-366.1295471191406,1000.45
28.1636,44,50.6549,1039.09,220000,44,-403.63946533203125,1051.81
28.7784,45,54.2212,1007.94,225000,45,-332.9390563964844,1005.59
26.5439,46,50.9484,848.44,230000,46,-408.207763671875,298.39
26.364,47,50.0635,366.43,235000,47,-458.590576171875,393.76
37.9214,48,49.6697,495.92,240000,48,-502.36749267578125,579.84
39.4038,49,50.324,798.68,245000,49,-527.4056396484375,414.43
14.8544,50,48.1501,1031.97,250000,50,-371.85394287109375,1071.8
26.3122,51,53.5297,1035.64,255000,51,-465.04632568359375,1061.64
45.0715,52,56.1581,1007.72,260000,52,-509.3169250488281,1005.33
40.5884,53,51.1421,1009.17,265000,53,-536.7054443359375,927.3
18.9622,54,51.0465,352.82,270000,54,-453.23748779296875,322.78
18.4704,55,48.2499,1058.55,275000,55,-501.2098693847656,730.8
19.5718,56,49.1876,675.41,280000,56,-532.615966796875,697.79
23.2585,57,47.8227,961.17,285000,57,-552.6204223632812,848.85
18.2005,58,47.8887,683.81,290000,58,-475.0552062988281,1175.63
18.1506,59,47.4644,1342.27,295000,59,-506.95098876953125,1224.29
17.8481,60,47.9936,713.53,300000,60,-522.5262451171875,1045.76
21.8307,61,48.277,925.38,305000,61,-550.1989135742188,984.66
19.0477,62,48.8701,709.13,310000,62,-556.0065307617188,780.89
23.1295,63,48.0751,805.43,315000,63,-631.9202880859375,737.53
21.5158,64,48.1324,882.06,320000,64,-614.143310546875,775.19
17.8418,65,48.6992,652.95,325000,65,-592.5370483398438,744.54
16.965,66,47.0171,1045.77,330000,66,-581.3807373046875,962.66
16.77,67,46.824,1568.78,335000,67,-550.15185546875,1358.19
17.0472,68,46.9539,1351.86,340000,68,-609.5413208007812,1172.18
16.7139,69,47.1883,805.04,345000,69,-583.2671508789062,1263.64
17.1956,70,46.5469,1572.79,350000,70,-590.0753173828125,1589.59
22.4478,71,48.3991,876.61,355000,71,-657.0191650390625,893.9
30.8073,72,47.3355,1234.59,360000,72,-701.611083984375,1124.45
19.2385,73,46.2216,1207.07,365000,73,-646.1190185546875,976.91
16.8596,74,47.4726,1490.43,370000,74,-634.3114013671875,1354.95
20.8327,75,48.1814,1227.69,375000,75,-627.0817260742188,1077.52
18.6722,76,46.9745,2340.2,380000,76,-563.77685546875,2319.47
17.3375,77,46.9507,1926.59,385000,77,-626.8925170898438,1667.12
16.9698,78,47.3851,2299.85,390000,78,-575.3065185546875,1931.29
17.9361,79,47.603,933.93,395000,79,-639.5934448242188,1038.76
15.786,80,46.5609,1238.86,400000,80,-713.4403076171875,1139.52
16.1933,81,47.2349,1353.47,405000,81,-680.5178833007812,1245.48
20.4078,82,48.0328,1020.91,410000,82,-851.1373291015625,781.15
24.3334,83,47.3438,859.5,415000,83,-849.5555419921875,990.89
28.8002,84,47.6098,876.27,420000,84,-859.0799560546875,885.93
14.4175,85,47.4997,1268.92,425000,85,-748.4042358398438,1250.93
20.207,86,46.3831,1211.04,430000,86,-766.447265625,1154.93
15.9782,87,46.2124,1436.63,435000,87,-797.3566284179688,1477.16
16.8193,88,46.8293,883.96,440000,88,-764.23193359375,1119.94
16.5029,89,46.7047,920.07,445000,89,-850.32958984375,1057.99
17.4023,90,46.7118,1618.75,450000,90,-787.6155395507812,1291.83
18.8368,91,46.6819,1427.87,455000,91,-871.0369873046875,1244.55
16.8893,92,45.4408,1103.13,460000,92,-842.7089233398438,1429.62
20.691,93,46.1234,1603.66,465000,93,-875.901123046875,1479.19
23.6381,94,46.6116,971.48,470000,94,-979.5784301757812,978.39
15.307,95,45.7792,2107.37,475000,95,-805.404541015625,1773.22
21.7657,96,46.4305,1075.93,480000,96,-991.0401611328125,1204.41
17.0845,97,46.0078,2364.4,485000,97,-757.2798461914062,1909.26
19.4984,98,46.144,1276.12,490000,98,-962.4420776367188,1230.18
15.1273,99,45.9975,2182.2,495000,99,-873.929443359375,1550.14
16.4074,100,45.4554,1060.82,500000,100,-875.9466552734375,1597.56
18.1415,101,45.5092,1805.2,505000,101,-890.9366455078125,1698.2
15.8702,102,45.2268,2456.0,510000,102,-776.3554077148438,2221.47
16.3515,103,46.323,1330.57,515000,103,-956.3840942382812,1386.27
21.1415,104,46.5396,933.82,520000,104,-1080.719970703125,1484.11
16.4103,105,45.4859,1418.68,525000,105,-853.4223022460938,2264.43
16.5131,106,45.4037,2783.84,530000,106,-770.6568603515625,2464.86
14.7968,107,45.1437,1088.24,535000,107,-913.2382202148438,1249.04
15.3097,108,44.7644,1353.38,540000,108,-914.1831665039062,1987.82
15.1344,109,44.0203,2744.15,545000,109,-811.5720825195312,2200.1
14.7605,110,44.7702,1932.6,550000,110,-826.0405883789062,2578.75
19.3108,111,44.9384,2694.79,555000,111,-862.287841796875,2459.17
14.596,112,44.7744,3020.4,560000,112,-839.5985717773438,2559.75
13.7775,113,45.3508,1954.11,565000,113,-950.5240478515625,2201.23
14.3333,114,44.1937,2941.09,570000,114,-784.38916015625,2817.79
16.6458,115,44.603,3190.64,575000,115,-758.8162231445312,3165.17
16.0617,116,44.7396,3084.98,580000,116,-921.0136108398438,2025.0
16.71,117,43.6868,3032.17,585000,117,-848.25048828125,2237.96
16.3888,118,43.3262,3116.23,590000,118,-799.5767822265625,3019.65
13.7505,119,44.0137,2445.94,595000,119,-832.6793823242188,2377.38
17.3789,120,43.8904,3061.56,600000,120,-906.4519653320312,2483.25
16.9211,121,45.135,3292.76,605000,121,-846.0324096679688,3170.92
15.7453,122,44.6882,3383.53,610000,122,-794.46240234375,3309.02
16.3198,123,44.5102,2797.79,615000,123,-799.3202514648438,3187.93
17.7121,124,44.8651,3326.65,620000,124,-801.8050537109375,3207.46
16.2012,125,44.3643,3289.18,625000,125,-869.2328491210938,3019.47
16.7818,126,43.9622,3509.9,630000,126,-831.4219360351562,3301.48
15.6953,127,44.1756,2996.93,635000,127,-955.8255615234375,2583.33
15.8267,128,43.7659,3333.66,640000,128,-834.0228881835938,3355.38
17.4971,129,44.7917,3240.88,645000,129,-876.2489624023438,3103.08
17.0291,130,44.0394,3389.78,650000,130,-836.8595581054688,3387.54
16.1473,131,43.7794,3383.61,655000,131,-845.2228393554688,3333.24
16.967,132,43.6583,3365.06,660000,132,-879.9113159179688,3345.03
16.3748,133,43.2691,3508.17,665000,133,-850.896728515625,3455.75
16.1611,134,42.6985,3490.96,670000,134,-836.4332885742188,3554.62
15.3215,135,43.0912,3513.75,675000,135,-836.7644653320312,3472.58
