Itration,Running Forward KL,Running Reverse KL,Real Sto Return,Real Det Return
0,409.066,260.9129,401.13,456.96
1,448.4966,330.2686,304.64,290.77
2,439.5305,252.6868,259.75,298.25
3,427.2064,253.0544,353.16,345.56
4,433.4684,254.8118,401.91,400.72
5,431.5189,273.0056,398.44,461.4
6,436.205,270.9525,447.26,418.91
7,432.0726,268.8074,452.95,409.14
8,419.3635,261.1612,460.62,380.9
9,399.1754,240.451,459.31,499.55
10,420.0931,257.5697,443.17,381.39
11,409.3041,258.9401,401.44,362.57
12,407.2936,261.8798,518.17,423.0
13,402.7959,258.0652,425.09,440.19
14,405.9889,243.2366,453.63,443.69
15,386.6764,250.623,551.24,526.34
16,382.153,254.6454,509.05,544.65
17,387.3638,255.6662,539.91,527.61
18,394.4148,255.175,519.49,520.63
19,391.1336,239.4212,587.37,555.01
20,386.4608,263.9071,596.27,432.22
21,381.8456,251.9176,652.72,693.41
22,390.194,254.6068,668.1,550.71
23,384.5288,244.555,746.66,598.63
24,413.8474,273.6434,631.64,559.06
25,410.5155,279.9193,614.05,584.61
26,392.5279,238.4779,671.37,657.99
27,397.3943,240.4673,733.18,540.59
28,386.1546,242.0028,917.63,753.42
29,380.1014,248.5548,976.07,1015.53
30,390.1194,237.3368,835.18,640.24
31,400.6661,244.4993,958.15,743.87
32,371.9752,263.5437,876.6,735.71
33,374.2966,226.2286,1086.07,1202.93
34,366.303,225.4612,946.51,879.45
35,377.2029,225.0144,1152.41,1072.8
36,390.3475,235.593,1095.11,1249.9
37,365.6221,213.7553,1289.75,896.88
38,368.3931,230.6243,965.21,815.15
39,393.0784,240.4671,1171.21,1252.67
40,384.191,220.7459,1232.04,1495.01
41,376.8439,225.0398,1294.09,1998.2
42,355.4086,223.4964,1335.04,1185.63
43,371.9097,236.2667,1183.22,1518.95
44,354.9627,200.5561,1430.13,1576.81
45,374.9204,209.9875,1246.8,1456.17
46,356.3025,201.1543,1734.73,2666.3
47,372.7006,216.6885,1422.68,2198.62
48,380.2624,239.2302,1451.36,3347.77
49,359.2226,188.4934,1968.24,3090.74
50,369.7698,192.4154,1794.71,2671.06
51,353.1886,180.2303,2499.23,3502.56
52,368.3512,224.6928,1726.46,2682.85
53,373.2428,229.5685,1271.76,1462.12
54,356.9477,185.0349,1862.15,2715.76
55,371.31,212.4895,1758.08,2196.52
56,357.4896,183.8827,2056.71,3969.99
57,372.5498,222.4595,1856.98,2679.37
58,343.6824,158.602,2180.8,4311.46
59,374.1632,216.202,2469.81,3113.99
60,361.3477,186.4806,1634.24,2382.54
61,354.5862,186.6831,2667.52,3877.59
62,350.9082,219.7304,2098.87,2257.42
63,345.0354,213.251,2781.54,4535.89
64,309.2601,131.4441,3393.93,3683.18
65,339.3653,200.6719,2120.5,2511.84
66,354.2859,195.7834,1924.28,4080.6
67,357.5476,196.7233,2682.84,4018.82
68,335.8339,149.2017,3683.66,4840.04
69,337.7888,161.6721,3141.81,3038.77
70,343.1145,166.8146,3675.27,3937.52
71,339.0118,164.2464,2835.5,4441.82
72,352.5709,168.8226,3739.48,4469.91
73,373.3627,243.5883,1373.88,4795.64
