Running Forward KL,Running Update Time,Real Sto Return,Real Det Return,Running Env Steps,Itration,Reward Loss,Running Reverse KL
75.7045,0,-49.12,470.83,0,0,57.73351287841797,25.7558
73.6933,1,-40.88,351.14,5000,1,-1.9770957231521606,24.3134
71.755,2,-0.12,481.0,10000,2,-36.153446197509766,25.5464
73.1931,3,11.04,737.28,15000,3,-78.77350616455078,26.689
71.8008,4,23.9,663.08,20000,4,-119.13603973388672,27.7859
72.7405,5,56.02,612.05,25000,5,-180.62918090820312,30.1735
72.666,6,95.41,828.37,30000,6,-250.17434692382812,28.6
70.2121,7,104.22,741.83,35000,7,-293.12921142578125,29.3671
71.594,8,142.34,693.02,40000,8,-336.06610107421875,31.2628
72.8708,9,125.55,644.62,45000,9,-407.8637390136719,31.1384
72.0153,10,162.45,802.26,50000,10,-450.40374755859375,30.5644
70.3348,11,161.91,863.99,55000,11,-505.23980712890625,30.2392
69.5137,12,238.54,1030.14,60000,12,-577.9151000976562,30.5263
70.3942,13,198.55,908.62,65000,13,-640.8135986328125,31.2094
69.0838,14,152.51,525.07,70000,14,-697.8087768554688,29.8452
68.0612,15,221.15,740.34,75000,15,-720.097412109375,28.8929
68.6013,16,228.24,431.18,80000,16,-796.1310424804688,29.6304
70.2402,17,376.72,657.06,85000,17,-857.1823120117188,30.5308
66.9,18,266.7,1027.26,90000,18,-896.603515625,29.3943
65.9657,19,336.16,957.46,95000,19,-952.6915283203125,28.3069
68.3232,20,274.87,1022.17,100000,20,-1022.4028930664062,28.9881
67.8064,21,299.87,730.19,105000,21,-1097.165771484375,29.5006
61.8831,22,589.59,1683.26,110000,22,-1009.3570556640625,27.8671
64.1977,23,445.23,1148.89,115000,23,-1140.99365234375,28.0138
65.9153,24,654.85,1407.4,120000,24,-1226.7060546875,28.6305
65.992,25,571.55,1229.66,125000,25,-1287.5352783203125,29.2616
65.5782,26,549.35,1137.14,130000,26,-1336.9327392578125,27.8637
66.8819,27,374.38,772.76,135000,27,-1416.1510009765625,28.5399
63.3546,28,717.74,1557.36,140000,28,-1378.6424560546875,27.929
63.1188,29,1004.85,1902.92,145000,29,-1410.7105712890625,28.7408
62.945,30,852.16,1855.36,150000,30,-1426.3458251953125,30.074
61.9586,31,993.45,1695.94,155000,31,-1434.666259765625,28.1338
65.531,32,683.03,935.2,160000,32,-1659.4210205078125,28.0465
63.7994,33,577.94,1152.05,165000,33,-1619.54736328125,27.2305
61.8621,34,1049.34,1881.47,170000,34,-1590.753173828125,27.4323
64.2785,35,1044.29,1967.69,175000,35,-1667.896728515625,30.0381
63.7604,36,1248.29,2198.24,180000,36,-1663.9278564453125,28.8582
63.1845,37,1070.4,1948.13,185000,37,-1787.3790283203125,27.2765
63.8923,38,1234.54,2671.88,190000,38,-1861.8193359375,28.395
61.9408,39,1884.56,3004.55,195000,39,-1702.029296875,35.2791
67.475,40,1069.21,1315.87,200000,40,-2169.102783203125,28.8639
63.1948,41,1032.73,1320.05,205000,41,-1780.6815185546875,29.0374
65.9914,42,890.85,1499.65,210000,42,-2182.273681640625,28.5758
64.9626,43,481.36,686.72,215000,43,-2180.54638671875,27.4731
62.626,44,1361.34,1883.42,220000,44,-1848.092529296875,30.4629
63.5663,45,2016.05,2626.6,225000,45,-1724.014892578125,36.084
62.3121,46,1975.85,2296.15,230000,46,-2102.857177734375,29.7814
64.2593,47,1083.31,3092.64,235000,47,-1873.1826171875,36.1416
62.6497,48,1567.9,1992.04,240000,48,-1949.8831787109375,33.052
62.1194,49,1375.7,2632.26,245000,49,-2124.06591796875,31.9464
63.3673,50,1657.19,2938.49,250000,50,-1939.1859130859375,37.7483
62.3492,51,2349.97,3372.84,255000,51,-2156.865234375,33.1455
64.2751,52,1757.65,2870.21,260000,52,-2096.5947265625,35.407
62.9727,53,1861.61,3480.88,265000,53,-2387.299560546875,31.8795
64.7368,54,2088.97,2720.2,270000,54,-1998.9017333984375,40.8316
64.859,55,1990.89,3160.39,275000,55,-2248.30615234375,38.2399
64.1269,56,2107.32,2720.71,280000,56,-2034.4764404296875,43.4381
64.6962,57,2572.57,2960.04,285000,57,-2266.6435546875,40.2022
68.092,58,2975.41,3711.98,290000,58,-2075.417236328125,50.9447
