Running Forward KL,Itration,Real Sto Return,Running Reverse KL,Running Env Steps,Running Update Time,Real Det Return,Reward Loss
462.7317,0,297.65,248.3457,0,0,365.12,150.6228790283203
447.4608,1,285.63,322.0686,5000,1,270.82,1722.3084716796875
439.7504,2,338.68,266.2727,10000,2,337.2,-1173.1552734375
424.8465,3,430.09,249.8051,15000,3,376.79,-1921.5377197265625
424.2572,4,421.09,269.5355,20000,4,406.98,-2699.040283203125
424.7104,5,448.08,262.3818,25000,5,344.27,-6854.76806640625
433.6168,6,360.39,246.7649,30000,6,305.94,-6695.091796875
412.8048,7,478.49,255.8458,35000,7,480.53,-5964.87353515625
430.7494,8,431.6,288.1469,40000,8,364.02,-7482.5185546875
411.5998,9,413.91,258.1466,45000,9,386.24,-9527.2626953125
442.645,10,366.09,273.061,50000,10,309.83,-12091.349609375
417.338,11,454.79,250.4715,55000,11,451.17,-9669.1591796875
413.725,12,511.17,251.7806,60000,12,493.23,-10217.3251953125
422.1967,13,473.77,247.8257,65000,13,431.73,-12231.3369140625
417.1859,14,478.4,258.2894,70000,14,542.14,-13372.4013671875
420.9487,15,519.59,246.2784,75000,15,508.95,-14276.341796875
400.4238,16,555.37,239.9809,80000,16,568.37,-14931.2978515625
406.8833,17,500.99,269.497,85000,17,424.84,-15831.1279296875
406.1512,18,506.43,251.6502,90000,18,451.41,-15894.5751953125
393.5295,19,570.29,258.0569,95000,19,463.02,-16422.08984375
406.0556,20,530.11,258.8879,100000,20,470.29,-17893.701171875
401.376,21,575.61,233.6789,105000,21,635.99,-17336.83984375
388.5571,22,637.44,250.902,110000,22,601.99,-17426.337890625
396.4058,23,651.33,247.1894,115000,23,616.45,-18110.34765625
381.5319,24,591.35,240.3474,120000,24,565.43,-18374.052734375
390.0546,25,615.17,223.7268,125000,25,638.71,-19298.21875
380.4881,26,635.65,226.5465,130000,26,525.17,-19341.193359375
372.3657,27,631.74,227.2994,135000,27,441.35,-19285.029296875
370.7173,28,710.83,225.9291,140000,28,676.02,-21088.7734375
371.1431,29,805.88,233.2502,145000,29,699.45,-20985.20703125
355.2371,30,773.81,211.4814,150000,30,760.87,-20393.89453125
341.7294,31,868.07,191.229,155000,31,819.13,-21634.89453125
348.414,32,996.83,199.4284,160000,32,786.03,-21261.599609375
356.1864,33,1210.15,211.8865,165000,33,1296.75,-22380.474609375
352.9078,34,1612.11,235.744,170000,34,1293.6,-20382.705078125
333.9341,35,1369.27,201.0003,175000,35,904.3,-21564.009765625
317.6121,36,1843.68,175.4257,180000,36,784.22,-20582.318359375
326.044,37,976.47,180.2147,185000,37,640.17,-22560.9296875
340.9145,38,1095.43,203.9268,190000,38,628.97,-25630.89453125
347.6248,39,1109.76,213.4123,195000,39,702.55,-26599.662109375
316.0297,40,1504.31,179.6513,200000,40,720.54,-23538.794921875
319.8748,41,1374.85,178.903,205000,41,735.76,-24547.65625
329.493,42,1356.92,191.7516,210000,42,700.64,-25653.4765625
349.6037,43,1178.57,221.6519,215000,43,770.41,-29248.93359375
314.5789,44,1715.57,217.4109,220000,44,681.33,-23445.70703125
339.8125,45,1144.38,205.6699,225000,45,825.07,-30065.263671875
308.6068,46,1470.14,169.5181,230000,46,814.32,-23863.837890625
331.2648,47,1010.46,203.089,235000,47,739.81,-29398.4296875
337.1149,48,1117.37,195.7871,240000,48,706.14,-31056.947265625
343.4951,49,908.99,219.9585,245000,49,552.72,-32523.921875
312.2558,50,1760.94,173.3319,250000,50,809.47,-23984.927734375
320.183,51,1230.28,179.6516,255000,51,607.16,-28156.69921875
306.6978,52,1579.3,162.7679,260000,52,708.72,-20890.55859375
302.3807,53,1408.27,168.7063,265000,53,840.54,-23505.5078125
298.2513,54,2384.32,160.586,270000,54,1314.38,-21190.275390625
324.6229,55,1726.93,181.264,275000,55,664.49,-28354.953125
301.1582,56,3019.44,162.3428,280000,56,2165.55,-23421.697265625
309.1353,57,1856.85,189.0889,285000,57,1770.36,-24201.8203125
289.0458,58,4300.2,113.4717,290000,58,4662.51,-13464.4365234375
292.6994,59,3110.38,149.7787,295000,59,2266.24,-20254.44921875
294.3248,60,2532.24,130.3886,300000,60,3011.88,-16559.55078125
298.3341,61,3371.09,118.77,305000,61,4161.51,-17127.54296875
293.0658,62,2739.19,139.1836,310000,62,4931.58,-20594.201171875
286.7204,63,2715.34,139.6357,315000,63,2019.5,-19973.765625
287.3054,64,4104.91,110.7073,320000,64,4350.09,-14983.76171875
317.4514,65,1875.38,197.9341,325000,65,1730.71,-30173.54296875
293.2479,66,4058.86,129.5885,330000,66,2829.67,-20701.896484375
296.8427,67,3032.04,119.0902,335000,67,4942.98,-19114.8203125
309.5408,68,2479.92,172.4336,340000,68,4723.59,-26294.859375
289.0903,69,4764.9,100.6584,345000,69,4129.32,-11297.5107421875
306.2921,70,3434.53,133.6029,350000,70,2159.79,-18890.9609375
305.9014,71,4038.23,128.794,355000,71,4080.32,-17750.552734375
292.133,72,4820.24,118.975,360000,72,4729.86,-17692.68359375
293.5568,73,4084.79,115.9694,365000,73,5066.56,-15392.283203125
290.3242,74,4001.41,113.5368,370000,74,4214.73,-12977.5087890625
288.7604,75,3305.08,104.3068,375000,75,3960.97,-12377.69921875
294.5838,76,4513.3,112.7262,380000,76,5111.83,-11219.14453125
305.6303,77,3971.16,132.1742,385000,77,3555.45,-18158.9765625
292.0437,78,4834.05,116.1874,390000,78,4752.37,-12447.5302734375
